"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY"
"1";2017-05-10;24,494;2,487;20,92;4,1685
"2";2017-05-11;24,494;2,501;20,92;4,2479
"3";2017-05-12;24,494;2,518;20,92;4,2275
"4";2017-05-15;24,494;2,533;20,92;4,2207
"5";2017-05-16;24,948;2,5445;20,92;4,0869
"6";2017-05-17;24,948;2,5425;20,92;4,1549
"7";2017-05-18;24,721;2,5265;20,92;4,0823
"8";2017-05-19;24,494;2,574;21,689;4,1617
"9";2017-05-22;24,721;2,589;21,689;4,2479
"10";2017-05-23;24,607;2,5905;21,689;4,2116
"11";2017-05-24;24,607;2,578;21,689;4,1368
"12";2017-05-25;25,061;2,592;21,689;4,105
"13";2017-05-26;25,288;2,5595;21,689;4,0823
"14";2017-05-30;25,288;2,561;21,689;4,0891
"15";2017-05-31;25,401;2,577;21,689;3,9939
"16";2017-06-01;25,447;2,5845;21,997;4,003
"17";2017-06-02;25,401;2,5715;21,997;3,9508
"18";2017-06-05;25,401;2,5545;21,997;3,9984
"19";2017-06-06;25,288;2,5445;22,228;3,9893
"20";2017-06-07;25,401;2,549;22,228;4,0211
"21";2017-06-08;25,401;2,607;22,228;3,9893
"22";2017-06-09;25,401;2,646;22,228;3,9916
"23";2017-06-12;25,401;2,6125;22,228;4,0506
"24";2017-06-13;25,628;2,593;22,228;3,9531
"25";2017-06-14;25,515;2,5705;22,228;3,9961
"26";2017-06-15;25,515;2,564;22,228;4,003
"27";2017-06-16;26,082;2,5625;22,228;4,037
"28";2017-06-19;26,082;2,5895;22,228;4,0324
"29";2017-06-20;26,308;2,555;22,228;4,071
"30";2017-06-21;26,308;2,602;22,228;4,0302
"31";2017-06-22;26,308;2,598;22,228;4,037
"32";2017-06-23;26,308;2,623;22,228;4,1549
"33";2017-06-26;26,535;2,625;22,382;4,0959
"34";2017-06-27;26,762;2,6465;22,382;4,105
"35";2017-06-28;26,762;2,662;22,382;4,1368
"36";2017-06-29;26,989;2,683;22,382;4,2048
"37";2017-06-30;26,989;2,699;22,382;4,2071
"38";2017-07-03;26,762;2,681;22,382;4,2479
"39";2017-07-04;26,535;2,6543;22,382;4,1368
"40";2017-07-05;26,535;2,649;22,382;4,1095
"41";2017-07-06;27,669;2,6515;22,382;4,1209
"42";2017-07-07;26,989;2,6375;22,382;4,0551
"43";2017-07-10;26,989;2,6395;22,382;4,0279
"44";2017-07-11;26,989;2,6645;22,382;4,071
"45";2017-07-12;26,762;2,677;22,382;4,173
"46";2017-07-13;26,762;2,6545;22,382;4,164
"47";2017-07-14;26,762;2,684;22,382;4,2524
"48";2017-07-17;26,535;2,717;22,382;4,3431
"49";2017-07-18;26,308;2,7235;22,382;4,35
"50";2017-07-19;26,535;2,703;22,382;4,4066
"51";2017-07-20;26,535;2,7085;22,382;4,3227
"52";2017-07-21;26,308;2,715;22,382;4,3341
"53";2017-07-24;26,308;2,729;22,382;4,3318
"54";2017-07-25;25,855;2,8405;22,382;4,4815
"55";2017-07-26;25,855;2,869;22,382;4,4951
"56";2017-07-27;25,855;2,874;22,382;4,5813
"57";2017-07-28;25,855;2,8705;22,382;4,6153
"58";2017-07-31;25,855;2,888;22,843;4,6402
"59";2017-08-01;25,855;2,879;22,843;4,604
"60";2017-08-02;22,68;2,8825;22,843;4,6266
"61";2017-08-03;26,308;2,877;22,843;4,6493
"62";2017-08-04;26,535;2,885;22,843;4,6856
"63";2017-08-07;25,605;2,908;22,843;4,672
"64";2017-08-08;25,855;2,9425;22,843;4,6607
"65";2017-08-10;25,855;2,906;23,305;4,8807
"66";2017-08-11;25,061;2,914;23,305;4,8013
"67";2017-08-14;25,628;2,9065;23,305;4,765
"68";2017-08-15;25,628;2,8845;23,305;4,7015
"69";2017-08-16;25,628;2,9545;23,305;4,7809
"70";2017-08-17;25,174;2,938;23,305;4,8534
"71";2017-08-18;26,308;2,9405;23,305;4,8648
"72";2017-08-21;26,989;2,981;23,305;5,0802
"73";2017-08-22;26,989;2,9865;23,997;5,1823
"74";2017-08-23;26,989;2,9805;23,997;5,1846
"75";2017-08-24;26,989;3,0335;23,997;5,2753
"76";2017-08-25;27,442;3,033;23,997;5,2617
"77";2017-08-28;27,556;3,065;23,997;5,1827
"78";2017-08-29;27,669;3,081;23,997;5,3206
"79";2017-08-30;27,442;3,0645;23,997;5,239
"80";2017-08-31;27,442;3,079;23,997;5,2685
"81";2017-09-01;27,556;3,098;23,997;5,4307
"82";2017-09-04;27,442;3,098;23,997;5,4953
"83";2017-09-05;27,442;3,1075;23,997;5,5066
"84";2017-09-06;27,442;3,1315;23,997;5,4046
"85";2017-09-07;27,442;3,123;23,997;5,4567
"86";2017-09-08;27,442;3,0215;23,997;5,3705
"87";2017-09-11;27,442;3,046;24,305;5,2277
"88";2017-09-12;27,352;3,0155;24,305;5,2299
"89";2017-09-13;27,352;2,961;24,305;5,2072
"90";2017-09-14;27,352;2,9365;24,305;5,1075
"91";2017-09-15;28,123;2,928;24,305;4,9895
"92";2017-09-18;26,989;2,949;24,305;5,0281
"93";2017-09-19;26,989;2,9495;25,074;4,9646
"94";2017-09-20;26,762;2,9495;25,074;5,1573
"95";2017-09-21;26,762;2,914;25,074;4,9215
"96";2017-09-22;26,762;2,9245;25,074;4,7967
"97";2017-09-26;26,762;2,8975;25,074;4,7378
"98";2017-09-27;26,535;2,911;25,074;4,7741
"99";2017-09-28;26,535;2,9625;25,074;4,613
"100";2017-09-29;26,535;2,9375;25,074;4,799
"101";2017-10-09;26,762;3,017;25,074;4,8829
"102";2017-10-10;26,762;3,0455;25,074;4,9464
"103";2017-10-11;26,308;3,08;25,843;4,9782
"104";2017-10-12;26,875;3,104;26,304;5,0757
"105";2017-10-13;26,875;3,1185;26,304;5,2617
"106";2017-10-16;26,875;3,224;26,304;5,3433
"107";2017-10-17;27,102;3,1805;26,304;5,2912
"108";2017-10-18;28,123;3,1635;26,304;5,3252
"109";2017-10-19;27,216;3,153;26,304;5,2957
"110";2017-10-20;27,556;3,1515;26,304;5,4635
"111";2017-10-23;26,762;3,174;26,304;5,3252
"112";2017-10-24;26,989;3,1865;26,304;5,4182
"113";2017-10-25;27,216;3,1715;26,304;5,3683
"114";2017-10-26;26,649;3,1675;26,304;5,3705
"115";2017-10-27;27,216;3,0935;26,304;5,1551
"116";2017-10-30;27,216;3,102;26,304;5,2072
"117";2017-10-31;27,669;3,092;26,304;5,3569
"118";2017-11-01;27,216;3,133;26,304;5,7561
"119";2017-11-02;27,783;3,1355;26,304;5,7266
"120";2017-11-03;27,669;3,1105;26,304;5,6949
"121";2017-11-06;27,442;3,1505;26,304;5,8173
"122";2017-11-07;27,442;3,0825;26,304;5,806
"123";2017-11-08;27,442;3,093;26,304;5,6971
"124";2017-11-09;27,669;3,08;26,304;5,5452
"125";2017-11-10;27,442;3,0695;26,304;5,5701
"126";2017-11-13;27,442;3,1115;26,304;5,5678
"127";2017-11-14;27,102;3,06;26,304;5,5565
"128";2017-11-15;27,556;3,049;26,304;5,2503
"129";2017-11-16;27,556;3,0435;26,304;5,2458
"130";2017-11-17;27,669;3,0625;26,304;5,2004
"131";2017-11-20;27,669;3,0905;26,304;5,2163
"132";2017-11-21;27,442;3,1255;26,304;5,2617
"133";2017-11-22;27,669;3,1345;26,304;5,3184
"134";2017-11-23;28,123;3,148;26,304;5,2707
"135";2017-11-24;28,803;3,166;26,304;5,4476
"136";2017-11-27;29,03;3,1325;26,304;5,2594
"137";2017-11-28;30,844;3,0705;26,304;5,1664
"138";2017-11-29;29,484;3,04;26,304;5,1256
"139";2017-11-30;29,937;3,037;26,304;5,1188
"140";2017-12-01;30,164;3,0655;26,304;5,0099
"141";2017-12-04;30,617;3,063;26,304;5,1369
"142";2017-12-05;29,937;2,9205;26,304;5,0213
"143";2017-12-06;31,525;2,9365;26,304;4,9079
"144";2017-12-07;31,525;2,9405;26,304;4,8943
"145";2017-12-08;34,019;2,955;26,304;4,9827
"146";2017-12-11;33,906;2,988;26,304;5,0696
"147";2017-12-12;32,885;2,9995;26,304;5,019
"148";2017-12-13;32,432;3,0295;26,304;5,0258
"149";2017-12-14;32,659;3,0485;25,997;5,0485
"150";2017-12-15;32,659;3,11;25,997;5,0621
"151";2017-12-18;32,659;3,122;25,997;5,2254
"152";2017-12-19;33,339;3,1275;25,997;5,298
"153";2017-12-20;33,793;3,1715;25,997;5,4023
"154";2017-12-21;33,793;3,1945;25,535;5,4408
"155";2017-12-22;34,019;3,2145;25,535;5,4635
"156";2017-12-25;34,133;3,257;25,535;5,476
"157";2017-12-26;34,133;3,256;25,535;5,476
"158";2017-12-27;34,019;3,257;25,535;5,366
"159";2017-12-28;34,019;3,286;25,535;5,4839
"160";2017-12-29;34,019;3,2795;25,535;5,5565
"161";2018-01-02;34,019;3,256;25,535;5,7516
"162";2018-01-03;34,019;3,237;25,535;5,6518
"163";2018-01-04;34,019;3,2425;25,535;5,7175
"164";2018-01-05;34,019;3,207;25,227;5,6676
"165";2018-01-08;34,019;3,201;25,227;5,6427
"166";2018-01-09;34,019;3,1945;24,843;5,6744
"167";2018-01-10;34,019;3,215;24,843;5,8491
