"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY";"CODALY_BD";"CUDALY_BD";"LIDALY_BD";"NIDALY_BD"
"1";2017-11-01;27,216;3,133;26,304;5,7561;0;0;0;0
"2";2017-11-02;27,783;3,1355;26,304;5,7266;0;0;0;0
"3";2017-11-03;27,669;3,1105;26,304;5,6949;0;0;0;0
"4";2017-11-06;27,442;3,1505;26,304;5,8173;0;0;0;0
"5";2017-11-07;27,442;3,0825;26,304;5,806;0;0;0;0
"6";2017-11-08;27,442;3,093;26,304;5,6971;0;0;0;0
"7";2017-11-09;27,669;3,08;26,304;5,5452;0;0;0;0
"8";2017-11-10;27,442;3,0695;26,304;5,5701;0;0;0;0
"9";2017-11-13;27,442;3,1115;26,304;5,5678;0;0;0;0
"10";2017-11-14;27,102;3,06;26,304;5,5565;0;0;0;0
"11";2017-11-15;27,556;3,049;26,304;5,2503;0;0;0;0
"12";2017-11-16;27,556;3,0435;26,304;5,2458;0;0;0;0
"13";2017-11-17;27,669;3,0625;26,304;5,2004;0;0;0;0
"14";2017-11-20;27,669;3,0905;26,304;5,2163;0;0;0;0
"15";2017-11-21;27,442;3,1255;26,304;5,2617;0;0;0;0
"16";2017-11-22;27,669;3,1345;26,304;5,3184;0;0;0;0
"17";2017-11-23;28,123;3,148;26,304;5,2707;0;0;0;0
"18";2017-11-24;28,803;3,166;26,304;5,4476;0;0;0;0
"19";2017-11-27;29,03;3,1325;26,304;5,2594;0;0;0;0
"20";2017-11-28;30,844;3,0705;26,304;5,1664;0;0;0;0
"21";2017-11-29;29,484;3,04;26,304;5,1256;0;0;0;0
"22";2017-11-30;29,937;3,037;26,304;5,1188;0;0;0;0
"23";2017-12-01;30,164;3,0655;26,304;5,0099;0;0;0;0
"24";2017-12-04;30,617;3,063;26,304;5,1369;0;0;0;0
"25";2017-12-05;29,937;2,9205;26,304;5,0213;0;0;0;0
"26";2017-12-06;31,525;2,9365;26,304;4,9079;0;0;0;0
"27";2017-12-07;31,525;2,9405;26,304;4,8943;0;0;0;0
"28";2017-12-08;34,019;2,955;26,304;4,9827;0;0;0;0
"29";2017-12-11;33,906;2,988;26,304;5,0696;0;0;0;0
"30";2017-12-12;32,885;2,9995;26,304;5,019;0;0;0;0
"31";2017-12-13;32,432;3,0295;26,304;5,0258;0;0;0;0
"32";2017-12-14;32,659;3,0485;25,997;5,0485;0;0;0;0
"33";2017-12-15;32,659;3,11;25,997;5,0621;0;0;0;0
"34";2017-12-18;32,659;3,122;25,997;5,2254;0;0;0;0
"35";2017-12-19;33,339;3,1275;25,997;5,298;0;0;0;0
"36";2017-12-20;33,793;3,1715;25,997;5,4023;0;0;0;0
"37";2017-12-21;33,793;3,1945;25,535;5,4408;0;0;0;0
"38";2017-12-22;34,019;3,2145;25,535;5,4635;0;0;0;0
"39";2017-12-25;34,133;3,257;25,535;5,476;0;0;0;0
"40";2017-12-26;34,133;3,256;25,535;5,476;0;0;0;0
"41";2017-12-27;34,019;3,257;25,535;5,366;0;0;0;0
"42";2017-12-28;34,019;3,286;25,535;5,4839;0;0;0;0
"43";2017-12-29;34,019;3,2795;25,535;5,5565;0;0;0;0
"44";2018-01-02;34,019;3,256;25,535;5,7516;0;0;0;0
"45";2018-01-03;34,019;3,237;25,535;5,6518;0;0;0;0
"46";2018-01-04;34,019;3,2425;25,535;5,7175;0;0;0;0
"47";2018-01-05;34,019;3,207;25,227;5,6676;0;0;0;0
"48";2018-01-08;34,019;3,201;25,227;5,6427;0;0;0;0
"49";2018-01-09;34,019;3,1945;24,843;5,6744;0;0;0;0
"50";2018-01-10;34,019;3,215;24,843;5,8491;0;0;0;0
"51";2018-01-11;34,019;3,2135;24,843;5,8196;0;0;0;0
"52";2018-01-12;34,019;3,2;24,843;5,7425;0;0;0;0
"53";2018-01-15;35,38;3,1823;24,381;5,8196;0;0;0;0
"54";2018-01-16;34,7;3,199;24,381;5,6291;0;0;0;0
"55";2018-01-17;34,7;3,1665;24,381;5,6268;0;0;0;0
"56";2018-01-18;34,7;3,177;24,381;5,6472;0;0;0;0
"57";2018-01-19;36,287;3,167;24,074;5,7107;0;0;0;0
"58";2018-01-22;36,061;3,1775;24,074;5,7652;0;0;0;0
"59";2018-01-23;36,061;3,0895;24,074;5,7742;0;0;0;0
"60";2018-01-24;36,061;3,2085;23,766;5,8922;0;0;0;0
"61";2018-01-25;36,061;3,199;23,766;6,2097;0;0;0;0
"62";2018-01-26;36,174;3,1825;23,766;6,2324;0;0;0;0
"63";2018-01-29;36,174;3,178;23,766;6,2959;0;0;0;0
"64";2018-01-30;36,174;3,177;23,766;6,1825;0;0;0;0
"65";2018-01-31;36,174;3,184;23,766;6,1462;0;0;0;0
"66";2018-02-01;36,174;3,197;23,766;6,1394;0;0;0;0
"67";2018-02-02;36,401;3,1765;23,766;6,255;0;0;0;0
"68";2018-02-05;36,401;3,2105;23,766;6,1394;0;0;0;0
"69";2018-02-06;36,514;3,1775;23,766;6,0555;0;0;0;0
"70";2018-02-07;36,514;3,0765;23,766;6,1167;0;0;0;0
"71";2018-02-08;36,741;3,072;23,766;5,9058;0;0;0;0
"72";2018-02-09;36,741;3,0245;23,766;5,874;0;0;0;0
"73";2018-02-22;36,968;3,2375;23,766;6,1552;0;0;0;0
"74";2018-02-23;36,741;3,2085;23,766;6,2573;0;0;0;0
"75";2018-02-26;36,741;3,196;23,766;6,3072;0;0;0;0
"76";2018-02-27;36,514;3,1575;23,766;6,2936;0;0;0;0
"77";2018-02-28;36,628;3,1075;23,766;6,2573;0;0;0;0
"78";2018-03-01;36,628;3,0995;23,766;6,1235;0;0;0;0
"79";2018-03-02;35,834;3,101;23,766;6,0985;0;0;0;0
"80";2018-03-05;36,401;3,1055;23,766;6,0464;0;0;0;0
"81";2018-03-06;37,535;3,137;23,766;6,1575;0;0;0;0
"82";2018-03-07;37,648;3,114;23,766;6,0555;0;0;0;0
"83";2018-03-08;38,102;3,0585;23,766;6,0056;0;0;0;0
"84";2018-03-09;38,102;3,116;23,766;6,0487;0;0;0;0
"85";2018-03-12;38,102;3,104;23,766;6,2233;0;0;0;0
"86";2018-03-13;38,329;3,119;23,766;6,2709;0;0;0;0
"87";2018-03-14;38,555;3,14;23,766;6,3117;0;0;0;0
"88";2018-03-15;39,349;3,111;23,766;6,2051;0;0;0;0
"89";2018-03-16;39,916;3,093;23,766;6,2278;0;0;0;0
"90";2018-03-19;39,916;3,0695;23,766;6,0895;0;0;0;0
"91";2018-03-20;40,823;3,0255;23,766;6,128;0;0;0;0
"92";2018-03-21;43,091;3,0485;23,766;6,0419;0;0;0;0
"93";2018-03-22;42,864;3,012;23,766;6,0555;0;0;0;0
"94";2018-03-23;42,751;2,9845;23,766;5,9148;0;0;0;0
"95";2018-03-26;42,524;2,9605;23,766;5,8241;0;0;0;0
"96";2018-03-27;42,524;2,9915;23,766;5,908;0;0;0;0
