Ticker;Mean;Std;Min;Q1;Q3;Max;ZeroPct
COCOMX;-0.001;0.018;-0.113;0.000;0.000;0.098;87.345
CODALY;-0.001;0.013;-0.162;0.000;0.000;0.063;87.684
COLMEX;-0.001;0.013;-0.164;-0.000;0.000;0.064;16.497
COWUXI;-0.001;0.012;-0.089;-0.006;0.004;0.061;10.621
CUCOMX;-0.000;0.015;-0.053;-0.010;0.010;0.070;7.684
CUDALY;0.000;0.016;-0.105;-0.009;0.010;0.133;0.113
CULMEX;-0.000;0.013;-0.043;-0.007;0.008;0.069;0.226
CUSHFE;0.000;0.009;-0.054;-0.004;0.005;0.041;0.791
LICOMX;-0.001;0.027;-0.154;0.000;0.000;0.189;78.870
LIDALY;-0.000;0.050;-0.986;-0.003;0.002;0.814;6.780
LILMEX;-0.001;0.018;-0.152;0.000;0.000;0.149;64.294
LISAME;-0.000;0.009;-0.048;-0.003;0.003;0.060;0.000
NIDALY;-0.000;0.030;-0.163;-0.013;0.011;0.423;2.712
NILMEX;-0.000;0.030;-0.162;-0.013;0.012;0.508;0.113
NISHFE;-0.000;0.020;-0.128;-0.010;0.009;0.116;0.000
NIWUXI;-0.000;0.020;-0.157;-0.010;0.009;0.154;1.808
