Date;NIDALY;NILMEX;NISHFE;NIWUXI;CUDALY;CUCOMX;CULMEX;CUSHFE;LIDALY;LICOMX;LILMEX;LIANTH;CODALY;COLMEX;COWUXI;COCOMX;NIDALY_BD;NILMEX_BD;NISHFE_BD;NIWUXI_BD;CUDALY_BD;CUCOMX_BD;CULMEX_BD;CUSHFE_BD;LIDALY_BD;LICOMX_BD;LILMEX_BD;LIANTH_BD;CODALY_BD;COLMEX_BD;COWUXI_BD;COCOMX_BD
2021-07-19;8,5575;18462,000;142,570;142,000;4,2023;4,210;9222,000;68950,000;13,6910;15,000;15450,000;98000,000;24,1950;52477,500;362,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-20;8,4232;18684,000;138,820;140,000;4,1780;4,270;9336,000;67910,000;13,6910;15,000;15450,000;98000,000;24,1950;52473,000;366,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-21;8,3379;18580,000;138,140;137,700;4,2055;4,280;9347,000;68190,000;13,6910;15,000;15450,000;98146,379;24,1950;52468,000;366,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-22;8,5593;18922,000;138,320;137,600;4,2558;4,350;9441,500;68620,000;13,6910;15,000;15450,000;98434,082;24,1950;52463,000;367,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-23;8,7394;19372,000;141,500;141,100;4,2790;4,410;9516,000;69540,000;13,6910;15,000;15450,000;98813,202;24,1950;52463,000;369,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-26;8,8369;19717,000;145,040;147,200;4,3454;4,590;9809,500;70390,000;13,6910;15,000;15450,000;100000,000;24,1950;52441,000;370,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-27;8,7852;19357,000;146,700;144,200;4,4039;4,550;9758,500;71940,000;13,6910;15,000;15450,000;100000,000;24,1950;52436,000;365,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-28;8,8827;19543,000;145,720;145,700;4,3985;4,480;9686,000;72040,000;13,6910;15,000;15450,000;100000,000;24,1950;52431,000;366,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-29;8,9671;19835,000;146,550;147,800;4,4366;4,520;9823,500;71460,000;13,7790;16,000;15450,000;103000,000;24,1950;52426,000;364,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-30;9,0229;19552,000;147,260;145,100;4,4214;4,480;9728,000;71550,000;13,7730;16,000;15500,000;103000,000;24,1950;52426,000;354,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-02;8,9471;19516,000;146,210;144,700;4,4166;4,430;9700,500;71450,000;13,7730;16,000;15625,000;108000,000;24,5000;52404,000;348,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-03;8,7652;19388,000;144,260;143,500;4,3470;4,380;9541,500;70740,000;13,7670;16,000;15625,000;108000,000;24,5000;52399,000;347,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-04;8,8215;19243,000;143,620;142,550;4,3105;4,330;9466,000;70060,000;14,3190;16,000;15625,000;108000,000;24,3600;52394,000;350,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-05;8,7448;19472,000;143,350;144,600;4,2769;4,350;9491,500;69540,000;14,3180;16,000;15625,000;108000,000;24,3600;52389,000;349,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-06;8,8600;19214,000;145,010;143,250;4,3225;4,350;9468,000;69790,000;14,3000;16,000;15750,000;108000,000;24,3600;52389,000;349,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-09;8,5039;18620,000;141,800;138,950;4,2236;4,290;9369,500;69520,000;14,2790;16,000;15750,000;113000,000;24,3600;52367,000;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-10;8,4903;18952,000;139,840;141,450;4,2681;4,350;9520,500;69430,000;14,2710;16,000;15750,000;113000,000;24,2900;52361,500;344,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-11;8,5661;19368,000;141,120;144,050;4,2733;4,360;9512,000;69850,000;14,2650;16,000;15750,000;113000,000;24,2900;52350,500;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-12;8,8632;19678,000;147,600;146,200;4,3130;4,360;9467,500;70250,000;14,2810;16,000;15750,000;113000,000;23,8140;52350,500;341,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-13;8,9131;19656,000;148,390;147,250;4,2771;4,390;9570,000;70040,000;14,2750;16,000;15750,000;113000,000;24,2900;52350,500;343,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-16;8,8473;19510,000;147,980;147,100;4,2533;4,320;9442,000;70380,000;14,2820;16,000;15750,000;113000,000;24,1400;52328,500;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-17;8,8314;19193,000;146,380;144,550;4,2395;4,200;9247,500;69790,000;14,2740;16,000;15750,000;113000,000;24,1400;52000,000;344,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-18;8,6269;18887,000;144,230;142,400;4,1497;4,120;9042,500;68910,000;14,2730;16,000;15750,000;113000,000;24,0500;51197,000;345,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-19;8,3806;18385,000;141,410;140,950;3,9805;4,040;8894,000;67530,000;14,2320;16,000;15750,000;113000,000;24,0500;51198,000;347,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-20;8,4228;18463,000;139,800;141,400;4,0470;4,130;9037,000;66760,000;14,2320;16,000;16000,000;113000,000;24,0500;51200,000;345,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-23;8,5706;18893,000;140,570;143,500;4,1898;4,230;9273,500;67770,000;14,2320;16,000;16000,000;121000,000;24,0400;51181,000;347,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-24;8,6477;19074,000;142,240;143,500;4,2259;4,260;9376,000;68690,000;14,2320;16,000;16000,000;121000,000;24,0100;51178,000;353,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-25;8,7203;19170,000;143,640;143,900;4,2540;4,270;9356,000;69380,000;14,2780;16,000;16000,000;121000,000;24,0100;50100,000;353,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-26;8,5584;18772,000;144,230;141,000;4,2288;4,250;9299,500;69180,000;14,2680;16,000;16000,000;125000,000;24,0000;50109,000;353,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-27;8,5792;19011,000;142,040;142,950;4,2420;4,320;9410,000;68990,000;14,2780;16,000;16062,500;125000,000;24,0500;50111,500;354,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-30;8,6362;19668,891;145,510;148,000;4,3645;4,360;9642,034;69900,000;14,2970;16,000;15880,946;131500,000;22,8750;49840,779;354,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-31;8,8509;19547,000;149,730;148,600;4,2921;4,360;9520,000;69880,000;14,3160;16,000;16070,000;131500,000;23,9700;50092,500;354,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-01;8,8636;19332,000;149,940;146,700;4,2239;4,260;9335,500;69620,000;14,3050;16,000;16375,000;131500,000;23,4000;50500,000;357,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-02;8,8370;19464,000;148,580;147,400;4,2890;4,290;9376,500;69160,000;14,3230;17,000;16375,000;131500,000;23,2240;50504,000;363,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-03;8,8423;19789,000;147,390;148,500;4,2461;4,330;9431,000;69370,000;14,3420;17,000;17125,000;131500,000;23,4900;50499,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-06;8,9040;19654,000;147,790;147,350;4,2642;4,326;9450,500;69550,000;14,3240;17,712;17750,000;131500,000;23,4900;50485,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-07;8,8677;19506,000;146,730;145,800;4,2293;4,280;9350,500;69460,000;14,3060;18,000;17750,000;131500,000;23,6100;50482,000;364,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-08;8,9461;19713,000;147,720;147,900;4,2280;4,230;9249,000;69140,000;14,3240;18,000;17750,000;131500,000;23,0610;50479,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-09;9,1662;20190,000;149,530;151,950;4,2860;4,280;9387,500;68930,000;14,3300;18,000;17750,000;133500,000;23,3600;51140,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-10;9,2653;20392,000;153,870;153,600;4,4205;4,450;9694,500;69960,000;14,3700;19,000;18500,000;133500,000;23,3600;51137,000;371,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-13;8,9634;19726,000;152,920;147,700;4,3545;4,360;9562,500;71530,000;14,3260;19,000;18950,000;140500,000;23,3600;51123,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-14;8,9079;19623,000;147,990;146,450;4,3105;4,320;9442,000;70480,000;14,3470;19,000;18950,000;140500,000;23,3600;51120,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-15;9,0864;20016,000;147,960;147,950;4,3990;4,400;9627,000;69760,000;14,3780;19,000;18950,000;140500,000;23,3600;51117,000;355,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-16;8,8069;19401,000;147,270;145,500;4,2615;4,280;9366,500;70210,000;14,3420;19,000;18950,000;151000,000;23,3600;51120,000;354,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-17;8,7947;19358,000;144,690;144,500;4,2355;4,250;9312,000;69400,000;23,6620;20,000;19700,000;151000,000;24,2130;53000,000;357,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-20;8,6523;19056,000;142,752;143,500;4,1225;4,120;9033,000;68242,259;29,2830;20,000;19700,000;146503,366;24,2130;52990,000;360,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-21;8,5448;18830,000;143,454;142,600;4,1105;4,130;8975,500;68406,026;26,0610;20,000;19700,000;146031,667;24,2130;52988,000;365,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-22;8,7248;19221,000;144,150;145,000;4,2380;4,250;9286,000;68630,000;23,6580;20,000;19700,000;151000,000;24,2130;52987,000;365,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-23;8,7877;19351,000;144,640;145,600;4,2325;4,230;9273,500;68820,000;23,6920;20,000;19700,000;160000,000;24,2130;52991,000;368,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-24;8,8023;19387,000;145,450;145,200;4,2835;4,290;9332,500;69010,000;25,5080;20,000;20100,000;160000,000;24,2130;52990,000;366,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-27;8,5999;18946,000;145,530;143,150;4,2870;4,290;9362,000;69470,000;25,5270;20,000;20100,000;165000,000;24,2130;52972,000;370,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-28;8,4253;18564,000;142,210;141,400;4,2460;4,250;9269,000;69340,000;25,5430;20,000;20100,000;165000,000;24,2130;52974,000;369,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-29;8,3268;18342,000;141,620;138,800;4,1880;4,200;9155,000;68840,000;25,5250;20,000;20100,000;165000,000;24,2130;52976,000;371,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
