Date,Price_Dailymetal,Price_COMEX,Price_SA_LOB,Price_LAC,Price_EA_Carbonate,Price_EA_Carbonate_Batt
2016-12-31,20.92,14.0,10.0,10.13,37.75,43.7
2017-01-31,20.92,14.0,10.0,10.13,37.75,43.7
2017-02-28,20.92,14.0,10.25,10.13,37.75,43.7
2017-03-31,20.92,14.0,10.25,10.13,37.75,43.7
2017-04-30,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-10,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-11,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-12,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-15,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-16,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-17,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-18,20.92,14.0,10.5,10.13,37.75,43.7
2017-05-19,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-22,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-23,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-24,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-25,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-26,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-30,21.689,14.0,10.5,10.13,37.75,43.7
2017-05-31,21.689,14.0,10.5,10.13,37.75,43.7
2017-06-01,21.997,14.0,10.5455,10.13,37.75,43.7
2017-06-02,21.997,14.0,10.5909,10.13,37.75,43.7
2017-06-05,21.997,14.0,10.6364,10.13,37.75,43.7
2017-06-06,22.228,14.0,10.6818,10.13,37.75,43.7
2017-06-07,22.228,14.0,10.7273,10.13,37.75,43.7
2017-06-08,22.228,14.0,10.7727,10.13,37.75,43.7
2017-06-09,22.228,14.0,10.8182,10.13,37.75,43.7
2017-06-12,22.228,14.0,10.8636,10.13,37.75,43.7
2017-06-13,22.228,14.0,10.9091,10.13,37.75,43.7
2017-06-14,22.228,14.0,10.9545,10.13,37.75,43.7
2017-06-15,22.228,14.0,11.0,10.13,37.75,43.7
2017-06-16,22.228,14.0,11.0455,10.13,37.75,43.7
2017-06-19,22.228,14.0,11.0909,10.13,37.75,43.7
2017-06-20,22.228,14.0,11.1364,10.13,37.75,43.7
2017-06-21,22.228,14.0,11.1818,10.13,37.75,43.7
2017-06-22,22.228,14.0,11.2273,10.13,37.75,43.7
2017-06-23,22.228,14.0,11.2727,10.13,37.75,43.7
2017-06-26,22.382,14.0,11.3182,10.13,37.75,43.7
2017-06-27,22.382,14.0,11.3636,10.13,37.75,43.7
2017-06-28,22.382,14.0,11.4091,10.13,37.75,43.7
2017-06-29,22.382,14.0,11.4545,10.13,37.75,43.7
2017-06-30,22.382,14.0,11.5,10.13,37.75,43.7
2017-07-03,22.382,14.0,11.5476,10.13,37.75,43.7
2017-07-04,22.382,14.0,11.5952,10.13,37.75,43.7
2017-07-05,22.382,14.0,11.6429,10.13,37.75,43.7
2017-07-06,22.382,14.0,11.6905,10.13,37.75,43.7
2017-07-07,22.382,14.0,11.7381,10.13,37.75,43.7
2017-07-10,22.382,14.0,11.7857,10.13,37.75,43.7
2017-07-11,22.382,14.0,11.8333,10.13,37.75,43.7
2017-07-12,22.382,14.0,11.881,10.13,37.75,43.7
2017-07-13,22.382,14.0,11.9286,10.13,37.75,43.7
2017-07-14,22.382,14.0,11.9762,10.13,37.75,43.7
2017-07-17,22.382,14.0,12.0238,10.13,37.75,43.7
2017-07-18,22.382,14.0,12.0714,10.13,37.75,43.7
2017-07-19,22.382,14.0,12.119,10.13,37.75,43.7
2017-07-20,22.382,14.0,12.1667,10.13,37.75,43.7
2017-07-21,22.382,14.0,12.2143,10.13,37.75,43.7
2017-07-24,22.382,14.0,12.2619,10.13,37.75,43.7
2017-07-25,22.382,14.0,12.3095,10.13,37.75,43.7
2017-07-26,22.382,14.0,12.3571,10.13,37.75,43.7
2017-07-27,22.382,14.0,12.4048,10.13,37.75,43.7
2017-07-28,22.382,14.0,12.4524,10.13,37.75,43.7
2017-07-31,22.843,14.0,12.5,10.13,37.75,43.7
2017-08-01,22.843,14.0,12.5568,10.13,37.75,43.7
2017-08-02,22.843,14.0,12.6136,10.13,37.75,43.7
2017-08-03,22.843,14.0,12.6705,10.13,37.75,43.7
2017-08-04,22.843,14.0,12.7273,10.13,37.75,43.7
2017-08-07,22.843,14.0,12.7841,10.13,37.75,43.7
2017-08-08,22.843,14.0,12.8409,10.13,37.75,43.7
2017-08-10,23.305,14.0,12.8977,10.13,37.75,43.7
2017-08-11,23.305,14.0,12.9545,10.13,37.75,43.7
2017-08-14,23.305,14.0,13.0114,10.13,37.75,43.7
2017-08-15,23.305,14.0,13.0682,10.13,37.75,43.7
2017-08-16,23.305,14.0,13.125,10.13,37.75,43.7
2017-08-17,23.305,14.0,13.1818,10.13,37.75,43.7
2017-08-18,23.305,14.0,13.2386,10.13,37.75,43.7
2017-08-21,23.305,14.0,13.2955,10.13,37.75,43.7
2017-08-22,23.997,14.0,13.3523,10.13,37.75,43.7
2017-08-23,23.997,14.0,13.4091,10.13,37.75,43.7
2017-08-24,23.997,14.0,13.4659,10.13,37.75,43.7
