Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
;24300;0;0;;;;;;;;;
24.12.2024;24300;0;0;53000;28700;118,106995884774;53000;28700;118,106995884774;53000;28700;118,106995884774
23.12.2024;24300;0;0;50500;26200;107,818930041152;50500;26200;107,818930041152;50500;26200;107,818930041152
20.12.2024;24300;0;0;52500;28200;116,049382716049;52500;28200;116,049382716049;52500;28200;116,049382716049
19.12.2024;24300;0;0;42500;18200;74,8971193415638;42500;18200;74,8971193415638;42500;18200;74,8971193415638
18.12.2024;24300;0;0;44100;19800;81,4814814814815;44100;19800;81,4814814814815;44100;19800;81,4814814814815
17.12.2024;24300;0;0;50000;25700;105,761316872428;50000;25700;105,761316872428;50000;25700;105,761316872428
16.12.2024;24300;0;0;46500;22200;91,358024691358;46500;22200;91,358024691358;46500;22200;91,358024691358
13.12.2024;24300;0;0;45200;20900;86,0082304526749;45200;20900;86,0082304526749;45200;20900;86,0082304526749
12.12.2024;24300;0;0;41000;16700;68,7242798353909;41000;16700;68,7242798353909;41000;16700;68,7242798353909
11.12.2024;24300;0;0;37750;13450;55,3497942386831;37995;13695;56,358024691358;37750;13450;55,3497942386831
10.12.2024;24300;0;0;37500;13200;54,320987654321;37500;13200;54,320987654321;37500;13200;54,320987654321
09.12.2024;24300;0;0;37500;13200;54,320987654321;37500;13200;54,320987654321;37500;13200;54,320987654321
06.12.2024;24300;0;0;37600;13300;54,7325102880658;38000;13700;56,3786008230453;37600;13300;54,7325102880658
05.12.2024;24300;0;0;37000;12700;52,2633744855967;37000;12700;52,2633744855967;37000;12700;52,2633744855967
04.12.2024;24300;0;0;37000;12700;52,2633744855967;37000;12700;52,2633744855967;37000;12700;52,2633744855967
03.12.2024;24300;0;0;36000;11700;48,1481481481481;36000;11700;48,1481481481481;36000;11700;48,1481481481481
02.12.2024;24300;0;0;35000;10700;44,0329218106996;35000;10700;44,0329218106996;35000;10700;44,0329218106996
29.11.2024;24300;0;0;34000;9700;39,917695473251;34000;9700;39,917695473251;34000;9700;39,917695473251
28.11.2024;24300;0;0;33000;8700;35,8024691358025;33000;8700;35,8024691358025;33000;8700;35,8024691358025
27.11.2024;24300;0;0;32000;7700;31,6872427983539;32000;7700;31,6872427983539;32000;7700;31,6872427983539
26.11.2024;24300;0;0;34000;9700;39,917695473251;34000;9700;39,917695473251;34000;9700;39,917695473251
25.11.2024;24300;0;0;33500;9200;37,8600823045267;33500;9200;37,8600823045267;33500;9200;37,8600823045267
22.11.2024;24300;0;0;32500;8200;33,7448559670782;33000;8700;35,8024691358025;32500;8200;33,7448559670782
21.11.2024;24300;0;0;31000;6700;27,5720164609053;32000;7700;31,6872427983539;31000;6700;27,5720164609053
20.11.2024;24300;0;0;30000;5700;23,4567901234568;30000;5700;23,4567901234568;30000;5700;23,4567901234568
19.11.2024;24300;0;0;29000;4700;19,3415637860082;29500;5200;21,3991769547325;29000;4700;19,3415637860082
18.11.2024;24300;1,75;0,00720216476495221;28750;4451,75;18,3212782813577;28750;4451,75;18,3212782813577;28750;4451,75;18,3212782813577
15.11.2024;24298,25;1,75;0,00720268351408639;28500;4203,5;17,3008458008355;28500;4203,5;17,3008458008355;28500;4203,5;17,3008458008355
14.11.2024;24296,5;5,25;0,0216127206298564;30000;5708,75;23,5012607420367;30000;5708,75;23,5012607420367;30000;5708,75;23,5012607420367
13.11.2024;24291,25;1,75;0,00720475925811565;31000;6710,5;27,6271640009057;31000;6710,5;27,6271640009057;31000;6710,5;27,6271640009057
