Date;Price
31.12.2016;10000
31.01.2017;10000
28.02.2017;10250
31.03.2017;10250
30.04.2017;10500
31.05.2017;10500
30.06.2017;11500
31.07.2017;12500
31.08.2017;13750
30.09.2017;13750
31.10.2017;13875
30.11.2017;14000
31.12.2017;14000
31.01.2018;14500
28.02.2018;14500
31.03.2018;14750
30.04.2018;14750
31.05.2018;15750
30.06.2018;15750
31.07.2018;15000
31.08.2018;15000
30.09.2018;14500
31.10.2018;14375
30.11.2018;13500
31.12.2018;13500
31.01.2019;13250
28.02.2019;13000
31.03.2019;13000
30.04.2019;12750
31.05.2019;12250
30.06.2019;11500
31.07.2019;10500
31.08.2019;10375
30.09.2019;10250
31.10.2019;10100
30.11.2019;9500
31.12.2019;9250
31.01.2020;8500
29.02.2020;8500
31.03.2020;7875
30.04.2020;6500
31.05.2020;6750
30.06.2020;6750
31.07.2020;6500
31.08.2020;6250
30.09.2020;6000
31.10.2020;5850
30.11.2020;6000
31.12.2020;6125
31.01.2021;6750
28.02.2021;7875
31.03.2021;8000
30.04.2021;8750
31.05.2021;9250
30.06.2021;9500
31.07.2021;10500
31.08.2021;11000
30.09.2021;11500
31.10.2021;14000
30.11.2021;14000
31.12.2021;18000
31.01.2022;25000
28.02.2022;39875
31.03.2022;42500
30.04.2022;47500
31.05.2022;47000
30.06.2022;44500
29.07.2022;46000
31.08.2022;47000
30.09.2022;48000
31.10.2022;57500
30.11.2022;57750
30.12.2022;59250
25.01.2023;64500
22.02.2023;62000
08.03.2023;62000
22.03.2023;59500
05.04.2023;54750
19.04.2023;54750
03.05.2023;47375
17.05.2023;47375
31.05.2023;49875
14.06.2023;46250
28.06.2023;47375
12.07.2023;47375
26.07.2023;39750
09.08.2023;39750
23.08.2023;39750
06.09.2023;36250
20.09.2023;34750
04.10.2023;32750
18.10.2023;28250
01.11.2023;28250
15.11.2023;28250
29.11.2023;23750
13.12.2023;20000
27.12.2023;18750
10.01.2024;16000
24.01.2024;16000
07.02.2024;15250
21.02.2024;13750
06.03.2024;13750
20.03.2024;13750
03.04.2024;13425
17.04.2024;13775
01.05.2024;13675
15.05.2024;13675
29.05.2024;13675
12.06.2024;13675
26.06.2024;12500
10.07.2024;11860
24.07.2024;11550
07.08.2024;11550
21.08.2024;10375
04.09.2024;10375
18.09.2024;10375
02.10.2024;10375
16.10.2024;9000
30.10.2024;9000
13.11.2024;9000
27.11.2024;9600
11.12.2024;10000
