Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
;15655;344;2,24675070210959;;;;;;;;;
27.12.2024;15311;-166;-1,07255928151451;15550;73;0,47166763584674;15590;113;0,73011565548879;15215;-262;-1,69283452865542
24.12.2024;15477;185;1,20978289301596;15390;98;0,640857964948993;15575;283;1,85064085796495;15290;-2;-0,0130787339785509
23.12.2024;15292;-64;-0,416775201875488;15435;79;0,514456889815056;15530;174;1,13310758009898;15270;-86;-0,560041677520188
20.12.2024;15356;243;1,60788724938794;15090;-23;-0,152186858995567;15370;257;1,70052272877655;15065;-48;-0,317607357903791
19.12.2024;15113;-395;-2,54707247872066;15540;32;0,206345112200155;15540;32;0,206345112200155;15070;-438;-2,82434872323962
18.12.2024;15508;5;0,0322518222279559;15525;22;0,141908017803006;15585;82;0,528929884538476;15465;-38;-0,245113848932465
17.12.2024;15503;-205;-1,30506748153807;15690;-18;-0,114591291061879;15710;2;0,0127323656735421;15495;-213;-1,35599694423224
16.12.2024;15708;-154;-0,970873786407767;15875;13;0,0819568780733829;15880;18;0,113478754255453;15670;-192;-1,2104400453915
13.12.2024;15862;-306;-1,89262741217219;16160;-8;-0,049480455220188;16270;102;0,630875804057397;15785;-383;-2,3688767936665
12.12.2024;16168;310;1,9548492874259;15825;-33;-0,208096859629209;16230;372;2,34581914491109;15825;-33;-0,208096859629209
11.12.2024;15858;143;0,909958638243716;15770;55;0,349984091632199;15890;175;1,11358574610245;15655;-60;-0,381800827235126
10.12.2024;15715;-281;-1,75668917229307;16005;9;0,0562640660165041;16040;44;0,275068767191798;15675;-321;-2,00675168792198
09.12.2024;15996;-51;-0,317816414283044;16020;-27;-0,168255748738082;16135;88;0,548389106998193;15915;-132;-0,822583660497289
06.12.2024;16047;73;0,456992612996119;15970;-4;-0,025040691123075;16125;151;0,945286089896081;15970;-4;-0,025040691123075
05.12.2024;15974;-133;-0,825727944372012;16100;-7;-0,0434593654932638;16100;-7;-0,0434593654932638;15850;-257;-1,59557956168126
04.12.2024;16107;92;0,574461442397752;16040;25;0,156103652825476;16205;190;1,18638776147362;15995;-20;-0,124882922260381
03.12.2024;16015;322;2,05187026062576;15765;72;0,458803288090231;16095;402;2,56165169183712;15650;-43;-0,27400751927611
02.12.2024;15693;-210;-1,32050556498774;15840;-63;-0,396151669496321;15945;42;0,264101112997548;15645;-258;-1,62233540841351
29.11.2024;15903;-161;-1,00224103585657;16080;16;0,099601593625498;16115;51;0,317480079681275;15880;-184;-1,14541832669323
28.11.2024;16064;181;1,13958320216584;15885;2;0,012592079581943;16125;242;1,5236416294151;15885;2;0,012592079581943
27.11.2024;15883;-113;-0,706426606651663;16010;14;0,0875218804701175;16085;89;0,556389097274319;15830;-166;-1,03775943985996
26.11.2024;15996;-207;-1,2775411960748;16250;47;0,290069740171573;16250;47;0,290069740171573;15930;-273;-1,68487317163488
25.11.2024;16203;233;1,45898559799624;15915;-55;-0,344395742016281;16290;320;2,00375704445836;15910;-60;-0,375704445835942
22.11.2024;15970;256;1,62912052946417;15700;-14;-0,0890925289550719;16040;326;2,07458317423953;15675;-39;-0,248186330660557
21.11.2024;15714;-192;-1,2070916635232;15900;-6;-0,0377216144851;16055;149;0,936753426379982;15660;-246;-1,5465861938891
20.11.2024;15906;40;0,252111433253498;15830;-36;-0,226900289928148;16140;274;1,72696331778646;15830;-36;-0,226900289928148
19.11.2024;15866;137;0,871002606650137;15720;-9;-0,0572191493419798;15990;261;1,65935533091741;15670;-59;-0,375103312352979
18.11.2024;15729;189;1,21621621621622;15550;10;0,0643500643500644;15745;205;1,31917631917632;15460;-80;-0,514800514800515
15.11.2024;15540;-79;-0,505794224982393;15680;61;0,390549971188937;15865;246;1,57500480184391;15475;-144;-0,921954030347653
14.11.2024;15619;-111;-0,705657978385251;15730;0;0;15845;115;0,731087094723458;15575;-155;-0,985378258105531
13.11.2024;15730;-167;-1,05051267534755;15935;38;0,239038812354532;15975;78;0,490658614832987;15715;-182;-1,14487010127697
12.11.2024;15897;-211;-1,30990812018873;16125;17;0,105537621057859;16150;42;0,260740004966476;15875;-233;-1,44648621802831
11.11.2024;16108;-289;-1,76251753369519;16330;-67;-0,408611331341099;16380;-17;-0,10367750198207;16070;-327;-1,99426724400805
08.11.2024;16397;-190;-1,1454753722795;16590;3;0,0180864532465184;16685;98;0,590824139386266;16310;-277;-1,66998251642853
07.11.2024;16587;460;2,85235939728406;16165;38;0,235629689340857;16650;523;3,243008619086;16135;8;0,0496062503875488
06.11.2024;16127;4;0,0248092786702227;16115;-8;-0,0496185573404453;16210;87;0,539601811077343;15885;-238;-1,47615208087825
05.11.2024;16123;116;0,724682951208846;16100;93;0,58099581433123;16375;368;2,29899419004186;16040;33;0,206159805085275
04.11.2024;16007;63;0,395132965378826;16000;56;0,351229302558956;16150;206;1,29202207727045;15915;-29;-0,181886603110888
01.11.2024;15944;226;1,43784196462654;15740;22;0,139966916910548;16155;437;2,78025194045044;15720;2;0,0127242651736862
31.10.2024;15718;-98;-0,61962569549823;15805;-11;-0,069549822964087;15885;69;0,436267071320182;15705;-111;-0,701820940819423
