Date,CODALY,COLMEX,COCOMX,COLMEAS,COSMMS
2023-05-04,15.844,34499.0,15.0,109.0,35000.0
2023-05-05,15.844,34504.5,15.0,109.0,35000.0
2023-05-07,15.844,34495.846,15.0045,102.5,34967.8494
2023-05-08,15.844,34488.74,15.0,98.3996,35000.0
2023-05-09,15.844,34483.0,15.0,96.0,35000.0
2023-05-10,15.844,34483.0,15.0,96.0,34750.0
2023-05-11,15.844,34494.0,15.0,96.0,34750.0
2023-05-12,15.844,34500.0,15.0,96.0,34750.0
2023-05-14,15.8443,34490.2097,15.0004,96.0079,35324.338
2023-05-15,15.844,34484.0,15.0,96.0,35500.0
2023-05-16,15.844,34483.0,15.0,96.0,35500.0
2023-05-17,15.844,34483.0,15.0,96.0,36000.0
2023-05-18,15.844,34492.0,15.0,96.0,36500.0
2023-05-19,15.844,34496.5,15.0,96.0,36500.0
2023-05-21,15.5869,33920.9876,14.2864,96.0,36281.9707
2023-05-22,15.844,34484.0,14.0,96.0,36500.0
2023-05-23,15.844,34484.0,14.0,96.0,37000.0
2023-05-24,13.696,29750.0,14.0,96.0,37250.0
2023-05-25,13.689,29750.0,14.0,96.0,37250.0
2023-05-26,13.392,29100.0,14.0,96.0,37250.0
2023-05-28,13.1438,28545.9505,13.9994,95.9938,37256.3271
2023-05-29,13.2802,28841.0277,13.9998,95.9935,37250.0
2023-05-30,13.392,29083.0,14.0,96.0,37250.0
2023-05-31,13.392,29083.0,14.0,96.0,37250.0
2023-06-01,13.392,29092.0,14.0,96.0,37250.0
2023-06-02,13.392,29096.0,14.0,96.0,37750.0
2023-06-04,13.3916,29086.0262,13.9997,93.8591,37803.2509
2023-06-05,13.392,29083.0,14.0,93.0,37750.0
2023-06-06,13.392,29083.0,14.0,93.0,38000.0
2023-06-07,13.392,29083.0,14.0,93.0,38250.0
2023-06-08,13.392,29092.0,14.0,93.0,38250.0
2023-06-09,13.392,29096.0,14.0,93.0,38500.0
2023-06-11,13.392,29086.7374,14.5948,92.9992,38585.9238
2023-06-12,13.392,29083.0,15.0,93.0,38750.0
2023-06-13,13.392,29083.0,15.0,93.0,39250.0
2023-06-14,13.392,29083.0,14.0,93.0,39750.0
2023-06-15,13.392,29096.0,14.0,93.0,39750.0
2023-06-16,13.392,29096.0,14.0,93.0,39750.0
2023-06-18,13.392,29085.0954,13.9611,93.0,39537.266
2023-06-19,13.392,29083.0,13.9825,93.0,39750.0
2023-06-20,13.392,29084.0,14.0,93.0,40250.0
2023-06-21,13.392,29084.0,14.0,93.0,40250.0
2023-06-22,13.392,29095.0,14.0,93.0,40194.8152
2023-06-23,13.392,29100.0,14.0,93.0,40240.3866
2023-06-26,13.392,29084.0,14.0,93.0,40750.0
2023-06-27,13.392,29084.0,14.0,93.0,41000.0
2023-06-28,13.392,29084.0,14.0,93.0,41250.0
2023-06-29,14.234,30950.0,14.0,93.0,41250.0
2023-06-30,15.159,33000.0,14.0,93.0,41750.0
2023-07-02,15.3445,33395.3909,14.1467,93.0,41111.5662
2023-07-03,15.159,32978.5,15.0,93.0,41750.0
2023-07-04,15.159,32978.5,16.5004,93.0,43500.0
2023-07-05,15.159,32978.5,17.0,93.0,43500.0
2023-07-06,15.159,32988.5,16.0,93.0,43500.0
2023-07-07,15.159,32994.0,17.0,93.0,43750.0
2023-07-09,15.1588,32982.3269,16.9348,93.0,44064.1114
2023-07-10,15.159,32978.0,17.0,93.0,44500.0
2023-07-11,15.159,32978.5,18.0,93.0,45250.0
