Date,Price_DailyMetal,Price_LME,Price_LME_3M,Price_LME_All_Location_Stock,Price_WUXI,Price_COMEX
2016-12-30,,32734.0,,,,
2017-01-02,14.855,,,,,
2017-01-03,14.742,32735.0,32750.0,691.0,83.6,
2017-01-04,14.742,32736.0,32750.0,676.0,84.0,
2017-01-05,14.742,32739.5,32750.0,676.0,84.3,
2017-01-06,14.742,32740.5,32750.0,676.0,84.15,
2017-01-09,14.742,32742.0,32750.0,676.0,85.25,
2017-01-10,14.855,32993.0,33000.0,676.0,86.45,
2017-01-11,15.059,33244.0,33250.0,676.0,86.05,
2017-01-12,15.15,33499.0,33500.0,706.0,83.95,
2017-01-13,15.513,34449.0,34450.0,706.0,85.15,
2017-01-16,15.649,34750.0,34750.0,706.0,85.4,
2017-01-17,15.762,35000.0,35000.0,706.0,84.4,
2017-01-18,15.876,35250.0,35250.0,706.0,83.85,
2017-01-19,15.876,35250.0,35250.0,706.0,83.3,
2017-01-20,16.103,35750.0,35750.0,706.0,80.05,
2017-01-23,16.216,35750.0,35750.0,704.0,81.75,
2017-01-24,16.216,36000.0,36000.0,704.0,81.45,
2017-01-25,16.329,36000.0,36000.0,704.0,81.35,
2017-01-26,16.443,36500.0,36500.0,704.0,79.95,
2017-01-27,16.67,37000.0,37000.0,668.0,,
2017-01-30,16.67,37000.0,37000.0,653.0,80.55,
2017-01-31,16.67,37000.0,37000.0,653.0,82.5,
2017-02-01,16.896,37500.0,37500.0,652.0,83.25,
2017-02-02,16.896,37500.0,37500.0,652.0,85.6,
2017-02-03,16.896,37500.0,37500.0,652.0,84.7,
2017-02-06,17.01,37750.0,37750.0,644.0,84.95,
2017-02-07,17.237,38250.0,38250.0,644.0,84.75,
2017-02-08,17.463,38750.0,38750.0,644.0,85.65,
2017-02-09,17.804,39500.0,39500.0,644.0,84.8,
2017-02-10,18.053,39850.0,39850.0,644.0,87.0,
2017-02-13,19.051,42250.0,42250.0,638.0,87.8,
2017-02-14,19.164,42500.0,42500.0,677.0,87.65,
2017-02-15,19.504,43000.0,43000.0,677.0,88.3,
2017-02-16,19.504,43250.0,43250.0,677.0,89.6,
2017-02-17,19.958,44250.0,44250.0,677.0,89.6,
