Date,CUDALY,CUCOMX,CULMEX,CUSMMG,CUSHFE,CUETFC
2017-01-01,,,,51420.0,,
2017-01-03,2.481,2.48,5500.0,45710.0,45780.0,
2017-01-04,2.548,2.55,5644.0,44770.0,45000.0,
2017-01-05,2.5295,2.53,5580.0,45510.0,45560.0,
2017-01-06,2.538,2.54,5590.0,45195.0,45160.0,
2017-01-09,2.53,2.53,5591.0,45425.0,45330.0,
2017-01-10,2.6035,2.6,5758.0,45545.0,45530.0,
2017-01-11,2.601,2.6,5714.0,46770.0,46660.0,
2017-01-12,2.6605,2.66,5842.0,46790.0,46690.0,
2017-01-13,2.6805,2.68,5909.0,47315.0,47240.0,
2017-01-16,2.568,2.6500000000000004,5865.0,47725.0,47590.0,
2017-01-17,2.6165,2.62,5754.0,46890.0,47040.0,
2017-01-18,2.608,2.61,5769.0,46230.0,46350.0,
2017-01-19,2.6015,2.6,5739.5,46565.0,46530.0,
2017-01-20,2.617,2.62,5748.0,46430.0,46340.0,
2017-01-23,2.6395,2.64,5795.0,46875.0,46780.0,
2017-01-24,2.7005,2.7,5943.0,46785.0,46810.0,
2017-01-25,2.7025,2.7,5942.0,47400.0,47480.0,
2017-01-26,2.666,2.67,5857.0,47430.0,47660.0,
2017-01-27,2.68,2.68,5899.0,47308.333333333336,47503.333333333336,
2017-01-30,2.6475,2.65,5820.0,47186.666666666664,47346.666666666664,
2017-01-31,2.7215,2.72,5991.0,47065.0,47190.0,
2017-02-01,2.7045,2.7,5945.0,46943.333333333336,47033.333333333336,
2017-02-02,2.678,2.68,5886.0,46821.666666666664,46876.666666666664,
2017-02-03,2.6095,2.61,5772.0,46700.0,46720.0,
2017-02-06,2.6455,2.65,5846.0,46490.0,46480.0,
2017-02-07,2.626,2.63,5795.0,46630.0,46690.0,
2017-02-08,2.6605,2.66,5895.0,47055.0,47150.0,
2017-02-09,2.648,2.65,5822.0,47210.0,47250.0,
2017-02-10,2.762,2.76,6090.0,46885.0,47010.0,
2017-02-13,2.7765,2.78,6106.0,49640.0,49320.0,
2017-02-14,2.731,2.73,6021.0,49390.0,49400.0,
2017-02-15,2.736,2.74,6067.0,48710.0,48490.0,
2017-02-16,2.716,2.72,6000.0,48950.0,48780.0,
2017-02-17,2.7055,2.71,5960.0,48435.0,48400.0,
2017-02-20,2.66,2.73,6070.0,48270.0,48280.0,
2017-02-21,2.7455,2.75,6060.0,48795.0,48850.0,
2017-02-22,2.7325,2.73,6040.0,48540.0,48630.0,
2017-02-23,2.6425,2.64,5859.0,48370.0,48320.0,
2017-02-24,2.68,2.68,5928.0,47225.0,47460.0,
2017-02-27,2.6875,2.69,5934.0,47710.0,47700.0,
2017-02-28,2.704,2.7,5973.0,47540.0,47640.0,
2017-03-01,2.7265,2.73,6016.0,48050.0,48150.0,
2017-03-02,2.6795,2.68,5930.0,48275.0,48430.0,
2017-03-03,2.687,2.69,5917.0,47710.0,47860.0,
2017-03-06,2.643,2.64,5858.0,47950.0,47900.0,
2017-03-07,2.6095,2.61,5773.0,47400.0,47430.0,
2017-03-08,2.592,2.59,5765.5,46970.0,46990.0,
2017-03-09,2.57,2.57,5690.0,46520.0,46480.0,
2017-03-10,2.5865,2.59,5732.0,46230.0,46220.0,
2017-03-13,2.6165,2.62,5796.0,46680.0,46690.0,
2017-03-14,2.624,2.62,5820.0,46960.0,46840.0,
2017-03-15,2.6455,2.65,5864.0,47225.0,47020.0,
2017-03-16,2.6655,2.67,5909.0,47640.0,47770.0,
2017-03-17,2.6795,2.68,5935.0,47600.0,47690.0,
2017-03-20,2.6555,2.66,5880.0,47660.0,47810.0,
2017-03-21,2.61,2.61,5776.0,46960.0,47330.0,
2017-03-22,2.622,2.62,5808.0,46345.0,46580.0,
