Date,Price_Lithium,Price_SouthAmericaLOB,Price_Lithium_Hydroxide,Price_Lithium_Americas,Price_EastAsia_Lithium_Carbonate,Price_EastAsia_Lithium_Carbonate_Battery_Grade,Price_LME_Lithium,Dailymetal,South America,Lithium Carboxyde COMEX,Lithium Americas Corp,East Asia,East Asia Battery Grade,Lithium Carboxyde LME
2023-10-18,23.857,28250.0,24.0,8.16,23.32,23.25,23886.36,0.04571754186026111,-0.13740458015267176,-0.040000000000000036,-0.3037542662116042,0.024154589371980784,0.026037069726390083,-0.02504653061224482
2023-11-01,22.339,28250.0,22.0,6.6,18.23,18.15,22000.0,-0.0636291235276858,0.0,-0.08333333333333337,-0.1911764705882354,-0.2182675814751286,-0.21935483870967754,-0.07897226701766202
2023-11-15,20.507,28250.0,21.0,7.54,19.87,18.88,21488.64,-0.08200904248175822,0.0,-0.045454545454545414,0.14242424242424256,0.0899616017553484,0.04022038567493125,-0.023243636363636355
2023-11-29,17.748,23750.0,21.0,6.6,17.85,16.94,20693.18,-0.13453942556200327,-0.15929203539823011,0.0,-0.12466843501326264,-0.10166079516859583,-0.10275423728813549,-0.037017698653800335
2023-12-13,13.584,20000.0,17.0,6.44,17.12,16.63,16992.86,-0.23461798512508458,-0.1578947368421053,-0.19047619047619047,-0.024242424242424176,-0.04089635854341733,-0.018299881936245654,-0.17881833531627322
2023-12-27,13.501,18750.0,17.0,6.78,18.26,17.83,16771.88,-0.006110129564193212,-0.0625,0.0,0.052795031055900665,0.06658878504672905,0.07215874924834642,-0.01300428532925002
2024-01-10,13.32,16000.0,15.0,5.87,16.91,16.65,14897.73,-0.013406414339678485,-0.1466666666666666,-0.11764705882352944,-0.13421828908554578,-0.07393209200438122,-0.06618059450364555,-0.11174358509600602
2024-01-24,13.346,16000.0,15.0,4.73,16.05,15.91,14627.73,0.001951951951951969,0.0,0.0,-0.1942078364565587,-0.05085748078060315,-0.0444444444444444,-0.01812356647623492
2024-02-07,13.552,15250.0,13.0,4.07,15.21,15.55,13250.0,0.015435336430391189,-0.046875,-0.1333333333333333,-0.13953488372093026,-0.0523364485981308,-0.022627278441231913,-0.09418617926363149
2024-02-21,13.28,13750.0,13.0,4.33,14.66,14.63,13250.0,-0.02007083825265643,-0.09836065573770492,0.0,0.06388206388206386,-0.03616042077580539,-0.05916398713826365,0.0
2024-03-06,15.071,13750.0,14.0,5.36,17.23,16.92,13250.0,0.1348644578313254,0.0,0.07692307692307687,0.23787528868360286,0.17530695770804905,0.1565276828434723,0.0
2024-03-20,16.046,13750.0,13.0,5.99,16.86,16.56,13273.5,0.06469378276159499,0.0,-0.0714285714285714,0.11753731343283569,-0.021474172954149773,-0.021276595744680993,0.0017735849056603747
2024-04-03,14.995,13425.0,14.0,7.09,15.84,15.69,13150.0,-0.06549918982924097,-0.023636363636363678,0.07692307692307687,0.18363939899833048,-0.06049822064056942,-0.05253623188405798,-0.009304252834595239
2024-04-17,15.403,13775.0,14.0,6.63,16.09,15.6,13752.38,0.02720906968989678,0.026070763500931182,0.0,-0.06488011283497885,0.015782828282828287,-0.005736137667303964,0.04580836501901131
2024-05-01,15.26,13675.0,14.0,4.35,16.25,16.03,14350.0,-0.009283905732649478,-0.007259528130671544,0.0,-0.3438914027149321,0.009944064636420169,0.027564102564102688,0.04345575093183873
2024-05-15,14.598,13675.0,14.0,4.39,15.53,15.03,14290.91,-0.043381389252948876,0.0,0.0,0.009195402298850519,-0.04430769230769238,-0.062383031815346324,-0.00411777003484326
2024-06-12,13.444,13675.0,14.0,2.99,15.09,14.56,13557.5,-0.07905192492122204,0.0,0.0,-0.31890660592255116,-0.028332260141661236,-0.031270791749833604,-0.05132003490330561
2024-06-26,12.588,12500.0,13.0,2.71,14.17,13.59,13517.5,-0.06367152633144912,-0.08592321755027421,-0.0714285714285714,-0.09364548494983282,-0.06096752816434725,-0.06662087912087922,-0.0029503964595242183
2024-07-10,12.457,11860.0,12.0,2.58,13.86,13.64,11928.26,-0.010406736574515296,-0.05120000000000002,-0.07692307692307687,-0.047970479704797064,-0.021877205363443952,0.003679175864606421,-0.11756907712224896
2024-07-24,11.844,11550.0,12.0,2.66,13.66,13.39,11982.61,-0.049209279922935,-0.02613827993254636,0.0,0.03100775193798455,-0.014430014430014348,-0.01832844574780057,0.004556406382825395
2024-08-07,11.084,11550.0,11.0,2.23,13.37,13.19,11300.91,-0.06416751097602158,0.0,-0.08333333333333337,-0.16165413533834594,-0.021229868228404114,-0.014936519790888836,-0.05689077755180216
2024-08-21,10.296,10375.0,11.0,2.8,12.62,12.64,10930.45,-0.07109346806207151,-0.10173160173160178,0.0,0.25560538116591913,-0.05609573672400903,-0.04169825625473833,-0.03278143087592056
2024-09-04,10.587,10375.0,11.0,2.36,12.54,12.2,10550.0,0.028263403263403264,0.0,0.0,-0.15714285714285714,-0.006339144215530945,-0.034810126582278555,-0.0348064352336821
2024-09-18,10.261,10375.0,10.0,2.34,12.37,11.94,10035.24,-0.030792481345045863,0.0,-0.09090909090909094,-0.008474576271186418,-0.013556618819776656,-0.021311475409836023,-0.048792417061611415
2024-10-16,10.321,9000.0,10.0,3.29,12.17,11.58,9560.87,0.005847383295975117,-0.1325301204819277,0.0,0.4059829059829061,-0.01616814874696837,-0.03015075376884413,-0.04727041904329132
2024-10-30,10.189,9000.0,10.0,4.11,12.04,11.42,9497.83,-0.012789458385815244,0.0,0.0,0.2492401215805471,-0.010682004930156141,-0.013816925734024155,-0.006593542219484272
2024-11-27,10.841,9600.0,9.0,3.95,11.62,11.41,8933.33,0.0639905780743939,0.06666666666666665,-0.09999999999999998,-0.03892944038929447,-0.03488372093023251,-0.0008756567425568518,-0.05943462875204131
2024-12-11,10.537,10000.0,9.0,3.37,11.46,11.46,9400.0,-0.02804169357070363,0.04166666666666674,0.0,-0.1468354430379747,-0.01376936316695343,0.004382120946538226,0.052239198596715886
