Date,Price_Nickel,Price_LME,Price_ETF,Net,%Chg,Open,Low,High
2016-12-30,4.5196,10020.0,20.82,,,,,
2017-01-02,4.5196,9965.0,20.82,,,,,
2017-01-03,4.6266,9910.0,20.82,,,,,
2017-01-04,4.5223,10220.0,20.82,,,,,
2017-01-05,4.638,10295.0,20.82,,,,,
2017-01-06,4.6176,10245.0,20.82,,,,,
2017-01-09,4.6448,10390.0,20.82,,,,,
2017-01-10,4.731,10615.0,20.82,,,,,
2017-01-11,4.7355,10180.0,20.82,,,,,
2017-01-12,4.5132,10275.0,20.82,,,,,
2017-01-13,4.5858,10450.0,20.82,,,,,
2017-01-16,4.6402,10260.0,20.82,,,,,
2017-01-17,4.613,10160.0,20.82,,,,,
2017-01-18,4.6062,10175.0,20.82,,,,,
2017-01-19,4.5495,9925.0,20.82,,,,,
2017-01-20,4.4135,9700.0,20.82,,,,,
2017-01-23,4.4293,9710.0,20.82,,,,,
2017-01-24,4.4271,9800.0,20.82,,,,,
2017-01-25,4.3681,9700.0,20.82,,,,,
2017-01-26,4.3363,9410.0,20.82,,,,,
2017-01-27,4.2524,9475.0,20.82,,,,,
2017-01-30,4.3046,9680.0,20.82,,,,,
2017-01-31,4.4815,9955.0,20.82,,,,,
2017-02-01,4.545,10250.0,20.82,,,,,
2017-02-02,4.6969,10395.0,20.82,,,,,
2017-02-03,4.604,10225.0,20.82,,,,,
2017-02-06,4.6856,10450.0,20.82,,,,,
2017-02-07,4.7083,10355.0,20.82,,,,,
2017-02-08,4.7332,10495.0,20.82,,,,,
2017-02-09,4.706,10280.0,20.82,,,,,
2017-02-10,4.731,10660.0,20.82,,,,,
2017-02-13,4.8398,10730.0,20.82,,,,,
2017-02-14,4.9079,10770.0,20.82,,,,,
2017-02-15,4.8557,10930.0,20.82,,,,,
2017-02-16,4.9305,11070.0,20.82,,,,,
2017-02-17,4.9328,11050.0,20.82,,,,,
2017-02-20,5.0077,11150.0,20.82,,,,,
2017-02-21,4.9963,10855.0,20.82,,,,,
2017-02-22,4.8557,10810.0,20.82,,,,,
2017-02-23,4.8217,10580.0,20.82,,,,,
2017-02-24,4.8421,10860.0,20.82,,,,,
2017-02-27,4.9396,11045.0,20.82,,,,,
2017-02-28,4.9283,10980.0,20.82,,,,,
2017-03-01,4.9804,11030.0,20.82,,,,,
2017-03-02,4.9419,10780.0,20.82,,,,,
2017-03-03,4.9351,10990.0,20.82,,,,,
2017-03-06,4.9396,11095.0,20.82,,,,,
2017-03-07,4.951,10645.0,20.82,,,,,
2017-03-08,4.7695,10200.0,20.82,,,,,
2017-03-09,4.5586,10150.0,20.82,,,,,
2017-03-10,4.545,9895.0,20.82,,,,,
2017-03-13,4.5994,10170.0,20.82,,,,,
2017-03-14,4.5745,10230.0,20.82,,,,,
2017-03-15,4.6176,10205.0,20.82,,,,,
2017-03-16,4.6584,10220.0,20.82,,,,,
2017-03-17,4.6221,10260.0,20.82,,,,,
2017-03-20,4.5609,10165.0,20.82,,,,,
2017-03-21,4.5813,10160.0,20.82,,,,,
2017-03-22,4.511,10020.0,20.82,,,,,
2017-03-23,4.4951,10030.0,20.82,,,,,
2017-03-24,4.4951,9870.0,20.82,,,,,
2017-03-27,4.4021,9770.0,20.82,,,,,
2017-03-28,4.4157,9995.0,20.82,,,,,
2017-03-29,4.4951,10045.0,20.82,,,,,
2017-03-30,4.5042,10135.0,20.82,,,,,
2017-03-31,4.477,10025.0,20.82,,,,,
2017-04-03,4.5178,9850.0,20.82,,,,,
2017-04-04,4.4724,9980.0,20.82,,,,,
2017-04-05,4.6085,10295.0,20.82,,,,,
2017-04-06,4.6788,10080.0,20.82,,,,,
2017-04-07,4.511,10180.0,20.82,,,,,
2017-04-10,4.5767,10180.0,20.82,,,,,
2017-04-11,4.5541,9840.0,20.82,,,,,
2017-04-12,4.3998,9735.0,20.82,,,,,
2017-04-13,4.3953,9750.0,20.82,,,,,
2017-04-14,4.3977,9603.333333333334,20.82,,,,,
2017-04-17,4.3977,9456.666666666666,20.82,,,,,
2017-04-18,4.325,9310.0,20.82,,,,,
2017-04-19,4.2864,9340.0,20.82,,,,,
2017-04-20,4.2502,9480.0,20.82,,,,,
2017-04-21,4.2592,9345.0,20.82,,,,,
2017-04-24,4.2025,9260.0,20.82,,,,,
