Date,NIDALY,NILMEX,NIETFN,NISHFE,NIWUXI,NIINDA
2016-12-30,,10020.0,,,,
2017-01-02,4.5196,,,,,690.7
2017-01-03,4.6266,9910.0,,84.78,83.6,683.8
2017-01-04,4.5223,10220.0,,82.91,84.0,697.1
2017-01-05,4.638,10295.0,,83.91,84.3,696.1
2017-01-06,4.6176,10245.0,,83.51,84.15,700.5
2017-01-09,4.6448,10390.0,,84.42,85.25,706.9
2017-01-10,4.731,10615.0,,85.33,86.45,721.0
2017-01-11,4.7355,10180.0,,85.98,86.05,688.6
2017-01-12,4.5132,10275.0,,84.36,83.95,701.8
2017-01-13,4.5858,10450.0,,83.78,85.15,710.0
2017-01-16,4.6402,10260.0,,85.17,85.4,697.2
2017-01-17,4.613,10160.0,,84.65,84.4,688.0
2017-01-18,4.6062,10175.0,,83.57,83.85,693.1
2017-01-19,4.5495,9925.0,,83.71,83.3,673.2
2017-01-20,4.4135,9700.0,,82.35,80.05,658.7
2017-01-23,4.4293,9710.0,,81.15,81.75,664.6
2017-01-24,4.4271,9800.0,,81.05,81.45,667.0
2017-01-25,4.3681,9700.0,,80.7,81.35,659.8
2017-01-26,4.3363,9410.0,,80.55,79.95,
2017-01-27,4.2524,9475.0,,,,645.1
2017-01-30,4.3046,9680.0,,,80.55,656.9
2017-01-31,4.4815,9955.0,,,82.5,667.8
2017-02-01,4.545,10250.0,,,83.25,692.1
2017-02-02,4.6969,10395.0,,,85.6,696.9
2017-02-03,4.604,10225.0,,83.03,84.7,689.6
2017-02-06,4.6856,10450.0,,84.8,84.95,703.1
2017-02-07,4.7083,10355.0,,84.8,84.75,696.9
2017-02-08,4.7332,10495.0,,84.5,85.65,701.9
2017-02-09,4.706,10280.0,,85.2,84.8,686.3
2017-02-10,4.731,10660.0,,85.2,87.0,710.8
2017-02-13,4.8398,10730.0,,87.25,87.8,714.5
2017-02-14,4.9079,10770.0,,88.0,87.65,720.4
