Date,Price,Unit
2017-01-02,14.855,lb (Pound)
2017-01-03,14.742,lb (Pound)
2017-01-04,14.742,lb (Pound)
2017-01-05,14.742,lb (Pound)
2017-01-06,14.742,lb (Pound)
2017-01-09,14.742,lb (Pound)
2017-01-10,14.855,lb (Pound)
2017-01-11,15.059,lb (Pound)
2017-01-12,15.150,lb (Pound)
2017-01-13,15.513,lb (Pound)
2017-01-16,15.649,lb (Pound)
2017-01-17,15.762,lb (Pound)
2017-01-18,15.876,lb (Pound)
2017-01-19,15.876,lb (Pound)
2017-01-20,16.103,lb (Pound)
2017-01-23,16.216,lb (Pound)
2017-01-24,16.216,lb (Pound)
2017-01-25,16.329,lb (Pound)
2017-01-26,16.443,lb (Pound)
2017-01-27,16.670,lb (Pound)
2017-01-30,16.670,lb (Pound)
2017-01-31,16.670,lb (Pound)
2017-02-01,16.896,lb (Pound)
2017-02-02,16.896,lb (Pound)
2017-02-03,16.896,lb (Pound)
2017-02-06,17.010,lb (Pound)
2017-02-07,17.237,lb (Pound)
2017-02-08,17.463,lb (Pound)
2017-02-09,17.804,lb (Pound)
2017-02-10,18.053,lb (Pound)
2017-02-13,19.051,lb (Pound)
2017-02-14,19.164,lb (Pound)
2017-02-15,19.504,lb (Pound)
2017-02-16,19.504,lb (Pound)
2017-02-17,19.958,lb (Pound)
2017-02-20,21.546,lb (Pound)
2017-02-21,21.546,lb (Pound)
2017-02-22,21.546,lb (Pound)
2017-02-23,21.546,lb (Pound)
2017-02-24,21.546,lb (Pound)
2017-02-27,22.226,lb (Pound)
2017-02-28,22.566,lb (Pound)
2017-03-01,23.020,lb (Pound)
2017-03-02,23.020,lb (Pound)
2017-03-03,23.088,lb (Pound)
2017-03-06,22.952,lb (Pound)
2017-03-07,22.906,lb (Pound)
2017-03-08,23.088,lb (Pound)
2017-03-09,23.587,lb (Pound)
2017-03-10,23.587,lb (Pound)
2017-03-13,23.587,lb (Pound)
2017-03-14,23.927,lb (Pound)
2017-03-15,24.040,lb (Pound)
2017-03-16,24.040,lb (Pound)
2017-03-17,23.814,lb (Pound)
2017-03-20,23.814,lb (Pound)
2017-03-21,23.814,lb (Pound)
2017-03-22,24.381,lb (Pound)
2017-03-23,24.381,lb (Pound)
2017-03-24,24.313,lb (Pound)
2017-03-27,24.267,lb (Pound)
2017-03-28,24.267,lb (Pound)
2017-03-29,24.834,lb (Pound)
2017-03-30,24.834,lb (Pound)
2017-03-31,24.675,lb (Pound)
2017-04-03,25.174,lb (Pound)
2017-04-04,25.288,lb (Pound)
2017-04-05,25.515,lb (Pound)
2017-04-06,25.288,lb (Pound)
2017-04-07,25.174,lb (Pound)
2017-04-10,25.061,lb (Pound)
2017-04-11,25.288,lb (Pound)
2017-04-12,24.948,lb (Pound)
2017-04-13,24.948,lb (Pound)
2017-04-14,25.061,lb (Pound)
2017-04-17,25.061,lb (Pound)
2017-04-18,24.948,lb (Pound)
2017-04-19,24.834,lb (Pound)
2017-04-20,24.721,lb (Pound)
2017-04-21,24.948,lb (Pound)
2017-04-24,24.834,lb (Pound)
2017-04-25,24.834,lb (Pound)
2017-04-26,24.834,lb (Pound)
2017-04-27,24.948,lb (Pound)
2017-04-28,24.834,lb (Pound)
2017-05-01,24.948,lb (Pound)
2017-05-02,24.721,lb (Pound)
2017-05-03,24.721,lb (Pound)
2017-05-04,23.360,lb (Pound)
2017-05-05,24.721,lb (Pound)
2017-05-08,24.721,lb (Pound)
2017-05-09,24.494,lb (Pound)
2017-05-10,24.494,lb (Pound)
2017-05-11,24.494,lb (Pound)
2017-05-12,24.494,lb (Pound)
2017-05-15,24.494,lb (Pound)
2017-05-16,24.948,lb (Pound)
2017-05-17,24.948,lb (Pound)
2017-05-18,24.721,lb (Pound)
2017-05-19,24.494,lb (Pound)
2017-05-22,24.721,lb (Pound)
2017-05-23,24.607,lb (Pound)
2017-05-24,24.607,lb (Pound)
2017-05-25,25.061,lb (Pound)
2017-05-26,25.288,lb (Pound)
2017-05-29,25.288,lb (Pound)
2017-05-30,25.288,lb (Pound)
2017-05-31,25.401,lb (Pound)
2017-06-01,25.447,lb (Pound)
2017-06-02,25.401,lb (Pound)
2017-06-05,25.401,lb (Pound)
2017-06-06,25.288,lb (Pound)
2017-06-07,25.401,lb (Pound)
2017-06-08,25.401,lb (Pound)
2017-06-09,25.401,lb (Pound)
2017-06-12,25.401,lb (Pound)
2017-06-13,25.628,lb (Pound)
2017-06-14,25.515,lb (Pound)
2017-06-15,25.515,lb (Pound)
2017-06-16,26.082,lb (Pound)
2017-06-19,26.082,lb (Pound)
2017-06-20,26.308,lb (Pound)
2017-06-21,26.308,lb (Pound)
2017-06-22,26.308,lb (Pound)
2017-06-23,26.308,lb (Pound)
2017-06-26,26.535,lb (Pound)
2017-06-27,26.762,lb (Pound)
2017-06-28,26.762,lb (Pound)
2017-06-29,26.989,lb (Pound)
2017-06-30,26.989,lb (Pound)
2017-07-03,26.762,lb (Pound)
2017-07-04,26.535,lb (Pound)
2017-07-05,26.535,lb (Pound)
2017-07-06,27.669,lb (Pound)
2017-07-07,26.989,lb (Pound)
2017-07-10,26.989,lb (Pound)
2017-07-11,26.989,lb (Pound)
2017-07-12,26.762,lb (Pound)
2017-07-13,26.762,lb (Pound)
2017-07-14,26.762,lb (Pound)
2017-07-17,26.535,lb (Pound)
2017-07-18,26.308,lb (Pound)
2017-07-19,26.535,lb (Pound)
2017-07-20,26.535,lb (Pound)
2017-07-21,26.308,lb (Pound)
2017-07-24,26.308,lb (Pound)
2017-07-25,25.855,lb (Pound)
2017-07-26,25.855,lb (Pound)
2017-07-27,25.855,lb (Pound)
2017-07-28,25.855,lb (Pound)
2017-07-31,25.855,lb (Pound)
2017-08-01,25.855,lb (Pound)
2017-08-02,22.680,lb (Pound)
2017-08-03,26.308,lb (Pound)
2017-08-04,26.535,lb (Pound)
2017-08-07,25.605,lb (Pound)
2017-08-08,25.855,lb (Pound)
2017-08-09,25.855,lb (Pound)
2017-08-10,25.855,lb (Pound)
2017-08-11,25.061,lb (Pound)
2017-08-14,25.628,lb (Pound)
2017-08-15,25.628,lb (Pound)
2017-08-16,25.628,lb (Pound)
2017-08-17,25.174,lb (Pound)
2017-08-18,26.308,lb (Pound)
2017-08-21,26.989,lb (Pound)
2017-08-22,26.989,lb (Pound)
2017-08-23,26.989,lb (Pound)
2017-08-24,26.989,lb (Pound)
2017-08-25,27.442,lb (Pound)
2017-08-28,27.556,lb (Pound)
2017-08-29,27.669,lb (Pound)
2017-08-30,27.442,lb (Pound)
2017-08-31,27.442,lb (Pound)
2017-09-01,27.556,lb (Pound)
2017-09-04,27.442,lb (Pound)
2017-09-05,27.442,lb (Pound)
2017-09-06,27.442,lb (Pound)
2017-09-07,27.442,lb (Pound)
2017-09-08,27.442,lb (Pound)
2017-09-11,27.442,lb (Pound)
2017-09-12,27.352,lb (Pound)
2017-09-13,27.352,lb (Pound)
2017-09-14,27.352,lb (Pound)
2017-09-15,28.123,lb (Pound)
2017-09-18,26.989,lb (Pound)
2017-09-19,26.989,lb (Pound)
2017-09-20,26.762,lb (Pound)
2017-09-21,26.762,lb (Pound)
2017-09-22,26.762,lb (Pound)
2017-09-25,26.762,lb (Pound)
2017-09-26,26.762,lb (Pound)
2017-09-27,26.535,lb (Pound)
2017-09-28,26.535,lb (Pound)
2017-09-29,26.535,lb (Pound)
2017-10-02,26.762,lb (Pound)
2017-10-03,26.762,lb (Pound)
2017-10-04,26.535,lb (Pound)
2017-10-05,26.535,lb (Pound)
2017-10-06,26.762,lb (Pound)
2017-10-09,26.762,lb (Pound)
2017-10-10,26.762,lb (Pound)
2017-10-11,26.308,lb (Pound)
2017-10-12,26.875,lb (Pound)
2017-10-13,26.875,lb (Pound)
2017-10-16,26.875,lb (Pound)
2017-10-17,27.102,lb (Pound)
2017-10-18,28.123,lb (Pound)
2017-10-19,27.216,lb (Pound)
2017-10-20,27.556,lb (Pound)
2017-10-23,26.762,lb (Pound)
2017-10-24,26.989,lb (Pound)
