Date,Price,Unit
2017-01-02,14.855,lb (Pound)
2017-01-02,14.855,lb (Pound)
2017-01-03,14.742,lb (Pound)
2017-01-03,14.742,lb (Pound)
2017-01-04,14.742,lb (Pound)
2017-01-04,14.742,lb (Pound)
2017-01-05,14.742,lb (Pound)
2017-01-05,14.742,lb (Pound)
2017-01-06,14.742,lb (Pound)
2017-01-06,14.742,lb (Pound)
2017-01-09,14.742,lb (Pound)
2017-01-09,14.742,lb (Pound)
2017-01-10,14.855,lb (Pound)
2017-01-10,14.855,lb (Pound)
2017-01-11,15.059,lb (Pound)
2017-01-11,15.059,lb (Pound)
2017-01-12,15.15,lb (Pound)
2017-01-12,15.15,lb (Pound)
2017-01-13,15.513,lb (Pound)
2017-01-13,15.513,lb (Pound)
2017-01-16,15.649,lb (Pound)
2017-01-16,15.649,lb (Pound)
2017-01-17,15.762,lb (Pound)
2017-01-17,15.762,lb (Pound)
2017-01-18,15.876,lb (Pound)
2017-01-18,15.876,lb (Pound)
2017-01-19,15.876,lb (Pound)
2017-01-19,15.876,lb (Pound)
2017-01-20,16.103,lb (Pound)
2017-01-20,16.103,lb (Pound)
2017-01-23,16.216,lb (Pound)
2017-01-23,16.216,lb (Pound)
2017-01-24,16.216,lb (Pound)
2017-01-24,16.216,lb (Pound)
2017-01-25,16.329,lb (Pound)
2017-01-25,16.329,lb (Pound)
2017-01-26,16.443,lb (Pound)
2017-01-26,16.443,lb (Pound)
2017-01-27,16.67,lb (Pound)
2017-01-27,16.67,lb (Pound)
2017-01-30,16.67,lb (Pound)
2017-01-30,16.67,lb (Pound)
2017-01-31,16.67,lb (Pound)
2017-01-31,16.67,lb (Pound)
2017-02-01,16.896,lb (Pound)
2017-02-01,16.896,lb (Pound)
2017-02-02,16.896,lb (Pound)
2017-02-02,16.896,lb (Pound)
2017-02-03,16.896,lb (Pound)
2017-02-03,16.896,lb (Pound)
2017-02-06,17.01,lb (Pound)
2017-02-06,17.01,lb (Pound)
2017-02-07,17.237,lb (Pound)
2017-02-07,17.237,lb (Pound)
2017-02-08,17.463,lb (Pound)
2017-02-08,17.463,lb (Pound)
2017-02-09,17.804,lb (Pound)
2017-02-09,17.804,lb (Pound)
2017-02-10,18.053,lb (Pound)
2017-02-10,18.053,lb (Pound)
2017-02-13,19.051,lb (Pound)
2017-02-13,19.051,lb (Pound)
2017-02-14,19.164,lb (Pound)
2017-02-14,19.164,lb (Pound)
2017-02-15,19.504,lb (Pound)
2017-02-15,19.504,lb (Pound)
2017-02-16,19.504,lb (Pound)
2017-02-16,19.504,lb (Pound)
2017-02-17,19.958,lb (Pound)
2017-02-17,19.958,lb (Pound)
2017-02-20,21.546,lb (Pound)
2017-02-20,21.546,lb (Pound)
2017-02-21,21.546,lb (Pound)
2017-02-21,21.546,lb (Pound)
2017-02-22,21.546,lb (Pound)
2017-02-22,21.546,lb (Pound)
2017-02-23,21.546,lb (Pound)
2017-02-23,21.546,lb (Pound)
2017-02-24,21.546,lb (Pound)
2017-02-24,21.546,lb (Pound)
2017-02-27,22.226,lb (Pound)
2017-02-27,22.226,lb (Pound)
2017-02-28,22.566,lb (Pound)
2017-02-28,22.566,lb (Pound)
2017-03-01,23.02,lb (Pound)
2017-03-01,23.02,lb (Pound)
2017-03-02,23.02,lb (Pound)
2017-03-02,23.02,lb (Pound)
2017-03-03,23.088,lb (Pound)
2017-03-03,23.088,lb (Pound)
2017-03-06,22.952,lb (Pound)
2017-03-06,22.952,lb (Pound)
2017-03-07,22.906,lb (Pound)
2017-03-07,22.906,lb (Pound)
2017-03-08,23.088,lb (Pound)
2017-03-08,23.088,lb (Pound)
2017-03-09,23.587,lb (Pound)
2017-03-09,23.587,lb (Pound)
2017-03-10,23.587,lb (Pound)
2017-03-10,23.587,lb (Pound)
2017-03-13,23.587,lb (Pound)
2017-03-13,23.587,lb (Pound)
2017-03-14,23.927,lb (Pound)
