Date,Price,Unit
2022-01-03,31.978,lb (Pound)
2022-01-04,31.978,lb (Pound)
2022-01-05,31.978,lb (Pound)
2022-01-06,31.978,lb (Pound)
2022-01-07,31.978,lb (Pound)
2022-01-10,31.978,lb (Pound)
2022-01-11,31.978,lb (Pound)
2022-01-12,31.978,lb (Pound)
2022-01-13,31.978,lb (Pound)
2022-01-14,31.978,lb (Pound)
2022-01-17,31.978,lb (Pound)
2022-01-18,31.978,lb (Pound)
2022-01-19,31.978,lb (Pound)
2022-01-20,32.659,lb (Pound)
2022-01-21,32.659,lb (Pound)
2022-01-24,32.659,lb (Pound)
2022-01-25,32.205,lb (Pound)
2022-01-26,32.205,lb (Pound)
2022-01-27,32.205,lb (Pound)
2022-01-28,32.205,lb (Pound)
2022-01-31,32.205,lb (Pound)
2022-02-01,32.205,lb (Pound)
2022-02-02,32.205,lb (Pound)
2022-02-03,32.205,lb (Pound)
2022-02-04,32.205,lb (Pound)
2022-02-07,32.205,lb (Pound)
2022-02-08,32.205,lb (Pound)
2022-02-09,32.205,lb (Pound)
2022-02-10,32.205,lb (Pound)
2022-02-11,32.205,lb (Pound)
2022-02-14,32.205,lb (Pound)
2022-02-15,32.205,lb (Pound)
2022-02-16,32.205,lb (Pound)
2022-02-17,32.205,lb (Pound)
2022-02-18,33.012,lb (Pound)
2022-02-21,33.012,lb (Pound)
2022-02-22,33.244,lb (Pound)
2022-02-23,33.244,lb (Pound)
2022-02-24,33.566,lb (Pound)
2022-02-25,33.566,lb (Pound)
2022-02-28,33.566,lb (Pound)
2022-03-01,33.566,lb (Pound)
2022-03-02,33.566,lb (Pound)
2022-03-03,34.382,lb (Pound)
2022-03-04,34.382,lb (Pound)
2022-03-07,35.968,lb (Pound)
2022-03-08,37.102,lb (Pound)
2022-03-09,37.195,lb (Pound)
2022-03-10,37.195,lb (Pound)
2022-03-11,37.195,lb (Pound)
2022-03-14,37.195,lb (Pound)
2022-03-15,37.195,lb (Pound)
2022-03-16,37.195,lb (Pound)
2022-03-17,37.195,lb (Pound)
2022-03-18,37.195,lb (Pound)
2022-03-21,37.195,lb (Pound)
2022-03-22,37.195,lb (Pound)
2022-03-23,37.195,lb (Pound)
2022-03-24,37.195,lb (Pound)
2022-03-25,37.195,lb (Pound)
2022-03-28,37.195,lb (Pound)
2022-03-29,37.195,lb (Pound)
2022-03-30,37.195,lb (Pound)
2022-03-31,37.195,lb (Pound)
2022-04-01,37.195,lb (Pound)
2022-04-04,37.195,lb (Pound)
2022-04-05,37.195,lb (Pound)
2022-04-06,37.195,lb (Pound)
2022-04-07,37.195,lb (Pound)
2022-04-08,37.195,lb (Pound)
2022-04-11,37.195,lb (Pound)
2022-04-12,37.195,lb (Pound)
2022-04-13,37.195,lb (Pound)
2022-04-14,37.195,lb (Pound)
2022-04-15,37.195,lb (Pound)
2022-04-18,37.195,lb (Pound)
2022-04-19,37.195,lb (Pound)
2022-04-20,37.195,lb (Pound)
2022-04-21,37.195,lb (Pound)
2022-04-22,37.195,lb (Pound)
2022-04-25,37.195,lb (Pound)
2022-04-26,37.195,lb (Pound)
2022-04-27,37.195,lb (Pound)
2022-04-28,37.195,lb (Pound)
2022-04-29,37.195,lb (Pound)
2022-05-02,37.195,lb (Pound)
2022-05-03,37.195,lb (Pound)
2022-05-04,37.195,lb (Pound)
2022-05-05,37.195,lb (Pound)
2022-05-06,37.195,lb (Pound)
2022-05-09,37.195,lb (Pound)
2022-05-10,37.195,lb (Pound)
2022-05-11,37.195,lb (Pound)
2022-05-12,37.195,lb (Pound)
2022-05-13,37.195,lb (Pound)
2022-05-16,34.019,lb (Pound)
2022-05-17,34.019,lb (Pound)
2022-05-18,34.019,lb (Pound)
2022-05-19,34.019,lb (Pound)
2022-05-20,34.019,lb (Pound)
2022-05-23,34.019,lb (Pound)
2022-05-24,34.019,lb (Pound)
2022-05-25,34.019,lb (Pound)
2022-05-26,34.019,lb (Pound)
2022-05-27,33.566,lb (Pound)
2022-05-30,33.566,lb (Pound)
2022-05-31,33.566,lb (Pound)
2022-06-01,33.566,lb (Pound)
2022-06-02,33.566,lb (Pound)
2022-06-03,33.566,lb (Pound)
2022-06-06,33.518,lb (Pound)
2022-06-07,33.067,lb (Pound)
2022-06-08,33.067,lb (Pound)
2022-06-09,33.067,lb (Pound)
2022-06-10,33.067,lb (Pound)
2022-06-13,32.847,lb (Pound)
2022-06-14,32.847,lb (Pound)
2022-06-15,32.847,lb (Pound)
2022-06-16,32.847,lb (Pound)
2022-06-17,32.840,lb (Pound)
2022-06-20,32.840,lb (Pound)
2022-06-21,32.840,lb (Pound)
2022-06-22,32.840,lb (Pound)
2022-06-23,32.840,lb (Pound)
2022-06-24,32.840,lb (Pound)
2022-06-27,32.414,lb (Pound)
2022-06-28,31.960,lb (Pound)
2022-06-29,31.960,lb (Pound)
2022-06-30,31.960,lb (Pound)
2022-07-01,29.685,lb (Pound)
2022-07-04,29.685,lb (Pound)
2022-07-05,29.685,lb (Pound)
2022-07-06,27.424,lb (Pound)
2022-07-07,27.420,lb (Pound)
2022-07-08,27.417,lb (Pound)
2022-07-11,27.417,lb (Pound)
2022-07-12,27.417,lb (Pound)
2022-07-13,27.417,lb (Pound)
2022-07-14,27.417,lb (Pound)
2022-07-15,25.149,lb (Pound)
2022-07-18,22.888,lb (Pound)
2022-07-19,22.888,lb (Pound)
2022-07-20,22.888,lb (Pound)
2022-07-21,22.888,lb (Pound)
2022-07-22,22.888,lb (Pound)
2022-07-25,22.888,lb (Pound)
2022-07-26,22.888,lb (Pound)
2022-07-27,22.888,lb (Pound)
2022-07-28,22.888,lb (Pound)
2022-07-29,22.888,lb (Pound)
2022-08-01,22.888,lb (Pound)
2022-08-02,22.888,lb (Pound)
2022-08-03,22.888,lb (Pound)
2022-08-04,22.428,lb (Pound)
2022-08-05,22.428,lb (Pound)
2022-08-08,22.428,lb (Pound)
2022-08-09,22.428,lb (Pound)
2022-08-10,21.525,lb (Pound)
2022-08-11,21.525,lb (Pound)
2022-08-12,21.525,lb (Pound)
2022-08-15,21.298,lb (Pound)
2022-08-16,21.298,lb (Pound)
2022-08-17,22.432,lb (Pound)
2022-08-18,22.432,lb (Pound)
2022-08-19,22.432,lb (Pound)
2022-08-22,22.432,lb (Pound)
2022-08-23,22.432,lb (Pound)
2022-08-24,23.566,lb (Pound)
2022-08-25,23.566,lb (Pound)
2022-08-26,23.566,lb (Pound)
2022-08-29,23.566,lb (Pound)
2022-08-30,23.566,lb (Pound)
2022-08-31,23.566,lb (Pound)
2022-09-01,23.566,lb (Pound)
2022-09-02,23.566,lb (Pound)
