Date,Price,Unit
2024-01-02,3.8618,lb (Pound)
2024-01-03,3.8579,lb (Pound)
2024-01-04,3.8245,lb (Pound)
2024-01-05,3.7859,lb (Pound)
2024-01-08,3.7962,lb (Pound)
2024-01-09,3.7472,lb (Pound)
2024-01-10,3.7819,lb (Pound)
2024-01-11,3.7779,lb (Pound)
2024-01-12,3.7427,lb (Pound)
2024-01-15,3.7753,lb (Pound)
2024-01-16,3.7578,lb (Pound)
2024-01-17,3.7410,lb (Pound)
2024-01-18,3.7467,lb (Pound)
2024-01-19,3.7870,lb (Pound)
2024-01-22,3.7501,lb (Pound)
2024-01-23,3.7968,lb (Pound)
2024-01-24,3.8695,lb (Pound)
2024-01-25,3.8629,lb (Pound)
2024-01-26,3.8539,lb (Pound)
2024-01-29,3.8703,lb (Pound)
2024-01-30,3.9040,lb (Pound)
2024-01-31,3.8949,lb (Pound)
2024-02-01,3.8545,lb (Pound)
2024-02-02,3.8235,lb (Pound)
2024-02-05,3.7694,lb (Pound)
2024-02-06,3.7789,lb (Pound)
2024-02-07,3.7342,lb (Pound)
2024-02-08,3.7057,lb (Pound)
2024-02-09,3.6886,lb (Pound)
2024-02-12,3.7217,lb (Pound)
2024-02-13,3.7092,lb (Pound)
2024-02-14,3.6988,lb (Pound)
2024-02-15,3.7558,lb (Pound)
2024-02-16,3.8380,lb (Pound)
2024-02-19,3.8035,lb (Pound)
2024-02-20,3.8677,lb (Pound)
2024-02-21,3.8719,lb (Pound)
2024-02-22,3.8907,lb (Pound)
2024-02-23,3.8768,lb (Pound)
2024-02-26,3.8267,lb (Pound)
2024-02-27,3.8313,lb (Pound)
2024-02-28,3.8254,lb (Pound)
2024-02-29,3.8317,lb (Pound)
2024-03-01,3.8550,lb (Pound)
2024-03-04,3.8483,lb (Pound)
2024-03-05,3.8449,lb (Pound)
2024-03-06,3.8706,lb (Pound)
2024-03-07,3.9131,lb (Pound)
2024-03-08,3.8850,lb (Pound)
2024-03-11,3.9240,lb (Pound)
2024-03-12,3.9207,lb (Pound)
2024-03-13,4.0405,lb (Pound)
2024-03-14,4.0296,lb (Pound)
2024-03-15,4.1125,lb (Pound)
2024-03-18,4.1129,lb (Pound)
2024-03-19,4.0514,lb (Pound)
2024-03-20,4.0355,lb (Pound)
2024-03-21,4.0517,lb (Pound)
2024-03-22,3.9960,lb (Pound)
2024-03-25,3.9996,lb (Pound)
2024-03-26,3.9929,lb (Pound)
2024-03-27,3.9986,lb (Pound)
2024-03-28,4.0084,lb (Pound)
2024-03-29,4.0142,lb (Pound)
2024-04-01,4.0526,lb (Pound)
2024-04-02,4.0699,lb (Pound)
2024-04-03,4.2068,lb (Pound)
2024-04-04,4.2381,lb (Pound)
2024-04-05,4.2417,lb (Pound)
2024-04-08,4.2906,lb (Pound)
2024-04-09,4.2868,lb (Pound)
2024-04-10,4.2633,lb (Pound)
2024-04-11,4.2521,lb (Pound)
2024-04-12,4.2585,lb (Pound)
2024-04-15,4.3578,lb (Pound)
2024-04-16,4.3083,lb (Pound)
2024-04-17,4.3512,lb (Pound)
2024-04-18,4.4256,lb (Pound)
2024-04-19,4.4975,lb (Pound)
2024-04-22,4.4883,lb (Pound)
2024-04-23,4.4417,lb (Pound)
2024-04-24,4.4671,lb (Pound)
2024-04-25,4.5423,lb (Pound)
2024-04-26,4.5740,lb (Pound)
2024-04-29,4.6608,lb (Pound)
2024-04-30,4.5700,lb (Pound)
2024-05-01,4.5425,lb (Pound)
2024-05-02,4.5133,lb (Pound)
2024-05-03,4.5570,lb (Pound)
2024-05-06,4.6289,lb (Pound)
2024-05-07,4.6178,lb (Pound)
2024-05-08,4.5640,lb (Pound)
2024-05-09,4.6127,lb (Pound)
2024-05-10,4.6625,lb (Pound)
2024-05-13,4.7565,lb (Pound)
2024-05-14,4.8918,lb (Pound)
2024-05-15,4.9335,lb (Pound)
2024-05-16,4.8746,lb (Pound)
2024-05-17,5.0500,lb (Pound)
2024-05-20,5.1036,lb (Pound)
2024-05-21,5.1161,lb (Pound)
2024-05-22,4.8284,lb (Pound)
2024-05-23,4.7805,lb (Pound)
2024-05-24,4.7535,lb (Pound)
2024-05-27,4.8322,lb (Pound)
2024-05-28,4.8599,lb (Pound)
2024-05-29,4.7939,lb (Pound)
2024-05-30,4.6597,lb (Pound)
