Date,Price,Unit
2021-01-04,3.5918,lb (Pound)
2021-01-05,3.5897,lb (Pound)
2021-01-06,3.6875,lb (Pound)
2021-01-07,3.6453,lb (Pound)
2021-01-08,3.6950,lb (Pound)
2021-01-11,3.6067,lb (Pound)
2021-01-12,3.6210,lb (Pound)
2021-01-13,3.6108,lb (Pound)
2021-01-14,3.6299,lb (Pound)
2021-01-15,3.6194,lb (Pound)
2021-01-18,3.6163,lb (Pound)
2021-01-19,3.6226,lb (Pound)
2021-01-20,3.6353,lb (Pound)
2021-01-21,3.6519,lb (Pound)
2021-01-22,3.5707,lb (Pound)
2021-01-25,3.6217,lb (Pound)
2021-01-26,3.6092,lb (Pound)
2021-01-27,3.5811,lb (Pound)
2021-01-28,3.5283,lb (Pound)
2021-01-29,3.5729,lb (Pound)
2021-02-01,3.5503,lb (Pound)
2021-02-02,3.5178,lb (Pound)
2021-02-03,3.5528,lb (Pound)
2021-02-04,3.5532,lb (Pound)
2021-02-05,3.5999,lb (Pound)
2021-02-08,3.6319,lb (Pound)
2021-02-09,3.6952,lb (Pound)
2021-02-10,3.7555,lb (Pound)
2021-02-11,3.7612,lb (Pound)
2021-02-12,3.7514,lb (Pound)
2021-02-15,3.8177,lb (Pound)
2021-02-16,3.8340,lb (Pound)
2021-02-17,3.8163,lb (Pound)
2021-02-18,3.9236,lb (Pound)
2021-02-19,3.9946,lb (Pound)
2021-02-22,4.1129,lb (Pound)
2021-02-23,4.1540,lb (Pound)
2021-02-24,4.2121,lb (Pound)
2021-02-25,4.3611,lb (Pound)
2021-02-26,4.1606,lb (Pound)
2021-03-01,4.1721,lb (Pound)
2021-03-02,4.1792,lb (Pound)
2021-03-03,4.2030,lb (Pound)
2021-03-04,3.9855,lb (Pound)
2021-03-05,4.0921,lb (Pound)
2021-03-08,4.0789,lb (Pound)
2021-03-09,4.0347,lb (Pound)
2021-03-10,4.0547,lb (Pound)
2021-03-11,4.1107,lb (Pound)
2021-03-12,4.1061,lb (Pound)
2021-03-15,4.1492,lb (Pound)
2021-03-16,4.0667,lb (Pound)
2021-03-17,4.0946,lb (Pound)
2021-03-18,4.1232,lb (Pound)
2021-03-19,4.0987,lb (Pound)
2021-03-22,4.1266,lb (Pound)
2021-03-23,4.0898,lb (Pound)
2021-03-24,4.0896,lb (Pound)
2021-03-25,3.9830,lb (Pound)
2021-03-26,4.0501,lb (Pound)
2021-03-29,4.0562,lb (Pound)
2021-03-30,3.9864,lb (Pound)
2021-03-31,4.0145,lb (Pound)
2021-04-01,3.9771,lb (Pound)
2021-04-05,4.1490,lb (Pound)
2021-04-06,4.0753,lb (Pound)
2021-04-07,4.0739,lb (Pound)
2021-04-08,4.0830,lb (Pound)
2021-04-09,4.0792,lb (Pound)
2021-04-12,4.0374,lb (Pound)
2021-04-13,4.0388,lb (Pound)
2021-04-14,4.0873,lb (Pound)
2021-04-15,4.2305,lb (Pound)
2021-04-16,4.2347,lb (Pound)
2021-04-19,4.2706,lb (Pound)
2021-04-20,4.2622,lb (Pound)
2021-04-21,4.2558,lb (Pound)
2021-04-22,4.2980,lb (Pound)
2021-04-23,4.3298,lb (Pound)
