Date,Price,Unit
2023-01-03,3.7758,lb (Pound)
2023-01-04,3.7451,lb (Pound)
2023-01-05,3.8240,lb (Pound)
2023-01-06,3.9085,lb (Pound)
2023-01-09,3.9916,lb (Pound)
2023-01-10,4.0679,lb (Pound)
2023-01-11,4.1610,lb (Pound)
2023-01-12,4.1659,lb (Pound)
2023-01-13,4.2148,lb (Pound)
2023-01-16,4.1357,lb (Pound)
2023-01-17,4.2134,lb (Pound)
2023-01-18,4.2095,lb (Pound)
2023-01-19,4.2354,lb (Pound)
2023-01-20,4.2485,lb (Pound)
2023-01-23,4.2462,lb (Pound)
2023-01-24,4.2416,lb (Pound)
2023-01-25,4.2461,lb (Pound)
2023-01-26,4.2637,lb (Pound)
2023-01-27,4.2215,lb (Pound)
2023-01-30,4.1992,lb (Pound)
2023-01-31,4.2176,lb (Pound)
2023-02-01,4.1072,lb (Pound)
2023-02-02,4.1137,lb (Pound)
2023-02-03,4.0630,lb (Pound)
2023-02-06,4.0403,lb (Pound)
2023-02-07,4.0565,lb (Pound)
2023-02-08,4.0606,lb (Pound)
2023-02-09,4.0958,lb (Pound)
2023-02-10,4.0275,lb (Pound)
2023-02-13,4.0830,lb (Pound)
2023-02-14,4.1071,lb (Pound)
2023-02-15,4.0646,lb (Pound)
2023-02-16,4.1556,lb (Pound)
2023-02-17,4.1362,lb (Pound)
2023-02-20,4.1822,lb (Pound)
2023-02-21,4.2097,lb (Pound)
2023-02-22,4.1731,lb (Pound)
2023-02-23,4.0556,lb (Pound)
2023-02-24,3.9520,lb (Pound)
2023-02-27,4.0078,lb (Pound)
2023-02-28,4.0977,lb (Pound)
2023-03-01,4.1629,lb (Pound)
2023-03-02,4.0722,lb (Pound)
2023-03-03,4.0780,lb (Pound)
2023-03-06,4.0789,lb (Pound)
2023-03-07,3.9848,lb (Pound)
2023-03-08,4.0482,lb (Pound)
2023-03-09,4.0281,lb (Pound)
2023-03-10,4.0455,lb (Pound)
2023-03-13,4.0709,lb (Pound)
2023-03-14,4.0047,lb (Pound)
2023-03-15,3.8981,lb (Pound)
2023-03-16,3.8790,lb (Pound)
2023-03-17,3.9135,lb (Pound)
2023-03-20,3.9716,lb (Pound)
2023-03-21,4.0236,lb (Pound)
2023-03-22,4.0567,lb (Pound)
2023-03-23,4.1292,lb (Pound)
2023-03-24,4.1015,lb (Pound)
2023-03-27,4.1183,lb (Pound)
2023-03-28,4.0917,lb (Pound)
2023-03-29,4.0858,lb (Pound)
2023-03-30,4.1005,lb (Pound)
2023-03-31,4.0876,lb (Pound)
2023-04-03,4.0489,lb (Pound)
2023-04-04,3.9902,lb (Pound)
2023-04-05,4.0046,lb (Pound)
2023-04-06,4.0260,lb (Pound)
2023-04-10,3.9848,lb (Pound)
2023-04-11,4.0487,lb (Pound)
2023-04-12,4.0836,lb (Pound)
2023-04-13,4.1354,lb (Pound)
2023-04-14,4.1075,lb (Pound)
2023-04-17,4.0747,lb (Pound)
2023-04-18,4.0910,lb (Pound)
2023-04-19,4.0692,lb (Pound)
2023-04-20,4.0329,lb (Pound)
2023-04-21,3.9780,lb (Pound)
2023-04-24,3.9623,lb (Pound)
2023-04-25,3.8472,lb (Pound)
2023-04-26,3.8548,lb (Pound)
2023-04-27,3.8773,lb (Pound)
2023-04-28,3.8700,lb (Pound)
2023-05-01,3.9123,lb (Pound)
2023-05-02,3.8456,lb (Pound)
2023-05-03,3.8346,lb (Pound)
2023-05-04,3.8576,lb (Pound)
2023-05-05,3.8715,lb (Pound)
2023-05-08,3.9163,lb (Pound)
2023-05-09,3.8850,lb (Pound)
2023-05-10,3.8176,lb (Pound)
2023-05-11,3.6958,lb (Pound)
2023-05-12,3.7165,lb (Pound)
2023-05-15,3.7248,lb (Pound)
2023-05-16,3.6497,lb (Pound)
2023-05-17,3.7511,lb (Pound)
2023-05-18,3.6780,lb (Pound)
2023-05-19,3.7225,lb (Pound)
2023-05-22,3.6718,lb (Pound)
2023-05-23,3.6371,lb (Pound)
2023-05-24,3.5532,lb (Pound)
2023-05-25,3.5996,lb (Pound)
2023-05-26,3.6589,lb (Pound)
2023-05-29,3.6636,lb (Pound)
2023-05-30,3.6473,lb (Pound)
2023-05-31,3.6575,lb (Pound)
2023-06-01,3.7053,lb (Pound)
2023-06-02,3.7225,lb (Pound)
2023-06-05,3.7651,lb (Pound)
2023-06-06,3.7692,lb (Pound)
2023-06-07,3.7487,lb (Pound)
2023-06-08,3.7971,lb (Pound)
2023-06-09,3.7765,lb (Pound)
2023-06-12,3.7481,lb (Pound)
2023-06-13,3.8261,lb (Pound)
2023-06-14,3.8719,lb (Pound)
2023-06-15,3.8856,lb (Pound)
2023-06-16,3.8845,lb (Pound)
2023-06-19,3.8677,lb (Pound)
2023-06-20,3.8710,lb (Pound)
2023-06-21,3.9081,lb (Pound)
