Date,Price,Unit
2017-05-10,20.92,kg (Kilogram)
2017-05-10,20.92,kg (Kilogram)
2017-05-11,20.92,kg (Kilogram)
2017-05-11,20.92,kg (Kilogram)
2017-05-12,20.92,kg (Kilogram)
2017-05-12,20.92,kg (Kilogram)
2017-05-15,20.92,kg (Kilogram)
2017-05-15,20.92,kg (Kilogram)
2017-05-16,20.92,kg (Kilogram)
2017-05-16,20.92,kg (Kilogram)
2017-05-17,20.92,kg (Kilogram)
2017-05-17,20.92,kg (Kilogram)
2017-05-18,20.92,kg (Kilogram)
2017-05-18,20.92,kg (Kilogram)
2017-05-19,21.689,kg (Kilogram)
2017-05-19,21.689,kg (Kilogram)
2017-05-22,21.689,kg (Kilogram)
2017-05-22,21.689,kg (Kilogram)
2017-05-23,21.689,kg (Kilogram)
2017-05-23,21.689,kg (Kilogram)
2017-05-24,21.689,kg (Kilogram)
2017-05-24,21.689,kg (Kilogram)
2017-05-25,21.689,kg (Kilogram)
2017-05-25,21.689,kg (Kilogram)
2017-05-26,21.689,kg (Kilogram)
2017-05-26,21.689,kg (Kilogram)
2017-05-30,21.689,kg (Kilogram)
2017-05-30,21.689,kg (Kilogram)
2017-05-31,21.689,kg (Kilogram)
2017-05-31,21.689,kg (Kilogram)
2017-06-01,21.997,kg (Kilogram)
2017-06-01,21.997,kg (Kilogram)
2017-06-02,21.997,kg (Kilogram)
2017-06-02,21.997,kg (Kilogram)
2017-06-05,21.997,kg (Kilogram)
2017-06-05,21.997,kg (Kilogram)
2017-06-06,22.228,kg (Kilogram)
2017-06-06,22.228,kg (Kilogram)
2017-06-07,22.228,kg (Kilogram)
2017-06-07,22.228,kg (Kilogram)
2017-06-08,22.228,kg (Kilogram)
2017-06-08,22.228,kg (Kilogram)
2017-06-09,22.228,kg (Kilogram)
2017-06-09,22.228,kg (Kilogram)
2017-06-12,22.228,kg (Kilogram)
2017-06-12,22.228,kg (Kilogram)
2017-06-13,22.228,kg (Kilogram)
2017-06-13,22.228,kg (Kilogram)
2017-06-14,22.228,kg (Kilogram)
2017-06-14,22.228,kg (Kilogram)
2017-06-15,22.228,kg (Kilogram)
2017-06-15,22.228,kg (Kilogram)
2017-06-16,22.228,kg (Kilogram)
2017-06-16,22.228,kg (Kilogram)
2017-06-19,22.228,kg (Kilogram)
2017-06-19,22.228,kg (Kilogram)
2017-06-20,22.228,kg (Kilogram)
2017-06-20,22.228,kg (Kilogram)
2017-06-21,22.228,kg (Kilogram)
2017-06-21,22.228,kg (Kilogram)
2017-06-22,22.228,kg (Kilogram)
2017-06-22,22.228,kg (Kilogram)
2017-06-23,22.228,kg (Kilogram)
2017-06-23,22.228,kg (Kilogram)
2017-06-26,22.382,kg (Kilogram)
2017-06-26,22.382,kg (Kilogram)
2017-06-27,22.382,kg (Kilogram)
2017-06-27,22.382,kg (Kilogram)
2017-06-28,22.382,kg (Kilogram)
2017-06-28,22.382,kg (Kilogram)
2017-06-29,22.382,kg (Kilogram)
2017-06-29,22.382,kg (Kilogram)
2017-06-30,22.382,kg (Kilogram)
2017-06-30,22.382,kg (Kilogram)
2017-07-03,22.382,kg (Kilogram)
2017-07-03,22.382,kg (Kilogram)
2017-07-04,22.382,kg (Kilogram)
2017-07-04,22.382,kg (Kilogram)
2017-07-05,22.382,kg (Kilogram)
2017-07-05,22.382,kg (Kilogram)
2017-07-06,22.382,kg (Kilogram)
2017-07-06,22.382,kg (Kilogram)
2017-07-07,22.382,kg (Kilogram)
2017-07-07,22.382,kg (Kilogram)
2017-07-10,22.382,kg (Kilogram)
2017-07-10,22.382,kg (Kilogram)
2017-07-11,22.382,kg (Kilogram)
2017-07-11,22.382,kg (Kilogram)
2017-07-12,22.382,kg (Kilogram)
2017-07-12,22.382,kg (Kilogram)
2017-07-13,22.382,kg (Kilogram)
2017-07-13,22.382,kg (Kilogram)
2017-07-14,22.382,kg (Kilogram)
2017-07-14,22.382,kg (Kilogram)
2017-07-17,22.382,kg (Kilogram)
2017-07-17,22.382,kg (Kilogram)
2017-07-18,22.382,kg (Kilogram)
2017-07-18,22.382,kg (Kilogram)
2017-07-19,22.382,kg (Kilogram)
2017-07-19,22.382,kg (Kilogram)
2017-07-20,22.382,kg (Kilogram)
2017-07-20,22.382,kg (Kilogram)
2017-07-21,22.382,kg (Kilogram)
2017-07-21,22.382,kg (Kilogram)
2017-07-24,22.382,kg (Kilogram)
2017-07-24,22.382,kg (Kilogram)
2017-07-25,22.382,kg (Kilogram)
2017-07-25,22.382,kg (Kilogram)
2017-07-26,22.382,kg (Kilogram)
2017-07-26,22.382,kg (Kilogram)
2017-07-27,22.382,kg (Kilogram)
2017-07-27,22.382,kg (Kilogram)
2017-07-28,22.382,kg (Kilogram)
2017-07-28,22.382,kg (Kilogram)
2017-07-31,22.843,kg (Kilogram)
2017-07-31,22.843,kg (Kilogram)
2017-08-01,22.843,kg (Kilogram)
2017-08-01,22.843,kg (Kilogram)
2017-08-02,22.843,kg (Kilogram)
2017-08-02,22.843,kg (Kilogram)
2017-08-03,22.843,kg (Kilogram)
2017-08-03,22.843,kg (Kilogram)
2017-08-04,22.843,kg (Kilogram)
2017-08-04,22.843,kg (Kilogram)
2017-08-07,22.843,kg (Kilogram)
2017-08-07,22.843,kg (Kilogram)
2017-08-08,22.843,kg (Kilogram)
2017-08-08,22.843,kg (Kilogram)
2017-08-10,23.305,kg (Kilogram)
2017-08-10,23.305,kg (Kilogram)
2017-08-11,23.305,kg (Kilogram)
2017-08-11,23.305,kg (Kilogram)
2017-08-14,23.305,kg (Kilogram)
2017-08-14,23.305,kg (Kilogram)
2017-08-15,23.305,kg (Kilogram)
2017-08-15,23.305,kg (Kilogram)
2017-08-16,23.305,kg (Kilogram)
2017-08-16,23.305,kg (Kilogram)
2017-08-17,23.305,kg (Kilogram)
2017-08-17,23.305,kg (Kilogram)
2017-08-18,23.305,kg (Kilogram)
2017-08-18,23.305,kg (Kilogram)
2017-08-21,23.305,kg (Kilogram)
2017-08-21,23.305,kg (Kilogram)
2017-08-22,23.997,kg (Kilogram)
2017-08-22,23.997,kg (Kilogram)
2017-08-23,23.997,kg (Kilogram)
2017-08-23,23.997,kg (Kilogram)
2017-08-24,23.997,kg (Kilogram)
2017-08-24,23.997,kg (Kilogram)
2017-08-25,23.997,kg (Kilogram)
2017-08-25,23.997,kg (Kilogram)
2017-08-28,23.997,kg (Kilogram)
2017-08-28,23.997,kg (Kilogram)
2017-08-29,23.997,kg (Kilogram)
2017-08-29,23.997,kg (Kilogram)
2017-08-30,23.997,kg (Kilogram)
2017-08-30,23.997,kg (Kilogram)
2017-08-31,23.997,kg (Kilogram)
2017-08-31,23.997,kg (Kilogram)
2017-09-01,23.997,kg (Kilogram)
2017-09-01,23.997,kg (Kilogram)
2017-09-04,23.997,kg (Kilogram)
2017-09-04,23.997,kg (Kilogram)
2017-09-05,23.997,kg (Kilogram)
2017-09-05,23.997,kg (Kilogram)
2017-09-06,23.997,kg (Kilogram)
2017-09-06,23.997,kg (Kilogram)
2017-09-07,23.997,kg (Kilogram)
2017-09-07,23.997,kg (Kilogram)
2017-09-08,23.997,kg (Kilogram)
2017-09-08,23.997,kg (Kilogram)
2017-09-11,24.305,kg (Kilogram)
2017-09-11,24.305,kg (Kilogram)
2017-09-12,24.305,kg (Kilogram)
2017-09-12,24.305,kg (Kilogram)
2017-09-13,24.305,kg (Kilogram)
2017-09-13,24.305,kg (Kilogram)
2017-09-14,24.305,kg (Kilogram)
2017-09-14,24.305,kg (Kilogram)
2017-09-15,24.305,kg (Kilogram)
2017-09-15,24.305,kg (Kilogram)
2017-09-18,24.305,kg (Kilogram)
2017-09-18,24.305,kg (Kilogram)
2017-09-19,25.074,kg (Kilogram)
2017-09-19,25.074,kg (Kilogram)
2017-09-20,25.074,kg (Kilogram)
2017-09-20,25.074,kg (Kilogram)
2017-09-21,25.074,kg (Kilogram)
