Date,Price,Unit
2022-01-03,43.538,kg (Kilogram)
2022-01-04,43.515,kg (Kilogram)
2022-01-05,43.572,kg (Kilogram)
2022-01-06,44.281,kg (Kilogram)
2022-01-07,45.535,kg (Kilogram)
2022-01-10,46.843,kg (Kilogram)
2022-01-11,48.086,kg (Kilogram)
2022-01-12,48.149,kg (Kilogram)
2022-01-13,50.698,kg (Kilogram)
2022-01-14,51.549,kg (Kilogram)
2022-01-17,51.583,kg (Kilogram)
2022-01-18,51.559,kg (Kilogram)
2022-01-19,52.389,kg (Kilogram)
2022-01-20,53.664,kg (Kilogram)
2022-01-21,54.969,kg (Kilogram)
2022-01-24,56.662,kg (Kilogram)
2022-01-25,56.637,kg (Kilogram)
2022-01-26,56.702,kg (Kilogram)
2022-01-27,57.713,kg (Kilogram)
2022-01-28,57.764,kg (Kilogram)
2022-01-31,57.771,kg (Kilogram)
2022-02-01,59.342,kg (Kilogram)
2022-02-02,59.343,kg (Kilogram)
2022-02-03,59.342,kg (Kilogram)
2022-02-04,59.342,kg (Kilogram)
2022-02-07,59.360,kg (Kilogram)
2022-02-08,59.292,kg (Kilogram)
2022-02-09,59.322,kg (Kilogram)
2022-02-10,60.164,kg (Kilogram)
2022-02-11,60.171,kg (Kilogram)
2022-02-14,61.738,kg (Kilogram)
2022-02-15,62.663,kg (Kilogram)
2022-02-16,63.472,kg (Kilogram)
2022-02-17,63.507,kg (Kilogram)
2022-02-18,67.406,kg (Kilogram)
2022-02-21,70.629,kg (Kilogram)
2022-02-22,70.721,kg (Kilogram)
2022-02-23,70.831,kg (Kilogram)
2022-02-24,74.946,kg (Kilogram)
2022-02-28,75.896,kg (Kilogram)
2022-03-01,78.112,kg (Kilogram)
2022-03-02,76.529,kg (Kilogram)
2022-03-03,78.112,kg (Kilogram)
2022-03-04,78.112,kg (Kilogram)
2022-03-07,78.112,kg (Kilogram)
2022-03-08,78.112,kg (Kilogram)
2022-03-09,78.112,kg (Kilogram)
2022-03-10,78.112,kg (Kilogram)
2022-03-11,78.112,kg (Kilogram)
2022-03-14,78.112,kg (Kilogram)
2022-03-15,78.112,kg (Kilogram)
2022-03-16,78.745,kg (Kilogram)
2022-03-17,78.745,kg (Kilogram)
2022-03-18,78.745,kg (Kilogram)
2022-03-21,78.745,kg (Kilogram)
2022-03-22,78.190,kg (Kilogram)
2022-03-23,78.099,kg (Kilogram)
2022-03-25,78.189,kg (Kilogram)
2022-03-28,78.094,kg (Kilogram)
2022-03-29,78.156,kg (Kilogram)
2022-03-30,78.330,kg (Kilogram)
2022-03-31,78.435,kg (Kilogram)
2022-04-01,78.044,kg (Kilogram)
2022-04-04,78.030,kg (Kilogram)
2022-04-05,78.030,kg (Kilogram)
2022-04-06,78.033,kg (Kilogram)
2022-04-07,78.042,kg (Kilogram)
2022-04-08,78.021,kg (Kilogram)
2022-04-11,77.960,kg (Kilogram)
2022-04-12,75.727,kg (Kilogram)
2022-04-13,75.770,kg (Kilogram)
2022-04-14,75.716,kg (Kilogram)
2022-04-15,75.513,kg (Kilogram)
2022-04-18,75.802,kg (Kilogram)
2022-04-19,75.539,kg (Kilogram)
2022-04-20,75.241,kg (Kilogram)
2022-04-21,74.492,kg (Kilogram)
2022-04-22,73.902,kg (Kilogram)
2022-04-25,73.209,kg (Kilogram)
2022-04-26,72.524,kg (Kilogram)
2022-04-27,71.932,kg (Kilogram)
2022-04-28,70.655,kg (Kilogram)
2022-04-29,70.200,kg (Kilogram)
2022-05-02,69.986,kg (Kilogram)
2022-05-03,69.986,kg (Kilogram)
