Date,Price,Unit
2023-01-02,74.591,kg (Kilogram)
2023-01-03,75.186,kg (Kilogram)
2023-01-04,75.459,kg (Kilogram)
2023-01-05,75.584,kg (Kilogram)
2023-01-06,75.715,kg (Kilogram)
2023-01-09,74.082,kg (Kilogram)
2023-01-10,74.086,kg (Kilogram)
2023-01-11,74.165,kg (Kilogram)
2023-01-12,74.442,kg (Kilogram)
2023-01-13,71.742,kg (Kilogram)
2023-01-16,71.373,kg (Kilogram)
2023-01-17,71.373,kg (Kilogram)
2023-01-18,70.706,kg (Kilogram)
2023-01-19,70.374,kg (Kilogram)
2023-01-20,70.407,kg (Kilogram)
2023-01-23,70.296,kg (Kilogram)
2023-01-24,70.296,kg (Kilogram)
2023-01-25,70.296,kg (Kilogram)
2023-01-26,70.296,kg (Kilogram)
2023-01-27,70.296,kg (Kilogram)
2023-01-30,70.735,kg (Kilogram)
2023-01-31,70.678,kg (Kilogram)
2023-02-01,70.384,kg (Kilogram)
2023-02-02,70.270,kg (Kilogram)
2023-02-03,70.131,kg (Kilogram)
2023-02-06,69.683,kg (Kilogram)
2023-02-07,69.623,kg (Kilogram)
2023-02-08,69.628,kg (Kilogram)
2023-02-09,69.723,kg (Kilogram)
2023-02-10,69.349,kg (Kilogram)
2023-02-13,69.239,kg (Kilogram)
2023-02-14,69.349,kg (Kilogram)
2023-02-15,69.052,kg (Kilogram)
2023-02-16,68.927,kg (Kilogram)
2023-02-17,68.691,kg (Kilogram)
2023-02-20,62.327,kg (Kilogram)
2023-02-21,61.410,kg (Kilogram)
2023-02-22,60.573,kg (Kilogram)
2023-02-23,58.783,kg (Kilogram)
2023-02-24,56.670,kg (Kilogram)
2023-02-27,55.015,kg (Kilogram)
2023-02-28,55.133,kg (Kilogram)
2023-03-01,55.713,kg (Kilogram)
2023-03-02,52.894,kg (Kilogram)
2023-03-03,52.476,kg (Kilogram)
2023-03-06,51.539,kg (Kilogram)
2023-03-07,51.545,kg (Kilogram)
2023-03-08,51.387,kg (Kilogram)
2023-03-09,51.323,kg (Kilogram)
2023-03-10,48.561,kg (Kilogram)
2023-03-13,48.474,kg (Kilogram)
2023-03-14,48.411,kg (Kilogram)
2023-03-15,47.450,kg (Kilogram)
2023-03-16,47.498,kg (Kilogram)
2023-03-17,46.412,kg (Kilogram)
2023-03-20,44.694,kg (Kilogram)
2023-03-21,43.569,kg (Kilogram)
2023-03-22,42.493,kg (Kilogram)
2023-03-23,42.829,kg (Kilogram)
2023-03-24,40.237,kg (Kilogram)
2023-03-27,39.018,kg (Kilogram)
2023-03-28,37.877,kg (Kilogram)
2023-03-29,37.840,kg (Kilogram)
2023-03-30,35.386,kg (Kilogram)
2023-03-31,34.401,kg (Kilogram)
2023-04-03,33.332,kg (Kilogram)
2023-04-04,32.470,kg (Kilogram)
2023-04-05,31.616,kg (Kilogram)
2023-04-06,31.645,kg (Kilogram)
2023-04-07,31.596,kg (Kilogram)
2023-04-10,31.625,kg (Kilogram)
2023-04-11,30.864,kg (Kilogram)
2023-04-12,30.872,kg (Kilogram)
2023-04-13,29.441,kg (Kilogram)
2023-04-14,28.815,kg (Kilogram)
2023-04-17,28.019,kg (Kilogram)
2023-04-18,27.271,kg (Kilogram)
2023-04-19,26.462,kg (Kilogram)
2023-04-20,26.525,kg (Kilogram)
2023-04-21,25.769,kg (Kilogram)
2023-04-24,25.027,kg (Kilogram)
2023-04-25,24.922,kg (Kilogram)
2023-04-26,23.905,kg (Kilogram)
2023-04-27,23.902,kg (Kilogram)
2023-04-28,24.931,kg (Kilogram)
2023-05-01,24.934,kg (Kilogram)
