Date,Price,Unit
2024-01-01,7.4276,lb (Pound)
2024-01-02,7.4103,lb (Pound)
2024-01-03,7.3363,lb (Pound)
2024-01-04,7.1827,lb (Pound)
2024-01-05,7.3262,lb (Pound)
2024-01-08,7.2899,lb (Pound)
2024-01-10,7.3432,lb (Pound)
2024-01-12,7.2994,lb (Pound)
2024-01-15,7.2402,lb (Pound)
2024-01-16,7.2126,lb (Pound)
2024-01-17,7.1844,lb (Pound)
2024-01-18,7.2203,lb (Pound)
2024-01-19,7.1663,lb (Pound)
2024-01-22,7.1508,lb (Pound)
2024-01-23,7.2892,lb (Pound)
2024-01-24,7.4462,lb (Pound)
2024-01-25,7.4702,lb (Pound)
2024-01-26,7.5015,lb (Pound)
2024-01-29,7.3378,lb (Pound)
2024-01-30,7.3700,lb (Pound)
2024-01-31,7.2634,lb (Pound)
2024-02-01,7.2502,lb (Pound)
2024-02-02,7.2504,lb (Pound)
2024-02-05,7.1458,lb (Pound)
2024-02-06,7.1033,lb (Pound)
2024-02-07,7.1452,lb (Pound)
2024-02-08,7.1457,lb (Pound)
2024-02-09,7.1067,lb (Pound)
2024-02-12,7.1590,lb (Pound)
2024-02-13,7.2597,lb (Pound)
2024-02-14,7.2981,lb (Pound)
2024-02-15,7.2604,lb (Pound)
2024-02-16,7.3086,lb (Pound)
2024-02-19,7.3056,lb (Pound)
2024-02-20,7.3085,lb (Pound)
2024-02-21,7.5782,lb (Pound)
2024-02-22,7.7864,lb (Pound)
2024-02-23,7.8342,lb (Pound)
2024-02-26,7.6797,lb (Pound)
2024-02-27,7.8136,lb (Pound)
2024-02-28,7.8771,lb (Pound)
2024-02-29,8.0148,lb (Pound)
2024-03-01,7.9113,lb (Pound)
2024-03-04,8.0347,lb (Pound)
2024-03-05,7.9495,lb (Pound)
2024-03-06,7.9329,lb (Pound)
2024-03-07,8.0594,lb (Pound)
2024-03-08,8.0753,lb (Pound)
2024-03-11,8.2369,lb (Pound)
2024-03-12,8.3119,lb (Pound)
2024-03-13,8.2211,lb (Pound)
2024-03-14,8.1037,lb (Pound)
