Date,Price,Unit
2017-01-02,4.5196,lb (Pound)
2017-01-03,4.6266,lb (Pound)
2017-01-04,4.5223,lb (Pound)
2017-01-05,4.6380,lb (Pound)
2017-01-06,4.6176,lb (Pound)
2017-01-09,4.6448,lb (Pound)
2017-01-10,4.7310,lb (Pound)
2017-01-11,4.7355,lb (Pound)
2017-01-12,4.5132,lb (Pound)
2017-01-13,4.5858,lb (Pound)
2017-01-16,4.6402,lb (Pound)
2017-01-17,4.6130,lb (Pound)
2017-01-18,4.6062,lb (Pound)
2017-01-19,4.5495,lb (Pound)
2017-01-20,4.4135,lb (Pound)
2017-01-23,4.4293,lb (Pound)
2017-01-24,4.4271,lb (Pound)
2017-01-25,4.3681,lb (Pound)
2017-01-26,4.3363,lb (Pound)
2017-01-27,4.2524,lb (Pound)
2017-01-30,4.3046,lb (Pound)
2017-01-31,4.4815,lb (Pound)
2017-02-01,4.5450,lb (Pound)
2017-02-02,4.6969,lb (Pound)
2017-02-03,4.6040,lb (Pound)
2017-02-06,4.6856,lb (Pound)
2017-02-07,4.7083,lb (Pound)
2017-02-08,4.7332,lb (Pound)
2017-02-09,4.7060,lb (Pound)
2017-02-10,4.7310,lb (Pound)
2017-02-13,4.8398,lb (Pound)
2017-02-14,4.9079,lb (Pound)
2017-02-15,4.8557,lb (Pound)
2017-02-16,4.9305,lb (Pound)
2017-02-17,4.9328,lb (Pound)
2017-02-20,5.0077,lb (Pound)
2017-02-21,4.9963,lb (Pound)
2017-02-22,4.8557,lb (Pound)
2017-02-23,4.8217,lb (Pound)
2017-02-24,4.8421,lb (Pound)
2017-02-27,4.9396,lb (Pound)
2017-02-28,4.9283,lb (Pound)
2017-03-01,4.9804,lb (Pound)
2017-03-02,4.9419,lb (Pound)
2017-03-03,4.9351,lb (Pound)
2017-03-06,4.9396,lb (Pound)
2017-03-07,4.9510,lb (Pound)
2017-03-08,4.7695,lb (Pound)
2017-03-09,4.5586,lb (Pound)
2017-03-10,4.5450,lb (Pound)
2017-03-13,4.5994,lb (Pound)
2017-03-14,4.5745,lb (Pound)
2017-03-15,4.6176,lb (Pound)
2017-03-16,4.6584,lb (Pound)
2017-03-17,4.6221,lb (Pound)
2017-03-20,4.5609,lb (Pound)
2017-03-21,4.5813,lb (Pound)
2017-03-22,4.5110,lb (Pound)
2017-03-23,4.4951,lb (Pound)
2017-03-24,4.4951,lb (Pound)
2017-03-27,4.4021,lb (Pound)
2017-03-28,4.4157,lb (Pound)
2017-03-29,4.4951,lb (Pound)
2017-03-30,4.5042,lb (Pound)
2017-03-31,4.4770,lb (Pound)
2017-04-03,4.5178,lb (Pound)
2017-04-04,4.4724,lb (Pound)
2017-04-05,4.6085,lb (Pound)
2017-04-06,4.6788,lb (Pound)
2017-04-07,4.5110,lb (Pound)
2017-04-10,4.5767,lb (Pound)
2017-04-11,4.5541,lb (Pound)
2017-04-12,4.3998,lb (Pound)
2017-04-13,4.3953,lb (Pound)
2017-04-14,4.3977,lb (Pound)
2017-04-17,4.3977,lb (Pound)
2017-04-18,4.3250,lb (Pound)
2017-04-19,4.2864,lb (Pound)
2017-04-20,4.2502,lb (Pound)
2017-04-21,4.2592,lb (Pound)
2017-04-24,4.2025,lb (Pound)
2017-04-25,4.1867,lb (Pound)
2017-04-26,4.1957,lb (Pound)
2017-04-27,4.1594,lb (Pound)
2017-04-28,4.3001,lb (Pound)
2017-05-01,4.2656,lb (Pound)
2017-05-02,4.3001,lb (Pound)
2017-05-03,4.2071,lb (Pound)
2017-05-04,4.0823,lb (Pound)
2017-05-05,4.0506,lb (Pound)
2017-05-08,4.1118,lb (Pound)
2017-05-09,4.1662,lb (Pound)
2017-05-10,4.1685,lb (Pound)
2017-05-11,4.2479,lb (Pound)
2017-05-12,4.2275,lb (Pound)
2017-05-15,4.2207,lb (Pound)
2017-05-16,4.0869,lb (Pound)
2017-05-17,4.1549,lb (Pound)
2017-05-18,4.0823,lb (Pound)
2017-05-19,4.1617,lb (Pound)
2017-05-22,4.2479,lb (Pound)
2017-05-23,4.2116,lb (Pound)
2017-05-24,4.1368,lb (Pound)
2017-05-25,4.1050,lb (Pound)
2017-05-26,4.0823,lb (Pound)
2017-05-29,4.1005,lb (Pound)
2017-05-30,4.0891,lb (Pound)
2017-05-31,3.9939,lb (Pound)
2017-06-01,4.0030,lb (Pound)
2017-06-02,3.9508,lb (Pound)
2017-06-05,3.9984,lb (Pound)
2017-06-06,3.9893,lb (Pound)
2017-06-07,4.0211,lb (Pound)
2017-06-08,3.9893,lb (Pound)
2017-06-09,3.9916,lb (Pound)
2017-06-12,4.0506,lb (Pound)
2017-06-13,3.9531,lb (Pound)
2017-06-14,3.9961,lb (Pound)
2017-06-15,4.0030,lb (Pound)
2017-06-16,4.0370,lb (Pound)
2017-06-19,4.0324,lb (Pound)
2017-06-20,4.0710,lb (Pound)
2017-06-21,4.0302,lb (Pound)
2017-06-22,4.0370,lb (Pound)
2017-06-23,4.1549,lb (Pound)
2017-06-26,4.0959,lb (Pound)
2017-06-27,4.1050,lb (Pound)
2017-06-28,4.1368,lb (Pound)
2017-06-29,4.2048,lb (Pound)
2017-06-30,4.2071,lb (Pound)
2017-07-03,4.2479,lb (Pound)
2017-07-04,4.1368,lb (Pound)
2017-07-05,4.1095,lb (Pound)
2017-07-06,4.1209,lb (Pound)
2017-07-07,4.0551,lb (Pound)
2017-07-10,4.0279,lb (Pound)
2017-07-11,4.0710,lb (Pound)
2017-07-12,4.1730,lb (Pound)
2017-07-13,4.1640,lb (Pound)
2017-07-14,4.2524,lb (Pound)
2017-07-17,4.3431,lb (Pound)
2017-07-18,4.3500,lb (Pound)
2017-07-19,4.4066,lb (Pound)
2017-07-20,4.3227,lb (Pound)
2017-07-21,4.3341,lb (Pound)
2017-07-24,4.3318,lb (Pound)
2017-07-25,4.4815,lb (Pound)
2017-07-26,4.4951,lb (Pound)
2017-07-27,4.5813,lb (Pound)
2017-07-28,4.6153,lb (Pound)
2017-07-31,4.6402,lb (Pound)
2017-08-01,4.6040,lb (Pound)
2017-08-02,4.6266,lb (Pound)
2017-08-03,4.6493,lb (Pound)
2017-08-04,4.6856,lb (Pound)
2017-08-07,4.6720,lb (Pound)
2017-08-08,4.6607,lb (Pound)
2017-08-09,4.8557,lb (Pound)
2017-08-10,4.8807,lb (Pound)
2017-08-11,4.8013,lb (Pound)
2017-08-14,4.7650,lb (Pound)
2017-08-15,4.7015,lb (Pound)
2017-08-16,4.7809,lb (Pound)
2017-08-17,4.8534,lb (Pound)
2017-08-18,4.8648,lb (Pound)
2017-08-21,5.0802,lb (Pound)
2017-08-22,5.1823,lb (Pound)
2017-08-23,5.1846,lb (Pound)
2017-08-24,5.2753,lb (Pound)
2017-08-25,5.2617,lb (Pound)
2017-08-28,5.1827,lb (Pound)
