Date,Price,Unit
2017-01-02,4.5196,lb (Pound)
2017-01-02,4.5196,lb (Pound)
2017-01-02,4.5196,lb (Pound)
2017-01-03,4.6266,lb (Pound)
2017-01-03,4.6266,lb (Pound)
2017-01-03,4.6266,lb (Pound)
2017-01-04,4.5223,lb (Pound)
2017-01-04,4.5223,lb (Pound)
2017-01-04,4.5223,lb (Pound)
2017-01-05,4.638,lb (Pound)
2017-01-05,4.638,lb (Pound)
2017-01-05,4.638,lb (Pound)
2017-01-06,4.6176,lb (Pound)
2017-01-06,4.6176,lb (Pound)
2017-01-06,4.6176,lb (Pound)
2017-01-09,4.6448,lb (Pound)
2017-01-09,4.6448,lb (Pound)
2017-01-09,4.6448,lb (Pound)
2017-01-10,4.731,lb (Pound)
2017-01-10,4.731,lb (Pound)
2017-01-10,4.731,lb (Pound)
2017-01-11,4.7355,lb (Pound)
2017-01-11,4.7355,lb (Pound)
2017-01-11,4.7355,lb (Pound)
2017-01-12,4.5132,lb (Pound)
2017-01-12,4.5132,lb (Pound)
2017-01-12,4.5132,lb (Pound)
2017-01-13,4.5858,lb (Pound)
2017-01-13,4.5858,lb (Pound)
2017-01-13,4.5858,lb (Pound)
2017-01-16,4.6402,lb (Pound)
2017-01-16,4.6402,lb (Pound)
2017-01-16,4.6402,lb (Pound)
2017-01-17,4.613,lb (Pound)
2017-01-17,4.613,lb (Pound)
2017-01-17,4.613,lb (Pound)
2017-01-18,4.6062,lb (Pound)
2017-01-18,4.6062,lb (Pound)
2017-01-18,4.6062,lb (Pound)
2017-01-19,4.5495,lb (Pound)
2017-01-19,4.5495,lb (Pound)
2017-01-19,4.5495,lb (Pound)
2017-01-20,4.4135,lb (Pound)
2017-01-20,4.4135,lb (Pound)
2017-01-20,4.4135,lb (Pound)
2017-01-23,4.4293,lb (Pound)
2017-01-23,4.4293,lb (Pound)
2017-01-23,4.4293,lb (Pound)
2017-01-24,4.4271,lb (Pound)
2017-01-24,4.4271,lb (Pound)
2017-01-24,4.4271,lb (Pound)
2017-01-25,4.3681,lb (Pound)
2017-01-25,4.3681,lb (Pound)
2017-01-25,4.3681,lb (Pound)
2017-01-26,4.3363,lb (Pound)
