Date,Price,Unit
2022-01-03,9.4712,lb (Pound)
2022-01-04,9.6434,lb (Pound)
2022-01-05,9.4148,lb (Pound)
2022-01-06,9.2981,lb (Pound)
2022-01-07,9.4615,lb (Pound)
2022-01-10,9.4932,lb (Pound)
2022-01-11,9.9727,lb (Pound)
2022-01-12,10.083,lb (Pound)
2022-01-13,10.168,lb (Pound)
2022-01-14,10.238,lb (Pound)
2022-01-17,10.232,lb (Pound)
2022-01-18,10.180,lb (Pound)
2022-01-19,10.652,lb (Pound)
2022-01-20,10.921,lb (Pound)
2022-01-21,11.031,lb (Pound)
2022-01-24,10.286,lb (Pound)
2022-01-25,10.286,lb (Pound)
2022-01-26,10.454,lb (Pound)
2022-01-27,10.339,lb (Pound)
2022-01-28,10.326,lb (Pound)
2022-02-01,10.584,lb (Pound)
2022-02-02,10.578,lb (Pound)
2022-02-03,10.533,lb (Pound)
2022-02-04,10.610,lb (Pound)
2022-02-07,10.802,lb (Pound)
2022-02-08,10.443,lb (Pound)
2022-02-09,10.692,lb (Pound)
2022-02-10,10.835,lb (Pound)
2022-02-11,10.602,lb (Pound)
2022-02-14,10.673,lb (Pound)
2022-02-15,10.692,lb (Pound)
2022-02-16,10.759,lb (Pound)
2022-02-17,11.001,lb (Pound)
2022-02-18,11.162,lb (Pound)
2022-02-21,11.281,lb (Pound)
2022-02-22,11.432,lb (Pound)
2022-02-23,11.289,lb (Pound)
2022-02-24,11.445,lb (Pound)
2022-02-25,11.266,lb (Pound)
2022-02-28,11.186,lb (Pound)
2022-03-01,11.592,lb (Pound)
2022-03-02,12.015,lb (Pound)
2022-03-03,12.511,lb (Pound)
2022-03-04,13.430,lb (Pound)
2022-03-08,21.864,lb (Pound)
2022-03-09,21.868,lb (Pound)
2022-03-10,21.882,lb (Pound)
2022-03-11,21.875,lb (Pound)
2022-03-14,21.868,lb (Pound)
2022-03-16,20.679,lb (Pound)
2022-03-17,19.110,lb (Pound)
2022-03-18,16.835,lb (Pound)
2022-03-21,14.324,lb (Pound)
2022-03-22,12.760,lb (Pound)
2022-03-24,16.867,lb (Pound)
2022-03-25,16.088,lb (Pound)
2022-03-28,14.840,lb (Pound)
2022-03-30,14.938,lb (Pound)
2022-03-31,14.557,lb (Pound)
2022-04-01,15.067,lb (Pound)
2022-04-04,15.073,lb (Pound)
2022-04-05,15.107,lb (Pound)
2022-04-06,15.181,lb (Pound)
2022-04-07,15.286,lb (Pound)
2022-04-08,15.362,lb (Pound)
2022-04-11,14.727,lb (Pound)
2022-04-12,14.720,lb (Pound)
2022-04-13,14.944,lb (Pound)
2022-04-14,15.034,lb (Pound)
2022-04-15,15.034,lb (Pound)
2022-04-18,15.034,lb (Pound)
2022-04-19,15.293,lb (Pound)
2022-04-20,15.179,lb (Pound)
2022-04-21,15.365,lb (Pound)
2022-04-22,15.000,lb (Pound)
2022-04-25,14.790,lb (Pound)
2022-04-26,14.993,lb (Pound)
2022-04-27,15.096,lb (Pound)
2022-04-28,14.938,lb (Pound)
2022-04-29,14.389,lb (Pound)
2022-05-02,14.389,lb (Pound)
2022-05-03,14.011,lb (Pound)
2022-05-04,13.845,lb (Pound)
2022-05-05,13.614,lb (Pound)
2022-05-06,13.595,lb (Pound)
2022-05-09,12.735,lb (Pound)
2022-05-10,12.841,lb (Pound)
2022-05-11,12.570,lb (Pound)
2022-05-12,12.576,lb (Pound)
2022-05-13,12.325,lb (Pound)
2022-05-16,11.997,lb (Pound)
2022-05-17,11.942,lb (Pound)
2022-05-18,11.842,lb (Pound)
2022-05-19,12.793,lb (Pound)
2022-05-20,12.674,lb (Pound)
2022-05-23,12.561,lb (Pound)
2022-05-24,12.022,lb (Pound)
2022-05-25,12.125,lb (Pound)
2022-05-26,12.317,lb (Pound)
2022-05-27,12.807,lb (Pound)
2022-05-30,13.259,lb (Pound)
2022-05-31,12.856,lb (Pound)
2022-06-01,12.728,lb (Pound)
2022-06-02,12.728,lb (Pound)
2022-06-03,12.728,lb (Pound)
2022-06-06,13.439,lb (Pound)
2022-06-07,13.336,lb (Pound)
2022-06-08,13.052,lb (Pound)
2022-06-09,12.676,lb (Pound)
2022-06-10,12.332,lb (Pound)
2022-06-13,11.720,lb (Pound)
2022-06-14,11.411,lb (Pound)
2022-06-15,11.684,lb (Pound)
2022-06-16,11.417,lb (Pound)
2022-06-17,11.603,lb (Pound)
2022-06-20,11.644,lb (Pound)
2022-06-21,11.746,lb (Pound)
2022-06-22,11.063,lb (Pound)
2022-06-23,10.883,lb (Pound)
2022-06-24,10.142,lb (Pound)
2022-06-27,10.363,lb (Pound)
2022-06-28,10.487,lb (Pound)
2022-06-29,10.773,lb (Pound)
2022-06-30,10.271,lb (Pound)
2022-07-01,9.8729,lb (Pound)
2022-07-04,10.182,lb (Pound)
2022-07-05,10.243,lb (Pound)
2022-07-06,9.8774,lb (Pound)
2022-07-07,9.7377,lb (Pound)
2022-07-08,9.7575,lb (Pound)
2022-07-11,9.8833,lb (Pound)
2022-07-12,9.6706,lb (Pound)
2022-07-13,9.5679,lb (Pound)
2022-07-14,8.7754,lb (Pound)
2022-07-15,8.7693,lb (Pound)
