Date XLIX5;XLIX5;Date XLIJ5;XLIJ5;;
17.11.2025;9.78;02.05.2023;37.75;;
14.11.2025;9.73;03.05.2023;36.44;;
13.11.2025;9.71;04.05.2023;36.48;;
12.11.2025;9.68;05.05.2023;36.48;;
11.11.2025;9.63;08.05.2023;36.48;;
10.11.2025;9.6;09.05.2023;37.07;;
07.11.2025;9.57;10.05.2023;37.01;;
06.11.2025;9.55;11.05.2023;37.01;;
05.11.2025;9.5;12.05.2023;37.84;;
04.11.2025;9.68;15.05.2023;37.84;;
03.11.2025;9.68;16.05.2023;37.84;;
31.10.2025;9.68;17.05.2023;38.5;;
30.10.2025;10;18.05.2023;38.5;;
29.10.2025;9.82;19.05.2023;50;;
28.10.2025;9.66;22.05.2023;40;;
27.10.2025;9.66;23.05.2023;40;;
24.10.2025;9.6;24.05.2023;39.5;;
23.10.2025;9.6;25.05.2023;39.5;;
22.10.2025;9.56;26.05.2023;37.25;;
21.10.2025;9.63;29.05.2023;39.76;;
20.10.2025;9.55;30.05.2023;38.75;;
17.10.2025;9.55;31.05.2023;38.75;;
16.10.2025;9.5;01.06.2023;38.02;;
15.10.2025;9.4;02.06.2023;37.64;;
14.10.2025;9.43;05.06.2023;40.74;;
13.10.2025;9.35;06.06.2023;40.27;;
10.10.2025;9.38;07.06.2023;42.52;;
09.10.2025;9.39;08.06.2023;43.93;;
08.10.2025;9.43;09.06.2023;43.93;;
07.10.2025;9.4;12.06.2023;43.93;;
06.10.2025;9.34;13.06.2023;43.93;;
03.10.2025;9.43;14.06.2023;43.13;;
02.10.2025;9.4;15.06.2023;47.24;;
01.10.2025;9.4;16.06.2023;47.24;;
30.09.2025;9.59;19.06.2023;47.45;;
29.09.2025;9.51;20.06.2023;47.45;;
26.09.2025;9.65;21.06.2023;47.45;;
25.09.2025;9.9;22.06.2023;46.41;;
24.09.2025;9.73;23.06.2023;46.41;;
23.09.2025;9.78;26.06.2023;46.41;;
22.09.2025;9.63;27.06.2023;46.41;;
19.09.2025;9.65;28.06.2023;46.1;;
18.09.2025;9.63;29.06.2023;46.1;;
17.09.2025;9.55;30.06.2023;52.03;;
16.09.2025;9.64;03.07.2023;52.26;;
15.09.2025;9.52;04.07.2023;52.49;;
12.09.2025;9.42;05.07.2023;52.26;;
11.09.2025;9.4;06.07.2023;53.04;;
10.09.2025;9.46;07.07.2023;53.04;;
09.09.2025;9.52;10.07.2023;53.04;;
08.09.2025;9.86;11.07.2023;53.17;;
05.09.2025;9.69;12.07.2023;53.32;;
04.09.2025;9.6;13.07.2023;53.67;;
03.09.2025;9.6;14.07.2023;53.29;;
02.09.2025;9.53;17.07.2023;53.26;;
01.09.2025;9.63;18.07.2023;51.76;;
29.08.2025;9.63;19.07.2023;49.48;;
28.08.2025;9.78;20.07.2023;51.35;;
27.08.2025;9.8;21.07.2023;50.22;;
26.08.2025;9.65;24.07.2023;44.79;;
25.08.2025;9.68;25.07.2023;41.06;;
22.08.2025;9.68;26.07.2023;39.87;;
21.08.2025;10.22;27.07.2023;39.7;;
20.08.2025;10.2;28.07.2023;40.95;;
19.08.2025;10.64;31.07.2023;43.1;;
18.08.2025;10.7;01.08.2023;44.18;;
15.08.2025;10.6;02.08.2023;45.95;;
14.08.2025;10.7;03.08.2023;44.11;;
13.08.2025;10.79;04.08.2023;44.11;;
12.08.2025;10.9;07.08.2023;42.88;;
11.08.2025;10.65;08.08.2023;42.53;;
08.08.2025;9.62;09.08.2023;42.72;;
07.08.2025;9.16;10.08.2023;42.53;;
06.08.2025;8.86;11.08.2023;42.44;;
05.08.2025;8.75;14.08.2023;41.13;;
04.08.2025;8.88;15.08.2023;40.38;;
01.08.2025;8.95;16.08.2023;38.15;;
31.07.2025;8.94;17.08.2023;36.53;;
30.07.2025;9.47;18.08.2023;36.53;;
29.07.2025;9.6;21.08.2023;36.17;;
28.07.2025;9.8;22.08.2023;37.47;;
25.07.2025;9.7;23.08.2023;36.36;;
24.07.2025;9.8;24.08.2023;36.73;;
23.07.2025;9;25.08.2023;36.73;;
22.07.2025;9.09;28.08.2023;37.2;;
21.07.2025;9.02;29.08.2023;37.2;;
18.07.2025;8.85;30.08.2023;36.02;;
17.07.2025;8.76;31.08.2023;36.02;;
16.07.2025;8.65;01.09.2023;35.8;;
15.07.2025;8.65;04.09.2023;34.95;;
14.07.2025;8.65;05.09.2023;34.95;;
11.07.2025;8.4;06.09.2023;35.81;;
10.07.2025;8.44;07.09.2023;35.81;;
09.07.2025;8.5;08.09.2023;35;;
08.07.2025;8.49;11.09.2023;34.06;;
07.07.2025;8.54;12.09.2023;33.3;;
04.07.2025;8.69;13.09.2023;31.44;;
03.07.2025;8.69;14.09.2023;31.44;;
02.07.2025;8.71;15.09.2023;30.43;;
01.07.2025;8.65;18.09.2023;30.58;;
30.06.2025;8.7;19.09.2023;30.69;;
27.06.2025;8.83;20.09.2023;30.21;;
26.06.2025;8.41;21.09.2023;27.83;;
25.06.2025;8.37;22.09.2023;27.83;;
