Date;Close Price;;;;;
3/28/25;9,8;;;;;
3/27/25;9,38;;;;;
3/26/25;9,38;;;;;
3/25/25;9,36;;;;;
3/24/25;9,35;;;;;
3/21/25;9,47;;;;;
3/20/25;9,42;;;;;
3/19/25;9,48;;;;;
3/18/25;9,48;;;;;
3/17/25;9,53;;;;;
3/14/25;9,55;;;;;
3/13/25;9,5;;;;;
3/12/25;9,65;;;;;
3/11/25;9,48;;;;;
3/10/25;9,51;;;;;
3/7/25;9,38;;;;;
3/6/25;9,25;;;;;
3/5/25;9,31;;;;;
3/4/25;9,4;;;;;
3/3/25;9,39;;;;;
2/28/25;9,5;;;;;
2/27/25;9,56;;;;;
2/26/25;9,58;;;;;
2/25/25;9,61;;;;;
2/24/25;9,54;;;;;
2/21/25;9,73;;;;;
2/20/25;9,76;;;;;
2/19/25;9,76;;;;;
2/18/25;9,76;;;;;
2/17/25;9,76;;;;;
2/14/25;9,75;;;;;
2/13/25;9,79;;;;;
2/12/25;9,67;;;;;
2/11/25;10;;;;;
2/10/25;9,95;;;;;
2/7/25;10,01;;;;;
2/6/25;10,01;;;;;
2/5/25;10,28;;;;;
2/4/25;10,39;;;;;
2/3/25;10,31;;;;;
1/31/25;10,39;;;;;
1/30/25;10,4;;;;;
1/29/25;10,43;;;;;
1/28/25;10,5;;;;;
1/27/25;10,5;;;;;
1/24/25;10,51;;;;;
1/23/25;10,5;;;;;
1/22/25;10,63;;;;;
1/21/25;10,6;;;;;
1/20/25;10,6;;;;;
1/17/25;10,53;;;;;
1/16/25;10,6;;;;;
1/15/25;10,5;;;;;
1/14/25;10,55;;;;;
1/13/25;10,46;;;;;
1/10/25;10,46;;;;;
1/9/25;10,56;;;;;
1/8/25;10,59;;;;;
1/7/25;10,7;;;;;
1/6/25;10,71;;;;;
1/3/25;10,9;;;;;
1/2/25;10,95;;;;;
12/31/24;10,72;;;;;
12/30/24;10,72;;;;;
12/27/24;10,72;;;;;
12/26/24;10,72;;;;;
12/24/24;10,87;;;;;
12/23/24;10,83;;;;;
12/20/24;10,85;;;;;
12/19/24;10,84;;;;;
