Date;Close Price;;;;;
3/28/25;33620;;;;;
3/27/25;33500;;;;;
3/26/25;33269;;;;;
3/25/25;33274;;;;;
3/24/25;33279;;;;;
3/21/25;33300;;;;;
3/20/25;33300;;;;;
3/19/25;35859;;;;;
3/18/25;35870;;;;;
3/17/25;35876;;;;;
3/14/25;35900;;;;;
3/13/25;35900;;;;;
3/12/25;33300;;;;;
3/11/25;28950;;;;;
3/10/25;27498;;;;;
3/7/25;26730;;;;;
3/6/25;26000;;;;;
3/5/25;25000;;;;;
3/4/25;24200;;;;;
3/3/25;24000;;;;;
2/28/25;23800;;;;;
2/27/25;22850;;;;;
2/26/25;22700;;;;;
2/25/25;22100;;;;;
2/24/25;21388;;;;;
2/21/25;21399;;;;;
2/20/25;21403;;;;;
2/19/25;21408;;;;;
2/18/25;21408;;;;;
2/17/25;21422;;;;;
2/14/25;21431,5;;;;;
2/13/25;21436;;;;;
2/12/25;21440;;;;;
2/11/25;21440;;;;;
2/10/25;21453;;;;;
2/7/25;21462;;;;;
2/6/25;21466;;;;;
2/5/25;21466;;;;;
2/4/25;21466;;;;;
2/3/25;21483;;;;;
1/31/25;21492;;;;;
1/30/25;21492;;;;;
1/29/25;21496;;;;;
1/28/25;21500;;;;;
1/27/25;23700;;;;;
1/24/25;24267;;;;;
1/23/25;24271;;;;;
1/22/25;24275;;;;;
1/21/25;24275;;;;;
1/20/25;24275;;;;;
1/17/25;24296;;;;;
1/16/25;24300;;;;;
1/15/25;24300;;;;;
1/14/25;24300;;;;;
1/13/25;24300;;;;;
1/10/25;24300;;;;;
1/9/25;24300;;;;;
1/8/25;24300;;;;;
1/7/25;24300;;;;;
1/6/25;24300;;;;;
1/3/25;24300;;;;;
1/2/25;24300;;;;;
12/31/24;24300;;;;;
12/30/24;24300;;;;;
12/27/24;24300;;;;;
12/24/24;24300;;;;;
12/23/24;24300;;;;;
12/20/24;24300;;;;;
12/19/24;24300;;;;;
12/18/24;24300;;;;;
12/17/24;24300;;;;;
12/16/24;24300;;;;;
12/13/24;24300;;;;;
12/12/24;24300;;;;;
12/11/24;24300;;;;;
12/10/24;24300;;;;;
12/9/24;24300;;;;;
12/6/24;24300;;;;;
12/5/24;24300;;;;;
12/4/24;24300;;;;;
12/3/24;24300;;;;;
12/2/24;24300;;;;;
11/29/24;24300;;;;;
11/28/24;24300;;;;;
11/27/24;24300;;;;;
11/26/24;24300;;;;;
11/25/24;24300;;;;;
11/22/24;24300;;;;;
11/21/24;24300;;;;;
11/20/24;24300;;;;;
11/19/24;24300;;;;;
11/18/24;24300;;;;;
11/15/24;24298,25;;;;;
11/14/24;24296,5;;;;;
11/13/24;24291,25;;;;;
11/12/24;24289,5;;;;;
11/11/24;24287,75;;;;;
11/8/24;24286;;;;;
11/7/24;24286;;;;;
11/6/24;24279;;;;;
11/5/24;24277;;;;;
11/4/24;24275;;;;;
11/1/24;24273;;;;;
10/31/24;24271;;;;;
10/30/24;24265;;;;;
10/29/24;24263;;;;;
10/28/24;24261;;;;;
10/25/24;24259;;;;;
10/24/24;24257;;;;;
10/23/24;24251;;;;;
10/22/24;24249;;;;;
10/21/24;24247;;;;;
10/18/24;24245;;;;;
10/17/24;24243;;;;;
10/16/24;24237;;;;;
10/15/24;24235;;;;;
10/14/24;24233;;;;;
10/11/24;24227,5;;;;;
10/10/24;24227,5;;;;;
10/9/24;24205,5;;;;;
10/8/24;24200;;;;;
10/7/24;24194,5;;;;;
10/4/24;24189;;;;;
10/3/24;24183,5;;;;;
10/2/24;24167;;;;;
10/1/24;24161,5;;;;;
9/30/24;24156;;;;;
9/27/24;24150,5;;;;;
9/26/24;24145;;;;;
9/25/24;24128,5;;;;;
9/24/24;24123;;;;;
9/23/24;24117;;;;;
9/20/24;24112;;;;;
9/19/24;24107;;;;;
9/18/24;24091;;;;;
9/17/24;24086;;;;;
9/16/24;24081;;;;;
9/13/24;24075,5;;;;;
9/12/24;24070;;;;;
9/11/24;24053;;;;;
9/10/24;24048;;;;;
