Date;Bid;Ask;;;;
3/28/25;16385;16430;;;;
3/27/25;16230;16275;;;;
3/26/25;16180;16220;;;;
3/25/25;16220;16250;;;;
3/24/25;16005;16020;;;;
3/21/25;16195;16210;;;;
3/20/25;16220;16250;;;;
3/19/25;16390;16415;;;;
3/18/25;16255;16295;;;;
3/17/25;16410;16435;;;;
3/14/25;16550;16575;;;;
3/13/25;16440;16465;;;;
3/12/25;16695;16715;;;;
3/11/25;16480;16515;;;;
3/10/25;16405;16430;;;;
3/7/25;16405;16460;;;;
3/6/25;16290;16335;;;;
3/5/25;15875;15910;;;;
3/4/25;15950;15970;;;;
3/3/25;15930;15975;;;;
2/28/25;15565;15590;;;;
2/27/25;15780;15795;;;;
2/26/25;15550;15615;;;;
2/25/25;15360;15370;;;;
2/24/25;15370;15395;;;;
2/21/25;15470;15535;;;;
2/20/25;15685;15700;;;;
2/19/25;15400;15415;;;;
2/18/25;15380;15420;;;;
2/17/25;15495;15535;;;;
2/14/25;15420;15480;;;;
2/13/25;15460;15490;;;;
2/12/25;15390;15425;;;;
2/11/25;15475;15520;;;;
2/10/25;15535;15575;;;;
2/7/25;15735;15790;;;;
2/6/25;15865;15875;;;;
2/5/25;15555;15610;;;;
2/4/25;15325;15340;;;;
2/3/25;15080;15120;;;;
1/31/25;15205;15230;;;;
1/30/25;15390;15410;;;;
1/29/25;15415;15470;;;;
1/28/25;15585;15660;;;;
1/27/25;15560;15605;;;;
1/24/25;15580;15605;;;;
1/23/25;15640;15650;;;;
1/22/25;15760;15790;;;;
1/21/25;16045;16080;;;;
1/20/25;16000;16055;;;;
1/17/25;16060;16080;;;;
1/16/25;15930;15950;;;;
1/15/25;15790;15825;;;;
1/14/25;15930;15950;;;;
1/13/25;15880;15905;;;;
1/10/25;15645;15665;;;;
1/9/25;15480;15510;;;;
1/8/25;15435;15455;;;;
1/7/25;15400;15435;;;;
1/6/25;15215;15240;;;;
1/3/25;15185;15245;;;;
1/2/25;15045;15075;;;;
12/31/24;15300;15340;;;;
12/30/24;15465;15495;;;;
12/27/24;15285;15340;;;;
12/24/24;15420;15520;;;;
12/23/24;15395;15425;;;;
12/20/24;15315;15350;;;;
12/19/24;15075;15105;;;;
12/18/24;15540;15580;;;;
12/17/24;15500;15525;;;;
12/16/24;15675;15715;;;;
12/13/24;15850;15875;;;;
12/12/24;16140;16185;;;;
12/11/24;15800;15850;;;;
12/10/24;15760;15800;;;;
12/9/24;15975;16000;;;;
