Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
01.03.2012;31150;;;;;;;;;;;
02.03.2012;29900;;;;;;;;;;;
05.03.2012;29405;;;;;;;;;;;
06.03.2012;31250;;;;;;;;;;;
07.03.2012;30925;;;;;;;;;;;
08.03.2012;29925;;;;;;;;;;;
09.03.2012;31850;;;;;;;;;;;
12.03.2012;31700;;;;;;;;;;;
13.03.2012;31545;;;;;;;;;;;
14.03.2012;31550;;;;;;;;;;;
15.03.2012;31600;;;;;;;;;;;
16.03.2012;31400;;;;;;;;;;;
19.03.2012;31300;;;;;;;;;;;
20.03.2012;31000;;;;;;;;;;;
21.03.2012;31000;;;;;;;;;;;
22.03.2012;31050;;;;;;;;;;;
23.03.2012;31095;;;;;;;;;;;
26.03.2012;31045;;;;;;;;;;;
27.03.2012;30800;;;;;;;;;;;
28.03.2012;31300;;;;;;;;;;;
29.03.2012;31550;;;;;;;;;;;
30.03.2012;32800;;;;;;;;;;;
02.04.2012;31050;;;;;;;;;;;
03.04.2012;31050;;;;;;;;;;;
04.04.2012;31300;;;;;;;;;;;
05.04.2012;31050;;;;;;;;;;;
10.04.2012;31045;;;;;;;;;;;
11.04.2012;31290;;;;;;;;;;;
12.04.2012;31785;;;;;;;;;;;
13.04.2012;31032.5;;;;;;;;;;;
16.04.2012;30780;;;;;;;;;;;
17.04.2012;30595;;;;;;;;;;;
18.04.2012;30390;;;;;;;;;;;
19.04.2012;30385;;;;;;;;;;;
20.04.2012;30530;;;;;;;;;;;
23.04.2012;30475;;;;;;;;;;;
24.04.2012;30570;;;;;;;;;;;
25.04.2012;30440;;;;;;;;;;;
26.04.2012;30425;;;;;;;;;;;
27.04.2012;30400;;;;;;;;;;;
30.04.2012;30525;;;;;;;;;;;
01.05.2012;30670;;;;;;;;;;;
02.05.2012;30870;;;;;;;;;;;
03.05.2012;30870;;;;;;;;;;;
04.05.2012;31060;;;;;;;;;;;
08.05.2012;31100;;;;;;;;;;;
09.05.2012;30300;;;;;;;;;;;
10.05.2012;30500;;;;;;;;;;;
11.05.2012;30500;;;;;;;;;;;
14.05.2012;30250;;;;;;;;;;;
15.05.2012;30400;;;;;;;;;;;
16.05.2012;30400;;;;;;;;;;;
17.05.2012;30400;;;;;;;;;;;
18.05.2012;30400;;;;;;;;;;;
21.05.2012;30400;;;;;;;;;;;
22.05.2012;30250;;;;;;;;;;;
23.05.2012;30650;;;;;;;;;;;
24.05.2012;30600;;;;;;;;;;;
25.05.2012;30500;;;;;;;;;;;
28.05.2012;30500;;;;;;;;;;;
29.05.2012;30500;;;;;;;;;;;
30.05.2012;30000;;;;;;;;;;;
31.05.2012;30250;;;;;;;;;;;
01.06.2012;29500;;;;;;;;;;;
06.06.2012;30025;;;;;;;;;;;
07.06.2012;30025;;;;;;;;;;;
08.06.2012;30025;;;;;;;;;;;
11.06.2012;29531.25;;;;;;;;;;;
12.06.2012;29050;;;;;;;;;;;
13.06.2012;29550;;;;;;;;;;;
14.06.2012;29950;;;;;;;;;;;
15.06.2012;29675;;;;;;;;;;;
18.06.2012;29250;;;;;;;;;;;
19.06.2012;28000;;;;;;;;;;;
20.06.2012;28000;;;;;;;;;;;
21.06.2012;27800;;;;;;;;;;;
22.06.2012;27725;;;;;;;;;;;
25.06.2012;27250;;;;;;;;;;;
26.06.2012;27850;;;;;;;;;;;
27.06.2012;28100;;;;;;;;;;;
28.06.2012;28500;;;;;;;;;;;
29.06.2012;28000;;;;;;;;;;;
02.07.2012;29504;;;;;;;;;;;
03.07.2012;29000;;;;;;;;;;;
04.07.2012;28500;;;;;;;;;;;
05.07.2012;28325;;;;;;;;;;;
06.07.2012;28325;;;;;;;;;;;
09.07.2012;28250;;;;;;;;;;;
10.07.2012;28000;;;;;;;;;;;
11.07.2012;28000;;;;;;;;;;;
12.07.2012;27800;;;;;;;;;;;
13.07.2012;28000;;;;;;;;;;;
16.07.2012;28000;;;;;;;;;;;
17.07.2012;27750;;;;;;;;;;;
18.07.2012;28000;;;;;;;;;;;
19.07.2012;28000;;;;;;;;;;;
20.07.2012;28000;;;;;;;;;;;
23.07.2012;27750;;;;;;;;;;;
24.07.2012;27750;;;;;;;;;;;
25.07.2012;27750;;;;;;;;;;;
26.07.2012;27700;;;;;;;;;;;
27.07.2012;30500;;;;;;;;;;;
30.07.2012;30005.75;;;;;;;;;;;
31.07.2012;29760;;;;;;;;;;;
01.08.2012;30015;;;;;;;;;;;
02.08.2012;29518;;;;;;;;;;;
03.08.2012;29250;;;;;;;;;;;
06.08.2012;29500;;;;;;;;;;;
07.08.2012;29250;;;;;;;;;;;
08.08.2012;29375;;;;;;;;;;;
09.08.2012;29400;;;;;;;;;;;
10.08.2012;29400;;;;;;;;;;;
13.08.2012;27800;;;;;;;;;;;
14.08.2012;28000;;;;;;;;;;;
15.08.2012;27750;;;;;;;;;;;
16.08.2012;28900;;;;;;;;;;;
17.08.2012;28500;;;;;;;;;;;
20.08.2012;28200;;;;;;;;;;;
21.08.2012;28750;;;;;;;;;;;
22.08.2012;28500;;;;;;;;;;;
23.08.2012;29500;;;;;;;;;;;
24.08.2012;29500;;;;;;;;;;;
28.08.2012;29500;;;;;;;;;;;
29.08.2012;29500;;;;;;;;;;;
30.08.2012;29500;;;;;;;;;;;
31.08.2012;29500;;;;;;;;;;;
03.09.2012;29500;;;;;;;;;;;
04.09.2012;29500;;;;;;;;;;;
05.09.2012;29500;;;;;;;;;;;
06.09.2012;29425;;;;;;;;;;;
07.09.2012;29500;;;;;;;;;;;
10.09.2012;29500;;;;;;;;;;;
11.09.2012;29500;;;;;;;;;;;
12.09.2012;29375;;;;;;;;;;;
13.09.2012;29375;;;;;;;;;;;
14.09.2012;28000;;;;;;;;;;;
17.09.2012;28500;;;;;;;;;;;
18.09.2012;29000;;;;;;;;;;;
19.09.2012;28500;;;;;;;;;;;
20.09.2012;28500;;;;;;;;;;;
21.09.2012;29000;;;;;;;;;;;
24.09.2012;29000;;;;;;;;;;;
25.09.2012;29500;;;;;;;;;;;
26.09.2012;29750;;;;;;;;;;;
27.09.2012;29750;;;;;;;;;;;
28.09.2012;29750;;;;;;;;;;;
01.10.2012;29750;;;;;;;;;;;
02.10.2012;28000;;;;;;;;;;;
03.10.2012;27500;;;;;;;;;;;
04.10.2012;27750;;;;;;;;;;;
05.10.2012;27625;;;;;;;;;;;
08.10.2012;27650;;;;;;;;;;;
09.10.2012;27400;;;;;;;;;;;
10.10.2012;27400;;;;;;;;;;;
11.10.2012;27400;;;;;;;;;;;
12.10.2012;27325;;;;;;;;;;;
15.10.2012;26750;;;;;;;;;;;
16.10.2012;27650;;;;;;;;;;;
17.10.2012;26250;;;;;;;;;;;
18.10.2012;26500;;;;;;;;;;;
19.10.2012;26750;;;;;;;;;;;
22.10.2012;26750;;;;;;;;;;;
23.10.2012;26625;;;;;;;;;;;
24.10.2012;26500;;;;;;;;;;;
25.10.2012;25500;;;;;;;;;;;
26.10.2012;25500;;;;;;;;;;;
29.10.2012;25250;;;;;;;;;;;
30.10.2012;25250;;;;;;;;;;;
31.10.2012;25550;;;;;;;;;;;
01.11.2012;25850;;;;;;;;;;;
02.11.2012;25675;;;;;;;;;;;
05.11.2012;24875;;;;;;;;;;;
06.11.2012;25250;;;;;;;;;;;
07.11.2012;24550;;;;;;;;;;;
08.11.2012;24000;;;;;;;;;;;
09.11.2012;24000;;;;;;;;;;;
12.11.2012;23500;;;;;;;;;;;
13.11.2012;23500;;;;;;;;;;;
14.11.2012;23350;;;;;;;;;;;
15.11.2012;23350;;;;;;;;;;;
16.11.2012;23075;;;;;;;;;;;
19.11.2012;23200;;;;;;;;;;;
20.11.2012;22950;;;;;;;;;;;
21.11.2012;22700;;;;;;;;;;;
22.11.2012;22850;;;;;;;;;;;
23.11.2012;22850;;;;;;;;;;;
26.11.2012;22500;;;;;;;;;;;
27.11.2012;22405;;;;;;;;;;;
28.11.2012;22555;;;;;;;;;;;
29.11.2012;22555;;;;;;;;;;;
30.11.2012;22855;;;;;;;;;;;
03.12.2012;23861.5;;;;;;;;;;;
04.12.2012;23611.5;;;;;;;;;;;
05.12.2012;23611.5;;;;;;;;;;;
06.12.2012;23611.5;;;;;;;;;;;
07.12.2012;23613;;;;;;;;;;;
10.12.2012;23615;;;;;;;;;;;
11.12.2012;23615;;;;;;;;;;;
12.12.2012;23365;;;;;;;;;;;
13.12.2012;23615;;;;;;;;;;;
14.12.2012;23615;;;;;;;;;;;
