Date;PX_ASK;PX_BID
27.12.2024;24300;23800
24.12.2024;24300;23800
23.12.2024;24300;23800
20.12.2024;24300;23800
19.12.2024;24300;23800
18.12.2024;24300;23800
17.12.2024;24300;23800
16.12.2024;24300;23800
13.12.2024;24300;23800
12.12.2024;24300;23800
11.12.2024;24300;23800
10.12.2024;24300;23800
09.12.2024;24300;23800
06.12.2024;24300;23800
05.12.2024;24300;23800
04.12.2024;24300;23800
03.12.2024;24300;23800
02.12.2024;24300;23800
29.11.2024;24300;23800
28.11.2024;24300;23800
27.11.2024;24300;23800
26.11.2024;24300;23800
25.11.2024;24300;23800
22.11.2024;24300;23800
21.11.2024;24300;23800
20.11.2024;24300;23800
19.11.2024;24300;23800
18.11.2024;24300;23800
15.11.2024;24300;23800
14.11.2024;24295;23795
13.11.2024;24290;23790
12.11.2024;24290;23790
11.11.2024;24290;23790
08.11.2024;24285;23785
07.11.2024;24285;23785
06.11.2024;24280;23780
05.11.2024;24275;23775
04.11.2024;24275;23775
01.11.2024;24275;23775
31.10.2024;24270;23770
30.10.2024;24265;23765
29.10.2024;24265;23765
28.10.2024;24260;23760
25.10.2024;24260;23760
24.10.2024;24255;23755
23.10.2024;24250;23750
22.10.2024;24250;23750
21.10.2024;24245;23745
18.10.2024;24245;23745
17.10.2024;24245;23745
16.10.2024;24235;23735
15.10.2024;24235;23735
14.10.2024;24235;23735
11.10.2024;24225;23725
10.10.2024;24225;23725
09.10.2024;24205;23705
08.10.2024;24200;23700
07.10.2024;24195;23695
04.10.2024;24190;23690
03.10.2024;24185;23685
02.10.2024;24165;23665
01.10.2024;24160;23660
30.09.2024;24155;23655
27.09.2024;24150;23650
26.09.2024;24145;23645
25.09.2024;24130;23630
24.09.2024;24125;23625
23.09.2024;24115;23615
20.09.2024;24110;23610
19.09.2024;24105;23605
18.09.2024;24090;23590
17.09.2024;24085;23585
16.09.2024;24080;23580
13.09.2024;24075;23575
12.09.2024;24070;23570
11.09.2024;24055;23555
10.09.2024;24050;23550
09.09.2024;24040;23540
06.09.2024;24035;23535
05.09.2024;24030;23530
04.09.2024;24015;23515
03.09.2024;24010;23510
02.09.2024;24005;23505
30.08.2024;24000;23500
29.08.2024;24000;23500
28.08.2024;23980;23480
27.08.2024;23975;23475
23.08.2024;23970;23470
22.08.2024;24565;24065
21.08.2024;24540;24040
20.08.2024;24535;24035
19.08.2024;24530;24030
16.08.2024;25625;25125
15.08.2024;26120;25620
14.08.2024;26110;25610
13.08.2024;26105;25605
12.08.2024;26100;25600
09.08.2024;26095;25595
08.08.2024;26090;25590
07.08.2024;26075;25575
06.08.2024;26075;25575
05.08.2024;26070;25570
02.08.2024;26065;25565
01.08.2024;26185;25685
31.07.2024;26175;25675
30.07.2024;26175;25675
29.07.2024;26175;25675
26.07.2024;26190;25690
25.07.2024;26185;25685
24.07.2024;26175;25675
23.07.2024;26175;25675
22.07.2024;26175;25675
19.07.2024;26190;25690
18.07.2024;26185;25685
17.07.2024;26175;25675
16.07.2024;26175;25675
15.07.2024;26180;25680
12.07.2024;26725;26225
11.07.2024;26725;26225
