Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
;8963,5;-18,5;-0,205967490536629;;;;;;;;;
27.12.2024;8982;31,5;0,351935646053293;8999,5;49;0,547455449416234;9018,5;68;0,759734093067426;8947;-3,5;-0,0391039606725881
24.12.2024;8950,5;38,5;0,432001795332136;8934;22;0,246858168761221;8988;76;0,85278276481149;8919;7;0,0785457809694794
23.12.2024;8912;-29;-0,324348506878425;8942;1;0,0111844312716698;8994,5;53,5;0,598367073034336;8900;-41;-0,458561682138463
20.12.2024;8941;58;0,652932567826185;8885;2;0,0225149161319374;8953,5;70,5;0,793650793650794;8880,5;-2,5;-0,0281436451649218
19.12.2024;8883;-145,5;-1,6115633826217;8969,5;-59;-0,65348618264385;8970;-58,5;-0,647948164146868;8859,5;-169;-1,87185025197984
18.12.2024;9028,5;39;0,433839479392625;9004;14,5;0,161299293620335;9049,5;60;0,66744535291173;8950;-39,5;-0,439401524000222
17.12.2024;8989,5;-73;-0,80551724137931;9076;13,5;0,148965517241379;9083,5;21;0,231724137931034;8964;-98,5;-1,08689655172414
16.12.2024;9062,5;10;0,110466721900028;9060;7,5;0,0828500414250207;9109,5;57;0,629660314830157;9022;-30,5;-0,336923501795084
13.12.2024;9052,5;-39;-0,428972116812407;9087,5;-4;-0,0439971401858879;9116,5;25;0,274982126161799;9036;-55,5;-0,610460320079195
12.12.2024;9091,5;-100,5;-1,09334203655352;9197;5;0,0543951261966928;9265;73;0,794168842471715;9072;-120;-1,30548302872063
11.12.2024;9192;-24,5;-0,26582759181902;9240;23,5;0,254977486030489;9314;97,5;1,05788531438182;9155,5;-61;-0,661856453100418
10.12.2024;9216,5;-15,5;-0,167894280762565;9222;-10;-0,108318890814558;9245;13;0,140814558058925;9164;-68;-0,736568457538995
09.12.2024;9232;109,5;1,20032885722116;9103;-19,5;-0,213757193751713;9260;137,5;1,50726226363387;9067;-55,5;-0,60838585913949
06.12.2024;9122,5;48;0,528954763347843;9079,5;5;0,0550994545154003;9178,5;104;1,14606865392033;9063;-11,5;-0,126728745385421
05.12.2024;9074,5;-8,5;-0,0935814158317736;9102;19;0,209181988329847;9149,5;66,5;0,732136959154464;9060;-23;-0,253220301662446
04.12.2024;9083;-28,5;-0,312791527190913;9085,5;-26;-0,285353673928552;9125,5;14;0,15365197826922;9041;-70,5;-0,773747461998573
03.12.2024;9111,5;119;1,32332499304976;9008,5;16;0,177926049485683;9154;161,5;1,79594106199611;8957,5;-35;-0,38921323324993
02.12.2024;8992,5;-18;-0,199766938571666;8979;-31,5;-0,349592142500416;9025;14,5;0,160923367182731;8904;-106,5;-1,18195438654903
29.11.2024;9010,5;8,5;0,0944234614530104;8994;-8;-0,0888691401910687;9056;54;0,599866696289713;8980,5;-21,5;-0,238835814263497
28.11.2024;9002;-18;-0,199556541019956;9015,5;-4,5;-0,0498891352549889;9042,5;22,5;0,249445676274945;8963,5;-56,5;-0,626385809312639
27.11.2024;9020;19,5;0,216654630298317;8986;-14,5;-0,161102160991056;9065;64,5;0,716626854063663;8971,5;-29;-0,322204321982112
26.11.2024;9000,5;-45;-0,497484937261622;8967;-78,5;-0,867834835000829;9072,5;27;0,298490962356973;8950,5;-95;-1,05024597866342
25.11.2024;9045,5;77,5;0,864183764495986;9030;62;0,691347011596789;9092,5;124,5;1,38826940231936;9019;51;0,568688670829616
22.11.2024;8968;-40,5;-0,449575401010157;9014,5;6;0,0666037631126159;9047;38,5;0,427374146639285;8938;-70,5;-0,782594216573236
21.11.2024;9008,5;-81;-0,891138126409593;9103;13,5;0,148523021068266;9141;51,5;0,566587821112272;9002;-87,5;-0,962649210627647
20.11.2024;9089,5;2;0,0220082530949106;9133;45,5;0,500687757909216;9165;77,5;0,852819807427785;9082;-5,5;-0,0605226960110041
19.11.2024;9087,5;15;0,165334802976026;9100,5;28;0,308624965555249;9140;67,5;0,744006613392119;9022,5;-50;-0,551116009920088
