Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
01.04.2016;8320;;;;;;;;;;;
04.04.2016;8365;;;;;;;;;;;
05.04.2016;8480;;;;;;;;;;;
06.04.2016;8590;;;;;;;;;;;
07.04.2016;8390;;;;;;;;;;;
08.04.2016;8545;;;;;;;;;;;
11.04.2016;8560;;;;;;;;;;;
12.04.2016;8860;;;;;;;;;;;
13.04.2016;8985;;;;;;;;;;;
14.04.2016;8995;;;;;;;;;;;
15.04.2016;8915;;;;;;;;;;;
18.04.2016;9140;;;;;;;;;;;
19.04.2016;9270;;;;;;;;;;;
20.04.2016;9325;;;;;;;;;;;
21.04.2016;9100;;;;;;;;;;;
22.04.2016;9090;;;;;;;;;;;
25.04.2016;9130;;;;;;;;;;;
26.04.2016;9190;;;;;;;;;;;
27.04.2016;9200;;;;;;;;;;;
28.04.2016;9295;;;;;;;;;;;
29.04.2016;9445;;;;;;;;;;;
03.05.2016;9520;;;;;;;;;;;
04.05.2016;9445;;;;;;;;;;;
05.05.2016;9020;;;;;;;;;;;
06.05.2016;9065;;;;;;;;;;;
09.05.2016;8605;;;;;;;;;;;
10.05.2016;8710;;;;;;;;;;;
11.05.2016;8885;;;;;;;;;;;
12.05.2016;8630;;;;;;;;;;;
13.05.2016;8640;;;;;;;;;;;
16.05.2016;8720;;;;;;;;;;;
17.05.2016;8795;;;;;;;;;;;
18.05.2016;8635;;;;;;;;;;;
19.05.2016;8555;;;;;;;;;;;
20.05.2016;8500;;;;;;;;;;;
23.05.2016;8330;;;;;;;;;;;
24.05.2016;8400;;;;;;;;;;;
25.05.2016;8350;;;;;;;;;;;
26.05.2016;8395;;;;;;;;;;;
27.05.2016;8420;;;;;;;;;;;
31.05.2016;8435;;;;;;;;;;;
01.06.2016;8475;;;;;;;;;;;
02.06.2016;8470;;;;;;;;;;;
03.06.2016;8495;;;;;;;;;;;
06.06.2016;8665;;;;;;;;;;;
07.06.2016;8585;;;;;;;;;;;
08.06.2016;8960;;;;;;;;;;;
09.06.2016;8935;;;;;;;;;;;
10.06.2016;8925;;;;;;;;;;;
13.06.2016;8890;;;;;;;;;;;
14.06.2016;8885;;;;;;;;;;;
15.06.2016;9045;;;;;;;;;;;
16.06.2016;8870;;;;;;;;;;;
17.06.2016;9065;;;;;;;;;;;
20.06.2016;9285;;;;;;;;;;;
21.06.2016;9190;;;;;;;;;;;
22.06.2016;9230;;;;;;;;;;;
23.06.2016;9225;;;;;;;;;;;
24.06.2016;9020;;;;;;;;;;;
27.06.2016;8980;;;;;;;;;;;
28.06.2016;9340;;;;;;;;;;;
29.06.2016;9440;;;;;;;;;;;
30.06.2016;9445;;;;;;;;;;;
01.07.2016;9970;;;;;;;;;;;
04.07.2016;10195;;;;;;;;;;;
05.07.2016;9705;;;;;;;;;;;
06.07.2016;9985;;;;;;;;;;;
07.07.2016;9750;;;;;;;;;;;
08.07.2016;9880;;;;;;;;;;;
11.07.2016;10045;;;;;;;;;;;
12.07.2016;10490;;;;;;;;;;;
13.07.2016;10350;;;;;;;;;;;
14.07.2016;10360;;;;;;;;;;;
15.07.2016;10280;;;;;;;;;;;
18.07.2016;10545;;;;;;;;;;;
19.07.2016;10560;;;;;;;;;;;
20.07.2016;10580;;;;;;;;;;;
21.07.2016;10760;;;;;;;;;;;
22.07.2016;10410;;;;;;;;;;;
25.07.2016;10475;;;;;;;;;;;
26.07.2016;10350;;;;;;;;;;;
27.07.2016;10355;;;;;;;;;;;
28.07.2016;10695;;;;;;;;;;;
29.07.2016;10630;;;;;;;;;;;
01.08.2016;10735;;;;;;;;;;;
02.08.2016;10725;;;;;;;;;;;
03.08.2016;10735;;;;;;;;;;;
04.08.2016;10605;;;;;;;;;;;
05.08.2016;10715;;;;;;;;;;;
08.08.2016;10770;;;;;;;;;;;
09.08.2016;10780;;;;;;;;;;;
10.08.2016;10860;;;;;;;;;;;
11.08.2016;10735;;;;;;;;;;;
12.08.2016;10305;;;;;;;;;;;
15.08.2016;10510;;;;;;;;;;;
16.08.2016;10255;;;;;;;;;;;
17.08.2016;10220;;;;;;;;;;;
18.08.2016;10350;;;;;;;;;;;
19.08.2016;10355;;;;;;;;;;;
22.08.2016;10265;;;;;;;;;;;
23.08.2016;10265;;;;;;;;;;;
24.08.2016;9995;;;;;;;;;;;
25.08.2016;9845;;;;;;;;;;;
26.08.2016;9810;;;;;;;;;;;
30.08.2016;9830;;;;;;;;;;;
31.08.2016;9765;;;;;;;;;;;
01.09.2016;9910;;;;;;;;;;;
02.09.2016;10060;;;;;;;;;;;
05.09.2016;10070;;;;;;;;;;;
06.09.2016;10110;;;;;;;;;;;
07.09.2016;10210;;;;;;;;;;;
08.09.2016;10345;;;;;;;;;;;
09.09.2016;10370;;;;;;;;;;;
12.09.2016;10080;;;;;;;;;;;
13.09.2016;9860;;;;;;;;;;;
14.09.2016;9840;;;;;;;;;;;
15.09.2016;9715;;;;;;;;;;;
16.09.2016;9725;;;;;;;;;;;
19.09.2016;10150;;;;;;;;;;;
20.09.2016;10310;;;;;;;;;;;
21.09.2016;10350;;;;;;;;;;;
22.09.2016;10660;;;;;;;;;;;
23.09.2016;10660;;;;;;;;;;;
26.09.2016;10530;;;;;;;;;;;
27.09.2016;10630;;;;;;;;;;;
28.09.2016;10695;;;;;;;;;;;
29.09.2016;10435;;;;;;;;;;;
30.09.2016;10575;;;;;;;;;;;
03.10.2016;10350;;;;;;;;;;;
04.10.2016;10080;;;;;;;;;;;
05.10.2016;10080;;;;;;;;;;;
06.10.2016;10255;;;;;;;;;;;
07.10.2016;10200;;;;;;;;;;;
10.10.2016;10520;;;;;;;;;;;
11.10.2016;10425;;;;;;;;;;;
12.10.2016;10565;;;;;;;;;;;
13.10.2016;10430;;;;;;;;;;;
14.10.2016;10485;;;;;;;;;;;
17.10.2016;10290;;;;;;;;;;;
18.10.2016;10410;;;;;;;;;;;
19.10.2016;10310;;;;;;;;;;;
20.10.2016;10130;;;;;;;;;;;
21.10.2016;9960;;;;;;;;;;;
24.10.2016;10105;;;;;;;;;;;
25.10.2016;10225;;;;;;;;;;;
26.10.2016;10260;;;;;;;;;;;
27.10.2016;10360;;;;;;;;;;;
28.10.2016;10430;;;;;;;;;;;
31.10.2016;10475;;;;;;;;;;;
01.11.2016;10405;;;;;;;;;;;
02.11.2016;10320;;;;;;;;;;;
03.11.2016;10480;;;;;;;;;;;
