Date,NIDALY,NILMEX,NISHFE,NIWUXI,NIINDA,CUDALY,CUCOMX,CULMEX,CUSMMG,CUSHFE,LIDALY,LISAME,LICOMX,LILMEX,CODALY,COLMEX,COLMEA,COWUXI
2021-07-19,8.5575,18462,142.57,142,1390.4,4.2023,4.21,9222,69250,68950,13.691,10086.763,15,15450,24.195,52477.5,287,362
2021-07-20,8.4232,18684,138.82,140,1399.2,4.178,4.27,9336,68390,67910,13.691,10122.836,15,15450,24.195,52473,287,366
2021-07-21,8.3379,18580,138.14,137.7,1391.5,4.2055,4.28,9347,68650,68190,13.691,10158.875,15,15450,24.195,52468,287,366.5
2021-07-22,8.5593,18922,138.32,137.6,1418.4,4.2558,4.35,9441.5,69015,68620,13.691,10194.801,15,15450,24.195,52463,287,367
2021-07-23,8.7394,19372,141.5,141.1,1479.3,4.279,4.41,9516,70090,69540,13.691,10230.535,15,15450,24.195,52463,287,369
2021-07-26,8.8369,19717,145.04,147.2,1522.9,4.3454,4.59,9809.5,71265,70390,13.691,10335.792,15,15450,24.195,52441,287,370
2021-07-27,8.7852,19357,146.7,144.2,1490.1,4.4039,4.55,9758.5,72715,71940,13.691,10369.966,15,15450,24.195,52436,286,365.5
2021-07-28,8.8827,19543,145.72,145.7,1502.4,4.3985,4.48,9686,72420,72040,13.691,10403.553,15,15450,24.195,52431,286,366
2021-07-29,8.9671,19835,146.55,147.8,1522.1,4.4366,4.52,9823.5,71805,71460,13.779,10436.474,16,15450,24.195,52426,286,364.5
2021-07-30,9.0229,19552,147.26,145.1,1504.2,4.4214,4.48,9728,71875,71550,13.773,10468.649,16,15500,24.195,52426,286,354
2021-08-02,8.9471,19516,146.21,144.7,1478.4,4.4166,4.43,9700.5,71750,71450,13.773,10560.011,16,15625,24.5,52404,286,348.5
2021-08-03,8.7652,19388,144.26,143.5,1469.9,4.347,4.38,9541.5,71045,70740,13.767,10588.649,16,15625,24.5,52399,286,347
2021-08-04,8.8215,19243,143.62,142.55,1460.5,4.3105,4.33,9466,70280,70060,14.319,10616.368,16,15625,24.36,52394,286,350
2021-08-05,8.7448,19472,143.35,144.6,1470.2,4.2769,4.35,9491.5,69700,69540,14.318,10643.165,16,15625,24.36,52389,286,349.5
2021-08-06,8.86,19214,145.01,143.25,1459.2,4.3225,4.35,9468,69785,69790,14.3,10669.034,16,15750,24.36,52389,286,349.5
2021-08-09,8.5039,18620,141.8,138.95,1423.6,4.2236,4.29,9369.5,69620,69520,14.279,10741.026,16,15750,24.36,52367,286,343
2021-08-10,8.4903,18952,139.84,141.45,1443.9,4.2681,4.35,9520.5,69560,69430,14.271,10763.135,16,15750,24.29,52361.5,286,344
2021-08-11,8.5661,19368,141.12,144.05,1473.7,4.2733,4.36,9512,70030,69850,14.265,10784.292,16,15750,24.29,52350.5,286,343
2021-08-12,8.8632,19678,147.6,146.2,1491.3,4.313,4.36,9467.5,70355,70250,14.281,10804.492,16,15750,23.814,52350.5,286,341
2021-08-13,8.9131,19656,148.39,147.25,1489.2,4.2771,4.39,9570,70245,70040,14.275,10823.73,16,15750,24.29,52350.5,286,343.5
2021-08-16,8.8473,19510,147.98,147.1,1483.6,4.2533,4.32,9442,70355,70380,14.282,10875.625,16,15750,24.14,52328.5,286,343
2021-08-17,8.8314,19193,146.38,144.55,1461,4.2395,4.2,9247.5,70030,69790,14.274,10890.967,16,15750,24.14,52000,286,344
2021-08-18,8.6269,18887,144.23,142.4,1435.6,4.1497,4.12,9042.5,69215,68910,14.273,10905.323,16,15750,24.05,51197,286,345
2021-08-19,8.3806,18385,141.41,140.95,1398.5,3.9805,4.04,8894,67730,67530,14.232,10918.688,16,15750,24.05,51198,286,347
2021-08-20,8.4228,18463,139.8,141.4,1402.4,4.047,4.13,9037,67205,66760,14.232,10931.057,16,16000,24.05,51200,286,345.5
2021-08-23,8.5706,18893,140.57,143.5,1437,4.1898,4.23,9273.5,68290,67770,14.232,10962.141,16,16000,24.04,51181,286,347
2021-08-24,8.6477,19074,142.24,143.5,1437.5,4.2259,4.26,9376,68975,68690,14.232,10970.478,16,16000,24.01,51178,286,353
2021-08-25,8.7203,19170,143.64,143.9,1444.4,4.254,4.27,9356,69625,69380,14.278,10977.794,16,16000,24.01,50100,286,353.5
2021-08-26,8.5584,18772,144.23,141,1423.3,4.2288,4.25,9299.5,69350,69180,14.268,10984.086,16,16000,24,50109,286,353
2021-08-27,8.5792,19011,142.04,142.95,1415.3,4.242,4.32,9410,69190,68990,14.278,10989.348,16,16062.5,24.05,50111.5,286,354
