Date,NIDALY,NILMEX,NISHFE,NIWUXI,CUDALY,CUCOMX,CULMEX,CUSHFE,LIDALY,LICOMX,LILMEX,CODALY,COLMEX,COLMEA,COWUXI,LIT
2021-07-19,8.5575,18462,142.57,142,4.2023,4.21,9222,68950,13.691,15,15450,24.195,52477.5,287,362,72.81885528564453
2021-07-20,8.4232,18684,138.82,140,4.178,4.27,9336,67910,13.691,15,15450,24.195,52473,287,366,75.1113052368164
2021-07-21,8.3379,18580,138.14,137.7,4.2055,4.28,9347,68190,13.691,15,15450,24.195,52468,287,366.5,78.559600830078125
2021-07-22,8.5593,18922,138.32,137.6,4.2558,4.35,9441.5,68620,13.691,15,15450,24.195,52463,287,367,78.75223541259766
2021-07-23,8.7394,19372,141.5,141.1,4.279,4.41,9516,69540,13.691,15,15450,24.195,52463,287,369,77.38446807861328
2021-07-26,8.8369,19717,145.04,147.2,4.3454,4.59,9809.5,70390,13.691,15,15450,24.195,52441,287,370,77.50006103515625
2021-07-27,8.7852,19357,146.7,144.2,4.4039,4.55,9758.5,71940,13.691,15,15450,24.195,52436,286,365.5,74.01323699951172
2021-07-28,8.8827,19543,145.72,145.7,4.3985,4.48,9686,72040,13.691,15,15450,24.195,52431,286,366,77.18218231201172
2021-07-29,8.9671,19835,146.55,147.8,4.4366,4.52,9823.5,71460,13.779,16,15450,24.195,52426,286,364.5,79.64802551269531
2021-07-30,9.0229,19552,147.26,145.1,4.4214,4.48,9728,71550,13.773,16,15500,24.195,52426,286,354,80.21632385253906
2021-08-02,8.9471,19516,146.21,144.7,4.4166,4.43,9700.5,71450,13.773,16,15625,24.5,52404,286,348.5,80.3126449584961
2021-08-03,8.7652,19388,144.26,143.5,4.347,4.38,9541.5,70740,13.767,16,15625,24.5,52399,286,347,78.8196792602539
2021-08-04,8.8215,19243,143.62,142.55,4.3105,4.33,9466,70060,14.319,16,15625,24.36,52394,286,350,82.34500885009766
2021-08-05,8.7448,19472,143.35,144.6,4.2769,4.35,9491.5,69540,14.318,16,15625,24.36,52389,286,349.5,82.49913787841797
2021-08-06,8.86,19214,145.01,143.25,4.3225,4.35,9468,69790,14.3,16,15750,24.36,52389,286,349.5,83.26969909667969
2021-08-09,8.5039,18620,141.8,138.95,4.2236,4.29,9369.5,69520,14.279,16,15750,24.36,52367,286,343,82.566558837890625
2021-08-10,8.4903,18952,139.84,141.45,4.2681,4.35,9520.5,69430,14.271,16,15750,24.29,52361.5,286,344,82.460601806640625
2021-08-11,8.5661,19368,141.12,144.05,4.2733,4.36,9512,69850,14.265,16,15750,24.29,52350.5,286,343,83.30823516845703
2021-08-12,8.8632,19678,147.6,146.2,4.313,4.36,9467.5,70250,14.281,16,15750,23.814,52350.5,286,341,83.66461944580078
2021-08-13,8.9131,19656,148.39,147.25,4.2771,4.39,9570,70040,14.275,16,15750,24.29,52350.5,286,343.5,82.89404296875
2021-08-16,8.8473,19510,147.98,147.1,4.2533,4.32,9442,70380,14.282,16,15750,24.14,52328.5,286,343,78.9930419921875
2021-08-17,8.8314,19193,146.38,144.55,4.2395,4.2,9247.5,69790,14.274,16,15750,24.14,52000,286,344,76.8065414428711
2021-08-18,8.6269,18887,144.23,142.4,4.1497,4.12,9042.5,68910,14.273,16,15750,24.05,51197,286,345,77.81792449951172
2021-08-19,8.3806,18385,141.41,140.95,3.9805,4.04,8894,67530,14.232,16,15750,24.05,51198,286,347,78.64628601074219
2021-08-20,8.4228,18463,139.8,141.4,4.047,4.13,9037,66760,14.232,16,16000,24.05,51200,286,345.5,78.86781311035156
2021-08-23,8.5706,18893,140.57,143.5,4.1898,4.23,9273.5,67770,14.232,16,16000,24.04,51181,286,347,81.21806335449219
2021-08-24,8.6477,19074,142.24,143.5,4.2259,4.26,9376,68690,14.232,16,16000,24.01,51178,286,353,81.81526184082031
2021-08-25,8.7203,19170,143.64,143.9,4.254,4.27,9356,69380,14.278,16,16000,24.01,50100,286,353.5,82.09458923339844
2021-08-26,8.5584,18772,144.23,141,4.2288,4.25,9299.5,69180,14.268,16,16000,24,50109,286,353,80.3319091796875
2021-08-27,8.5792,19011,142.04,142.95,4.242,4.32,9410,68990,14.278,16,16062.5,24.05,50111.5,286,354,81.91158294677734
2021-08-30,8.6362,19668.891,145.51,148,4.3645,4.36,9642.034,69900,14.297,16,15880.946,22.875,49840.779,286.036,354,82.470245361328125
2021-08-31,8.8509,19547,149.73,148.6,4.2921,4.36,9520,69880,14.316,16,16070,23.97,50092.5,286,354.5,82.42208099365234
2021-09-01,8.8636,19332,149.94,146.7,4.2239,4.26,9335.5,69620,14.305,16,16375,23.4,50500,286,357,81.073577880859375
2021-09-02,8.837,19464,148.58,147.4,4.289,4.29,9376.5,69160,14.323,17,16375,23.224,50504,286,363.5,80.54381561279297
2021-09-03,8.8423,19789,147.39,148.5,4.2461,4.33,9431,69370,14.342,17,17125,23.49,50499,285,365,79.41686248779297
2021-09-06,8.904,19654,147.79,147.35,4.2642,4.326,9450.5,69550,14.324,17.712,17750,23.49,50485,285,364.5,NA
2021-09-07,8.8677,19506,146.73,145.8,4.2293,4.28,9350.5,69460,14.306,18,17750,23.61,50482,285,364,81.91158294677734
2021-09-08,8.9461,19713,147.72,147.9,4.228,4.23,9249,69140,14.324,18,17750,23.061,50479,285,365,80.89057159423828
2021-09-09,9.1662,20190,149.53,151.95,4.286,4.28,9387.5,68930,14.33,18,17750,23.36,51140,285,364.5,81.71892547607422
2021-09-10,9.2653,20392,153.87,153.6,4.4205,4.45,9694.5,69960,14.37,19,18500,23.36,51137,285,371,81.99825286865234
2021-09-13,8.9634,19726,152.92,147.7,4.3545,4.36,9562.5,71530,14.326,19,18950,23.36,51123,285,364.5,80.63050079345703
2021-09-14,8.9079,19623,147.99,146.45,4.3105,4.32,9442,70480,14.347,19,18950,23.36,51120,285,365,82.6917724609375
2021-09-15,9.0864,20016,147.96,147.95,4.399,4.4,9627,69760,14.378,19,18950,23.36,51117,285,355.5,83.81873321533203
2021-09-16,8.8069,19401,147.27,145.5,4.2615,4.28,9366.5,70210,14.342,19,18950,23.36,51120,285,354.5,81.00614929199219
2021-09-17,8.7947,19358,144.69,144.5,4.2355,4.25,9312,69400,23.662,20,19700,24.213,53000,285,357.5,80.47639465332031
2021-09-20,8.6523,19056,142.752,143.5,4.1225,4.12,9033,68242.259,29.283,20,19700,24.213,52990,285,360,76.52720642089844
2021-09-21,8.5448,18830,143.454,142.6,4.1105,4.13,8975.5,68406.026,26.061,20,19700,24.213,52988,280,365,77.779388427734375
2021-09-22,8.7248,19221,144.15,145,4.238,4.25,9286,68630,23.658,20,19700,24.213,52987,280,365.5,79.4842758178711
2021-09-23,8.7877,19351,144.64,145.6,4.2325,4.23,9273.5,68820,23.692,20,19700,24.213,52991,280,368,80.57271575927734
2021-09-24,8.8023,19387,145.45,145.2,4.2835,4.29,9332.5,69010,25.508,20,20100,24.213,52990,280,366.5,80.03331756591797
2021-09-27,8.5999,18946,145.53,143.15,4.287,4.29,9362,69470,25.527,20,20100,24.213,52972,280,370,80.00440216064453
2021-09-28,8.4253,18564,142.21,141.4,4.246,4.25,9269,69340,25.543,20,20100,24.213,52974,280,369,77.40373992919922
2021-09-29,8.3268,18342,141.62,138.8,4.188,4.2,9155,68840,25.525,20,20100,24.213,52976,280,371,76.79691314697266
2021-09-30,8.1404,17936,140.4,135.95,4.0975,4.09,8936.5,68450,25.526,20,20100,24.213,52980,280,370,78.94487762451172
2021-10-01,8.1511,17971,139.295,136.3,4.1935,4.19,9128,68293.529,25.603,21,21500,24.213,52978,280,370,78.33805847167969
2021-10-04,8.1304,17924,139.098,136.1,4.25,4.25,9250.5,68741.553,25.603,21,21500,24.213,52963,280,368.5,75.79517364501953
2021-10-05,8.2248,18121,139.802,137.3,4.2,4.2,9174,69020.849,25.603,21,21500,24.213,52961,280,367.5,78.13578033447266
2021-10-06,8.1955,18072,140.754,137.9,4.1655,4.16,9045.5,69277.194,25.603,21,21500,24.213,52960,280,370.5,77.09552001953125
2021-10-07,8.2842,18264,141.874,139.45,4.2615,4.25,9280,69457.83,25.603,22,21500,24.213,52966,280,371.5,78.69444274902344
2021-10-08,8.7208,19221,143.08,145.35,4.284,4.28,9361,69510,25.591,22,21500,24.213,52966,280,374,77.27852630615234
2021-10-11,8.6814,19119,145.73,146.85,4.3705,4.37,9543,69800,25.585,22,21500,24.213,52950,280,385.5,77.78902435302734
2021-10-12,8.6155,18978,145.62,145.1,4.336,4.33,9465,70310,25.58,22,21500,24.213,52948,280,385.5,77.38446807861328
2021-10-13,8.589,18918,145.05,142.9,4.508,4.52,9651,70310,25.614,22,21500,24.213,52946,271,387,81.00614929199219
2021-10-14,8.7634,19294,144.85,145.35,4.6245,4.63,9984,72340,25.614,22,21500,25.537,55869,271,390,81.61297607421875
2021-10-15,9.1018,20020,146.69,148.5,4.721,4.73,10281,73890,28.098,22,22438,25.628,56071,271,391.5,82.68213653564453
2021-10-18,9.09,19997,149.64,151.7,4.7185,4.73,10196,75630,28.148,22,23375,25.648,56100,271,392,85.10944366455078
2021-10-19,9.131,20050,150.32,149.5,4.708,4.71,10149.5,75290,28.336,22,23375,25.648,56100,271,391.5,85.43692779541016
2021-10-20,9.5463,20963,149.65,153.2,4.7555,4.76,10185.5,73640,28.319,21,23375,25.648,56100,271,393,85.61029815673828
2021-10-21,9.0818,19930,156.7,156.45,4.5735,4.59,9831.5,74160,28.287,21,23375,25.648,56111,271,390.5,84.86863708496094
2021-10-22,9.007,19739,151.41,148.6,4.526,4.53,9704,72340,28.557,21,24375,25.648,56218,271,390,84.618194580078125
2021-10-25,9.007,20306,149.43,150,4.5395,4.55,9867.5,71950,28.559,22,24375,25.648,56201,271,384,87.90275573730469
2021-10-26,9.1698,20091,152.35,149.35,4.485,4.49,9788.5,72170,29.068,22,24375,25.648,56201,271,388,87.189971923828125
2021-10-27,8.8582,19412,150.84,144.15,4.3835,4.39,9548,71600,29.805,22,24375,25.648,56243,271,392,86.7950668334961
2021-10-28,8.9265,19574,145.24,145.9,4.436,4.44,9666.5,70600,29.777,25,24375,25.648,56254,271,392,87.85459899902344
2021-10-29,8.8705,19448,145.4,145.35,4.3755,4.38,9496,71100,29.939,22,24630,25.648,56259,271,396.5,88.52885437011719
2021-11-01,8.992,19702,145.21,144.8,4.393,4.4,9555,70650,30.086,23,26500,25.648,56243,271,403.5,88.7696533203125
2021-11-02,8.9408,19601,143.96,144.85,4.379,4.37,9495.5,70420,30.083,25,26500,25.648,56242,271,408.5,89.13566589355469
2021-11-03,8.7375,19162,144.79,142.65,4.2955,4.33,9458.5,70750,30.394,25,26500,26.444,58000,271,408,89.45352935791016
2021-11-04,8.7199,19141,142.67,140.4,4.3155,4.33,9439,70820,30.417,26,26500,26.535,58210,271,404.5,91.196929931640625
2021-11-05,8.8473,19434,141.84,143.8,4.349,4.35,9518,70190,30.382,26,28000,26.989,59215,271,412,89.94475555419922
2021-11-08,8.9417,19640,143.1,144.6,4.415,4.41,9637.5,70800,30.42,24,29000,26.989,59199,271,412,92.7669677734375
2021-11-09,8.846,19401,144.68,143.05,4.3725,4.38,9553,70940,30.433,24,29000,26.989,59204,271,418.5,91.44738006591797
2021-11-10,9.0174,19754,143.08,145.1,4.329,4.33,9533,70570,30.434,24,29000,26.989,59199,271,418.5,89.14530181884766
2021-11-11,9.0188,19759,145.58,145.5,4.4045,4.4,9633.5,70700,30.418,24,29000,26.989,59211,271,419.5,92.33353424072266
2021-11-12,9.1326,19979,146.6,147.4,4.4555,4.46,9711,71140,30.639,24,29000,26.989,59216,271,420.5,92.27574920654297
2021-11-15,8.9684,19594,146.27,145.7,4.409,4.41,9673,71460,30.633,24,29000,26.989,59200,271,418.5,89.82917022705078
2021-11-16,8.8387,19394,144.34,142.95,4.344,4.36,9561,70820,30.6,24,29000,27.896,61199,271,415,89.12603759765625
2021-11-17,8.8174,19355,142.81,142.05,4.2595,4.27,9406.5,70180,30.965,24,29000,27.919,61250,271,410.5,89.78101348876953
2021-11-18,8.9589,19639,141.9,142,4.3205,4.31,9441.5,69250,30.927,24,29000,27.919,61255,271,415,89.5016860961914
2021-11-19,9.1494,20044,144.7,147,4.39,4.41,9646.5,69940,30.909,24,29000,27.919,61258,271,412.5,90.45527648925781
2021-11-22,9.2959,20336,147.98,147,4.3915,4.4,9726.5,70850,30.947,24,29000,27.919,61240,271,419.5,92.09272766113281
2021-11-23,9.2918,20349,151.28,149.5,4.428,4.42,9710.5,71440,30.906,24,29000,28.647,62850,271,423,90.51305389404297
2021-11-24,9.5418,20846,152.37,157.15,4.466,4.46,9835,71420,30.91,29,29000,28.647,62844,271,425.5,90.75386810302734
2021-11-25,9.4597,20667,154.78,154.5,4.435,4.382,9801.5,72100,30.925,29.485,29000,28.647,62848,271,439,NA
2021-11-26,9.1036,19897,152.1,147.2,4.281,4.28,9460,71280,30.906,27,29375,28.647,62852,271,446,88.6733169555664
2021-11-29,9.217,20141,149.07,147.95,4.335,4.34,9577.5,70300,31.086,27,29375,28.647,62840,271,445.5,90.65754699707031
2021-11-30,9.0741,19897,148.94,148.85,4.3575,4.28,9442.5,70190,31.156,27,29380,29.846,65500,271,447,89.56909942626953
2021-12-01,9.0952,19946,149.27,147.55,4.297,4.25,9444,69880,31.164,27,29750,30.005,65850,271,449.5,87.97980499267578
2021-12-02,9.1022,19953,148.32,147.55,4.2685,4.3,9496,69420,31.448,28,29750,30.413,66750,271,450.5,88.46141815185547
2021-12-03,9.1494,20030,149.24,148.5,4.2665,4.27,9418,69610,31.787,28,31000,30.413,66746,271,454,85.6584701538086
