Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2017-01-03,45780.0,,,45 470,45 420,45 970,9 380,45 450,45 530
2017-01-04,45000.0,-780,-2%,45 670,44 630,45 670,11 845,45 260,45 320
2017-01-05,45560.0,+560,+1%,45 210,45 110,45 830,8 155,45 360,45 480
2017-01-06,45160.0,-400,-1%,45 350,44 930,45 430,9 540,45 090,45 140
2017-01-09,45330.0,+170,+0%,45 160,44 880,45 480,8 520,45 400,45 490
2017-01-10,45530.0,+200,+0%,45 340,45 130,46 000,7 710,45 790,45 960
2017-01-11,46660.0,+1 130,+2%,45 910,45 910,46 880,7 255,46 750,46 880
2017-01-12,46690.0,+30,+0%,46 680,46 530,46 890,4 790,46 710,46 760
2017-01-13,47240.0,+550,+1%,47 040,46 820,47 450,4 450,47 000,47 140
2017-01-16,47590.0,+350,+1%,47 180,47 180,48 000,2 165,47 420,47 580
2017-01-17,47040.0,-550,-1%,47 700,46 410,47 870,20 267,46 600,46 660
2017-01-18,46350.0,-690,-1%,46 660,45 800,46 880,17 834,46 430,46 470
2017-01-19,46530.0,+180,+0%,46 430,46 170,46 720,12 558,46 580,46 600
2017-01-20,46340.0,-190,-0%,46 380,45 910,46 590,19 618,45 980,46 040
2017-01-23,46780.0,+440,+1%,46 150,46 060,47 100,12 401,46 720,46 740
2017-01-24,46810.0,+30,+0%,46 680,46 400,47 070,10 051,46 860,46 960
2017-01-25,47480.0,+670,+1%,47 190,47 190,47 690,8 021,47 480,47 500
2017-01-26,47660.0,+180,+0%,47 380,47 310,48 590,6 804,47 550,48 550
2017-02-03,46720.0,-940,-2%,46 880,46 440,47 350,4 742,46 610,46 700
2017-02-06,46480.0,-240,-1%,46 550,46 210,46 790,7 880,46 410,46 460
2017-02-07,46690.0,+210,+0%,46 460,46 130,46 870,7 905,46 670,46 840
2017-02-08,47150.0,+460,+1%,46 530,46 450,47 450,10 125,47 270,47 500
2017-02-09,47250.0,+100,+0%,47 500,47 010,47 510,9 045,47 130,47 180
2017-02-10,47010.0,-240,-1%,47 240,46 720,47 500,11 795,47 300,47 370
2017-02-13,49320.0,+2 310,+5%,47 300,47 280,50 300,7 975,49 370,49 580
2017-02-14,49400.0,+80,+0%,49 460,49 170,49 630,5 755,49 390,49 750
2017-02-15,48490.0,-910,-2%,49 680,47 670,49 680,1 535,48 110,48 340
2017-02-16,48780.0,+290,+1%,48 590,48 310,49 150,43 784,48 520,48 600
2017-02-17,48400.0,-380,-1%,48 450,47 970,48 740,33 942,48 190,48 240
2017-02-20,48280.0,-120,-0%,48 100,47 760,48 620,30 172,48 530,48 580
2017-02-21,48850.0,+570,+1%,48 590,48 520,49 100,29 205,48 660,48 690
2017-02-22,48630.0,-220,-0%,48 690,48 300,48 950,25 001,48 440,48 470
2017-02-23,48320.0,-310,-1%,48 370,48 000,48 750,27 749,48 170,48 220
2017-02-24,47460.0,-860,-2%,48 420,46 950,48 490,35 216,47 550,47 610
2017-02-27,47700.0,+240,+1%,47 520,47 250,48 100,21 706,47 520,47 540
2017-02-28,47640.0,-60,-0%,47 670,47 250,47 870,19 048,47 460,47 600
2017-03-01,48150.0,+510,+1%,47 460,47 460,48 530,16 746,48 400,48 500
2017-03-02,48430.0,+280,+1%,48 580,48 120,48 820,10 020,48 430,48 440
2017-03-03,47860.0,-570,-1%,48 500,47 680,48 500,12 515,48 030,48 080
2017-03-06,47900.0,+40,+0%,47 940,47 520,48 160,13 220,47 650,47 730
2017-03-07,47430.0,-470,-1%,47 500,47 240,47 560,13 795,47 460,47 530
2017-03-08,46990.0,-440,-1%,47 300,46 720,47 350,18 090,46 910,47 090
2017-03-09,46480.0,-510,-1%,47 020,46 120,47 600,16 205,46 130,46 200
2017-03-10,46220.0,-260,-1%,45 880,45 820,46 400,13 130,46 280,46 360
2017-03-13,46690.0,+470,+1%,46 350,46 160,47 050,10 545,47 000,47 050
2017-03-14,46840.0,+150,+0%,47 020,46 730,47 070,6 695,46 800,46 860
2017-03-15,47020.0,+180,+0%,46 680,46 350,47 220,4 135,46 980,47 260
2017-03-16,47770.0,+750,+2%,47 630,47 460,48 000,43 341,47 920,47 930
2017-03-17,47690.0,-80,-0%,48 010,47 450,48 050,28 201,47 530,47 550
2017-03-20,47810.0,+120,+0%,47 710,47 620,48 030,30 850,47 670,47 720
2017-03-21,47330.0,-480,-1%,47 730,46 830,48 130,34 221,47 080,47 100
2017-03-22,46580.0,-750,-2%,47 060,46 250,47 270,35 428,46 440,46 470
2017-03-23,46830.0,+250,+1%,46 580,46 290,47 160,21 960,46 930,46 950
2017-03-24,46820.0,-10,-0%,46 950,46 540,47 120,23 139,46 890,46 950
2017-03-27,46230.0,-590,-1%,46 770,45 970,47 030,29 445,46 060,46 110
2017-03-28,46260.0,+30,+0%,45 970,45 490,46 830,29 821,46 540,46 580
2017-03-29,47140.0,+880,+2%,46 650,46 490,47 450,25 894,47 270,47 300
2017-03-30,47220.0,+80,+0%,47 300,47 000,47 540,22 081,47 220,47 240
2017-03-31,47510.0,+290,+1%,47 300,47 210,48 110,25 581,47 500,47 530
2017-04-05,47150.0,-360,-1%,46 830,46 830,47 400,12 908,47 210,47 220
2017-04-06,47640.0,+490,+1%,47 620,47 480,48 030,14 145,47 600,47 630
2017-04-07,47400.0,-240,-1%,47 740,46 770,47 900,16 975,46 850,46 970
2017-04-10,46960.0,-440,-1%,46 610,46 540,47 350,16 920,46 880,46 910
2017-04-11,46610.0,-350,-1%,46 890,46 450,46 940,16 720,46 470,46 520
2017-04-12,46420.0,-190,-0%,46 570,46 000,46 790,17 955,46 020,46 040
2017-04-13,45870.0,-550,-1%,46 020,45 500,46 300,11 640,46 160,46 300
2017-04-14,45830.0,-40,-0%,45 950,45 650,46 200,5 335,45 840,45 930
2017-04-17,46240.0,+410,+1%,46 290,45 800,47 100,4 455,46 250,46 430
2017-04-18,46170.0,-70,-0%,46 560,45 700,46 830,45 166,45 750,45 810
2017-04-19,45630.0,-540,-1%,45 780,45 100,46 020,47 373,45 750,45 780
2017-04-20,45380.0,-250,-1%,45 720,44 800,46 050,44 265,45 480,45 500
2017-04-21,45730.0,+350,+1%,45 680,45 410,46 030,31 200,45 920,45 980
2017-04-24,45740.0,+10,+0%,45 820,45 420,45 980,30 327,45 850,45 880
2017-04-25,45900.0,+160,+0%,45 770,45 510,46 240,26 720,45 940,45 980
2017-04-26,46180.0,+280,+1%,46 130,45 840,46 350,24 694,46 130,46 150
