Date,Price
2017-01-01,51420.0
2017-01-03,45710.0
2017-01-04,44770.0
2017-01-05,45510.0
2017-01-06,45195.0
2017-01-09,45425.0
2017-01-10,45545.0
2017-01-11,46770.0
2017-01-12,46790.0
2017-01-13,47315.0
2017-01-16,47725.0
2017-01-17,46890.0
2017-01-18,46230.0
2017-01-19,46565.0
2017-01-20,46430.0
2017-01-23,46875.0
2017-01-24,46785.0
2017-01-25,47400.0
2017-01-26,47430.0
2017-02-03,46700.0
2017-02-06,46490.0
2017-02-07,46630.0
2017-02-08,47055.0
2017-02-09,47210.0
2017-02-10,46885.0
2017-02-13,49640.0
2017-02-14,49390.0
2017-02-15,48710.0
2017-02-16,48950.0
2017-02-17,48435.0
2017-02-20,48270.0
2017-02-21,48795.0
2017-02-22,48540.0
2017-02-23,48370.0
2017-02-24,47225.0
2017-02-27,47710.0
2017-02-28,47540.0
2017-03-01,48050.0
2017-03-02,48275.0
2017-03-03,47710.0
2017-03-06,47950.0
2017-03-07,47400.0
2017-03-08,46970.0
2017-03-09,46520.0
2017-03-10,46230.0
2017-03-13,46680.0
2017-03-14,46960.0
2017-03-15,47225.0
2017-03-16,47640.0
2017-03-17,47600.0
2017-03-20,47660.0
2017-03-21,46960.0
2017-03-22,46345.0
2017-03-23,46870.0
2017-03-24,46675.0
2017-03-27,46040.0
2017-03-28,46505.0
2017-03-29,47040.0
2017-03-30,47100.0
2017-03-31,47335.0
2017-04-05,47115.0
2017-04-06,47625.0
2017-04-07,47520.0
2017-04-10,46970.0
2017-04-11,46725.0
2017-04-12,46560.0
2017-04-13,45845.0
2017-04-14,45880.0
2017-04-17,46355.0
2017-04-18,46305.0
2017-04-19,45840.0
2017-04-20,45485.0
2017-04-21,45800.0
2017-04-24,45845.0
2017-04-25,45970.0
2017-04-26,46190.0
2017-04-27,46175.0
2017-04-28,46230.0
2017-05-02,46825.0
2017-05-03,46605.0
2017-05-04,45575.0
2017-05-05,45235.0
2017-05-08,44975.0
2017-05-09,44765.0
2017-05-10,44950.0
2017-05-11,44900.0
2017-05-12,44965.0
2017-05-15,45245.0
2017-05-16,45210.0
2017-05-17,45335.0
2017-05-18,45020.0
2017-05-19,45200.0
2017-05-22,45760.0
2017-05-23,45910.0
2017-05-24,45780.0
2017-05-25,45820.0
2017-05-26,45820.0
2017-05-31,45565.0
2017-06-01,45260.0
2017-06-02,45280.0
2017-06-05,45240.0
2017-06-06,45100.0
2017-06-07,45110.0
2017-06-08,45005.0
2017-06-09,45715.0
2017-06-12,46240.0
2017-06-13,45900.0
2017-06-14,45580.0
2017-06-15,45480.0
2017-06-16,45515.0
2017-06-19,45415.0
2017-06-20,45690.0
2017-06-21,45360.0
2017-06-22,45855.0
2017-06-23,45820.0
2017-06-26,46270.0
2017-06-27,46300.0
2017-06-28,46565.0
2017-06-29,47165.0
2017-06-30,47115.0
2017-07-03,47155.0
2017-07-04,46970.0
2017-07-05,47095.0
2017-07-06,46760.0
2017-07-07,46735.0
2017-07-10,46820.0
2017-07-11,46660.0
2017-07-12,47110.0
2017-07-13,47025.0
2017-07-14,46940.0
2017-07-17,47250.0
2017-07-18,47690.0
2017-07-19,47570.0
2017-07-20,47630.0
2017-07-21,47695.0
2017-07-24,47720.0
2017-07-25,48090.0
2017-07-26,49780.0
2017-07-27,49925.0
2017-07-28,49760.0
2017-07-31,50220.0
2017-08-01,50125.0
2017-08-02,49850.0
2017-08-03,50215.0
2017-08-04,50100.0
2017-08-07,50015.0
2017-08-08,50430.0
2017-08-09,50810.0
2017-08-10,50535.0
2017-08-11,49760.0
