Date,Combined
2023-04-03,43.7
2023-04-04,42.94
2023-04-05,42.92
2023-04-06,40.36
2023-04-10,38.67
2023-04-11,38.77
2023-04-12,37.4
2023-04-13,35.9
2023-04-14,36.43
2023-04-17,36.0
2023-04-18,35.08
2023-04-19,35.3
2023-04-20,35.83
2023-04-21,35.83
2023-04-24,35.83
2023-04-25,35.88
2023-04-26,35.88
2023-04-27,36.83
2023-04-28,36.83
2023-05-02,36.83
2023-05-03,36.44
2023-05-04,36.48
2023-05-05,36.48
2023-05-08,36.48
2023-05-09,37.07
2023-05-10,37.01
2023-05-11,37.01
2023-05-12,37.84
2023-05-15,37.84
2023-05-16,37.84
2023-05-17,37.84
2023-05-18,37.84
2023-05-19,46.46
2023-05-22,38.96
2023-05-23,38.96
2023-05-24,38.59
2023-05-25,38.59
2023-05-26,36.9
2023-05-29,39.76
2023-05-30,38.03
2023-05-31,38.03
2023-06-01,38.02
2023-06-02,37.64
2023-06-05,40.74
2023-06-06,40.27
2023-06-07,42.52
2023-06-08,43.93
2023-06-09,43.93
2023-06-12,43.93
2023-06-13,43.93
2023-06-14,43.13
2023-06-15,47.24
2023-06-16,47.24
2023-06-19,47.45
2023-06-20,47.45
2023-06-21,47.45
2023-06-22,46.64
2023-06-23,46.64
2023-06-26,46.64
2023-06-27,46.64
2023-06-28,46.32
2023-06-29,46.32
2023-06-30,52.72
2023-07-03,52.72
2023-07-04,52.94
2023-07-05,52.72
2023-07-06,53.04
2023-07-07,53.04
2023-07-10,53.04
2023-07-11,53.17
2023-07-12,53.32
2023-07-13,53.67
2023-07-14,53.29
2023-07-17,53.26
2023-07-18,51.76
2023-07-19,49.48
2023-07-20,51.35
2023-07-21,50.22
2023-07-24,44.79
2023-07-25,41.06
2023-07-26,39.87
2023-07-27,39.7
2023-07-28,40.95
2023-07-31,43.1
2023-08-01,44.18
2023-08-02,45.95
2023-08-03,44.11
2023-08-04,44.11
2023-08-07,42.88
2023-08-08,42.53
2023-08-09,42.72
2023-08-10,42.53
2023-08-11,42.44
2023-08-14,41.13
2023-08-15,40.38
2023-08-16,38.15
2023-08-17,36.53
2023-08-18,36.53
2023-08-21,36.17
2023-08-22,37.47
2023-08-23,36.36
2023-08-24,36.73
2023-08-25,36.73
2023-08-28,37.2
2023-08-29,37.2
2023-08-30,36.02
2023-08-31,36.02
2023-09-01,35.8
2023-09-04,34.95
2023-09-05,34.95
2023-09-06,35.36
2023-09-07,35.36
2023-09-08,34.47
2023-09-11,33.61
2023-09-12,32.74
2023-09-13,31.07
2023-09-14,31.07
2023-09-15,30.06
2023-09-18,30.21
2023-09-19,30.32
2023-09-20,29.83
2023-09-21,27.34
2023-09-22,27.34
2023-09-25,25.11
2023-09-26,24.36
2023-09-27,23.82
2023-09-28,23.41
2023-09-29,23.41
2023-10-02,22.7
2023-10-03,22.66
2023-10-04,22.66
2023-10-05,22.96
2023-10-06,23.07
2023-10-09,22.93
2023-10-10,22.93
2023-10-11,23.14
2023-10-12,23.14
2023-10-13,23.77
2023-10-16,24.45
2023-10-17,23.19
2023-10-18,23.25
