Date;Close;Change;PCT;;;;;;
03-Jan-2017;32 750,00;0,00;0,00%;;;;;;
04-Jan-2017;32 750,00;0,00;0,00%;;;;;;
05-Jan-2017;32 750,00;0,00;0,00%;;;;;;
06-Jan-2017;32 750,00;0,00;0,00%;;;;;;
09-Jan-2017;32 750,00;0,00;0,00%;;;;;;
10-Jan-2017;33 000,00;250,00;0,76%;;;;;;
11-Jan-2017;33 250,00;250,00;0,76%;;;;;;
12-Jan-2017;33 500,00;250,00;0,75%;;;;;;
13-Jan-2017;34 450,00;950,00;2,84%;;;;;;
16-Jan-2017;34 750,00;300,00;0,87%;;;;;;
17-Jan-2017;35 000,00;250,00;0,72%;;;;;;
18-Jan-2017;35 250,00;250,00;0,71%;;;;;;
19-Jan-2017;35 250,00;0,00;0,00%;;;;;;
20-Jan-2017;35 750,00;500,00;1,42%;;;;;;
23-Jan-2017;35 750,00;0,00;0,00%;;;;;;
24-Jan-2017;36 000,00;250,00;0,70%;;;;;;
25-Jan-2017;36 000,00;0,00;0,00%;;;;;;
26-Jan-2017;36 500,00;500,00;1,39%;;;;;;
27-Jan-2017;37 000,00;500,00;1,37%;;;;;;
30-Jan-2017;37 000,00;0,00;0,00%;;;;;;
31-Jan-2017;37 000,00;0,00;0,00%;;;;;;
01-Feb-2017;37 500,00;500,00;1,35%;;;;;;
02-Feb-2017;37 500,00;0,00;0,00%;;;;;;
03-Feb-2017;37 500,00;0,00;0,00%;;;;;;
06-Feb-2017;37 750,00;250,00;0,67%;;;;;;
07-Feb-2017;38 250,00;500,00;1,32%;;;;;;
08-Feb-2017;38 750,00;500,00;1,31%;;;;;;
09-Feb-2017;39 500,00;750,00;1,94%;;;;;;
10-Feb-2017;39 850,00;350,00;0,89%;;;;;;
13-Feb-2017;42 250,00;2 400,00;6,02%;;;;;;
14-Feb-2017;42 500,00;250,00;0,59%;;;;;;
15-Feb-2017;43 000,00;500,00;1,18%;;;;;;
16-Feb-2017;43 250,00;250,00;0,58%;;;;;;
17-Feb-2017;44 250,00;1 000,00;2,31%;;;;;;
20-Feb-2017;47 750,00;3 500,00;7,91%;;;;;;
21-Feb-2017;47 750,00;0,00;0,00%;;;;;;
22-Feb-2017;47 750,00;0,00;0,00%;;;;;;
23-Feb-2017;47 750,00;0,00;0,00%;;;;;;
24-Feb-2017;47 750,00;0,00;0,00%;;;;;;
27-Feb-2017;49 250,00;1 500,00;3,14%;;;;;;
28-Feb-2017;50 250,00;1 000,00;2,03%;;;;;;
01-Mar-2017;51 250,00;1 000,00;1,99%;;;;;;
02-Mar-2017;51 250,00;0,00;0,00%;;;;;;
03-Mar-2017;51 000,00;--250,00;--0,49%;;;;;;
06-Mar-2017;50 850,00;--150,00;--0,29%;;;;;;
07-Mar-2017;50 750,00;--100,00;--0,20%;;;;;;
08-Mar-2017;50 750,00;0,00;0,00%;;;;;;
09-Mar-2017;52 250,00;1 500,00;2,96%;;;;;;
10-Mar-2017;52 250,00;0,00;0,00%;;;;;;
13-Mar-2017;52 250,00;0,00;0,00%;;;;;;
14-Mar-2017;53 000,00;750,00;1,44%;;;;;;
15-Mar-2017;53 250,00;250,00;0,47%;;;;;;
16-Mar-2017;53 250,00;0,00;0,00%;;;;;;
17-Mar-2017;52 750,00;--500,00;--0,94%;;;;;;
20-Mar-2017;52 750,00;0,00;0,00%;;;;;;
21-Mar-2017;52 750,00;0,00;0,00%;;;;;;
22-Mar-2017;54 000,00;1 250,00;2,37%;;;;;;
23-Mar-2017;54 000,00;0,00;0,00%;;;;;;
24-Mar-2017;53 750,00;--250,00;--0,46%;;;;;;
27-Mar-2017;53 750,00;0,00;0,00%;;;;;;
28-Mar-2017;53 750,00;0,00;0,00%;;;;;;
29-Mar-2017;54 750,00;1 000,00;1,86%;;;;;;
30-Mar-2017;54 750,00;0,00;0,00%;;;;;;
31-Mar-2017;54 500,00;--250,00;--0,46%;;;;;;
03-Apr-2017;55 750,00;1 250,00;2,29%;;;;;;
04-Apr-2017;55 750,00;0,00;0,00%;;;;;;
05-Apr-2017;56 250,00;500,00;0,90%;;;;;;
06-Apr-2017;55 750,00;--500,00;--0,89%;;;;;;
07-Apr-2017;55 500,00;--250,00;--0,45%;;;;;;
10-Apr-2017;55 250,00;--250,00;--0,45%;;;;;;
11-Apr-2017;55 750,00;500,00;0,90%;;;;;;
12-Apr-2017;55 250,00;--500,00;--0,90%;;;;;;
13-Apr-2017;55 250,00;0,00;0,00%;;;;;;
18-Apr-2017;55 250,00;0,00;0,00%;;;;;;
19-Apr-2017;55 000,00;--250,00;--0,45%;;;;;;
20-Apr-2017;54 750,00;--250,00;--0,45%;;;;;;
21-Apr-2017;54 750,00;0,00;0,00%;;;;;;
24-Apr-2017;55 000,00;250,00;0,46%;;;;;;
25-Apr-2017;55 000,00;0,00;0,00%;;;;;;
26-Apr-2017;55 000,00;0,00;0,00%;;;;;;
27-Apr-2017;55 250,00;250,00;0,45%;;;;;;
28-Apr-2017;55 000,00;--250,00;--0,45%;;;;;;
02-May-2017;54 750,00;--250,00;--0,45%;;;;;;
03-May-2017;54 750,00;0,00;0,00%;;;;;;
04-May-2017;54 750,00;0,00;0,00%;;;;;;
05-May-2017;54 750,00;0,00;0,00%;;;;;;
08-May-2017;54 150,00;--600,00;--1,10%;;;;;;
09-May-2017;54 250,00;100,00;0,18%;;;;;;
10-May-2017;54 250,00;0,00;0,00%;;;;;;
11-May-2017;54 250,00;0,00;0,00%;;;;;;
12-May-2017;54 250,00;0,00;0,00%;;;;;;
15-May-2017;54 250,00;0,00;0,00%;;;;;;
16-May-2017;55 250,00;1 000,00;1,84%;;;;;;
17-May-2017;55 250,00;0,00;0,00%;;;;;;
18-May-2017;54 500,00;--750,00;--1,36%;;;;;;
19-May-2017;54 250,00;--250,00;--0,46%;;;;;;
22-May-2017;54 500,00;250,00;0,46%;;;;;;
23-May-2017;54 500,00;0,00;0,00%;;;;;;
24-May-2017;54 500,00;0,00;0,00%;;;;;;
25-May-2017;55 250,00;750,00;1,38%;;;;;;
26-May-2017;55 750,00;500,00;0,90%;;;;;;
30-May-2017;56 000,00;250,00;0,45%;;;;;;
31-May-2017;56 250,00;250,00;0,45%;;;;;;
01-Jun-2017;55 750,00;--500,00;--0,89%;;;;;;
02-Jun-2017;56 250,00;500,00;0,90%;;;;;;
05-Jun-2017;56 250,00;0,00;0,00%;;;;;;
06-Jun-2017;56 000,00;--250,00;--0,44%;;;;;;
07-Jun-2017;56 125,00;125,00;0,22%;;;;;;
08-Jun-2017;56 250,00;125,00;0,22%;;;;;;
09-Jun-2017;55 900,00;--350,00;--0,62%;;;;;;
12-Jun-2017;56 250,00;350,00;0,63%;;;;;;
