Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
13-May-2025;9 599,50;+79,00;+0,83%;9 515,00;9 489,50;9 624,50;17 143;9 549,50;
12-May-2025;9 520,50;+75,00;+0,79%;9 490,00;9 450,50;9 576,00;21 849;;9 501,84
09-May-2025;9 445,50;+14,00;+0,15%;9 453,50;9 341,00;9 479,50;16 572;;9 440,00
08-May-2025;9 431,50;+12,00;+0,13%;9 411,00;9 325,00;9 475,00;17 906;9 392,78;
07-May-2025;9 419,50;-118,50;-1,24%;9 550,00;9 400,50;9 582,00;15 628;9 439,30;9 440,83
06-May-2025;9 538,00;+172,50;+1,84%;9 405,00;9 363,50;9 563,00;20 497;;9 522,50
02-May-2025;9 365,50;+159,50;+1,73%;9 260,50;9 237,00;9 458,50;18 564;;9 361,50
01-May-2025;9 206,00;+81,00;+0,89%;9 138,50;9 125,00;9 260,50;11 643;9 205,65;
30. Apr 25;9 125,00;-315,00;-3,34%;9 439,50;9 088,50;9 439,50;25 154;9 198,62;9 208,27
29. Apr 25;9 440,00;+62,00;+0,66%;9 415,00;9 361,00;9 480,00;15 657;9 466,27;
28. Apr 25;9 378,00;+4,00;+0,04%;9 370,00;9 311,50;9 415,00;11 102;;9 374,04
25. Apr 25;9 374,00;-18,50;-0,20%;9 460,00;9 350,00;9 460,00;12 773;9 382,07;
24. Apr 25;9 392,50;+10,00;+0,11%;9 354,50;9 349,00;9 459,50;10 094;9 396,15;9 403,00
23. Apr 25;9 382,50;+13,50;+0,14%;9 389,00;9 352,00;9 481,50;16 987;;9 435,00
22. Apr 25;9 369,00;+180,50;+1,96%;9 280,50;9 252,50;9 398,50;16 649;;9 295,60
17. Apr 25;9 188,50;-15,00;-0,16%;9 225,00;9 111,00;9 279,50;13 999;;9 151,85
16. Apr 25;9 203,50;+39,50;+0,43%;9 137,50;9 028,50;9 216,50;16 421;9 175,00;
15. Apr 25;9 164,00;-23,00;-0,25%;9 225,00;9 085,50;9 247,50;14 640;9 147,70;9 163,75
14. Apr 25;9 187,00;+32,50;+0,36%;9 199,00;9 139,00;9 271,50;16 358;9 194,37;9 196,94
11. Apr 25;9 154,50;+166,50;+1,85%;8 959,50;8 931,00;9 188,00;22 430;9 150,98;
