Exchange Date;Close
13-May-2025;140
12-May-2025;140
09-May-2025;140
08-May-2025;140
07-May-2025;140
06-May-2025;140
02-May-2025;140
01-May-2025;140
30. Apr 25;140
29. Apr 25;140
28. Apr 25;140
25. Apr 25;140
24. Apr 25;140
23. Apr 25;140
22. Apr 25;140
17. Apr 25;140
16. Apr 25;125
15. Apr 25;126
14. Apr 25;126
11. Apr 25;126
10. Apr 25;126
09. Apr 25;126
08. Apr 25;126
07. Apr 25;126
04. Apr 25;126
03. Apr 25;126
02. Apr 25;126
01. Apr 25;126
31-Mar-2025;126
28-Mar-2025;126
27-Mar-2025;126
26-Mar-2025;126
25-Mar-2025;126
24-Mar-2025;126
21-Mar-2025;126
20-Mar-2025;126
19-Mar-2025;126
18-Mar-2025;126
17-Mar-2025;126
14-Mar-2025;126
13-Mar-2025;126
12-Mar-2025;126
11-Mar-2025;126
10-Mar-2025;126
07-Mar-2025;126
06-Mar-2025;126
05-Mar-2025;126
04-Mar-2025;126
03-Mar-2025;126
28. Feb 25;126
27. Feb 25;126
26. Feb 25;126
25. Feb 25;126
24. Feb 25;126
21. Feb 25;126
20. Feb 25;126
19. Feb 25;126
18. Feb 25;126
17. Feb 25;126
14. Feb 25;126
13. Feb 25;126
12. Feb 25;126
11. Feb 25;126
10. Feb 25;126
07. Feb 25;126
06. Feb 25;126
05. Feb 25;126
04. Feb 25;126
03. Feb 25;126
31. Jan 25;126
30. Jan 25;126
29. Jan 25;126
28. Jan 25;126
27. Jan 25;126
24. Jan 25;126
23. Jan 25;126
22. Jan 25;126
21. Jan 25;126
20. Jan 25;126
17. Jan 25;126
16. Jan 25;126
15. Jan 25;126
14. Jan 25;126
13. Jan 25;126
10. Jan 25;126
09. Jan 25;126
08. Jan 25;126
07. Jan 25;126
06. Jan 25;126
03. Jan 25;128
02. Jan 25;128
31-Dec-2024;128
30-Dec-2024;128
27-Dec-2024;128
24-Dec-2024;128
23-Dec-2024;128
20-Dec-2024;128
19-Dec-2024;128
18-Dec-2024;128
17-Dec-2024;128
16-Dec-2024;128
13-Dec-2024;128
12-Dec-2024;128
11-Dec-2024;128
10-Dec-2024;128
09-Dec-2024;128
06-Dec-2024;128
05-Dec-2024;128
04-Dec-2024;128
03-Dec-2024;128
02-Dec-2024;128
29. Nov 24;128
28. Nov 24;128
27. Nov 24;128
26. Nov 24;130
25. Nov 24;130
22. Nov 24;130
21. Nov 24;130
20. Nov 24;130
19. Nov 24;130
18. Nov 24;130
