Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow
13-May-2025;3,04;--0,11;--3,49%;3,16;3,00;3,18;4 909 242;15 038 507,00;--82 627 338,00
12-May-2025;3,15;--0,01;--0,32%;3,28;3,12;3,31;5 259 104;16 695 383,00;--67 588 831,00
09-May-2025;3,16;+0,02;+0,64%;3,16;3,12;3,26;3 841 924;12 146 407,00;--50 893 448,00
08-May-2025;3,14;+0,07;+2,28%;3,10;3,05;3,17;4 712 726;14 720 728,00;--63 039 855,00
07-May-2025;3,07;+0,05;+1,66%;3,05;3,02;3,17;5 088 826;15 727 388,00;--77 760 583,00
06-May-2025;3,02;+0,08;+2,72%;2,93;2,92;3,04;3 477 947;10 422 474,00;--93 487 971,00
05-May-2025;2,94;+0,01;+0,34%;2,90;2,89;2,99;2 191 692;6 465 208,00;--103 910 445,00
02-May-2025;2,93;+0,02;+0,69%;2,93;2,90;2,99;2 501 326;7 373 426,00;--110 375 653,00
01-May-2025;2,91;+0,04;+1,39%;2,90;2,89;3,03;4 164 263;12 276 572,00;--117 749 079,00
30-Apr-2025;2,87;--0,04;--1,37%;2,82;2,78;2,90;5 191 510;14 804 567,00;--130 025 651,00
29-Apr-2025;2,91;+0,09;+3,19%;2,81;2,80;2,92;2 772 087;7 991 943,00;--115 221 084,00
28-Apr-2025;2,82;--0,08;--2,76%;2,90;2,80;2,98;3 311 914;9 468 145,00;--123 213 027,00
25-Apr-2025;2,90;--0,06;--2,03%;2,96;2,82;2,98;4 613 231;13 320 388,00;--113 744 882,00
24-Apr-2025;2,96;+0,20;+7,25%;2,79;2,78;2,97;5 467 212;15 907 563,00;--100 424 494,00
23-Apr-2025;2,76;+0,06;+2,22%;2,76;2,70;2,83;4 729 834;13 118 862,00;--116 332 057,00
22-Apr-2025;2,70;+0,02;+0,75%;2,71;2,68;2,78;3 641 486;9 903 813,00;--129 450 919,00
21-Apr-2025;2,68;0,00;0,00%;2,67;2,62;2,70;3 003 571;7 997 753,00;--139 354 732,00
17-Apr-2025;2,68;--0,02;--0,74%;2,72;2,63;2,75;2 883 468;7 726 566,00;--131 356 979,00
16-Apr-2025;2,70;+0,07;+2,66%;2,60;2,60;2,74;4 044 032;10 847 203,00;--123 630 413,00
15-Apr-2025;2,63;--0,09;--3,31%;2,75;2,60;2,76;2 677 016;7 142 845,00;--134 477 616,00
14-Apr-2025;2,72;+0,02;+0,74%;2,77;2,70;2,83;4 181 992;11 520 515,00;--127 334 771,00
11-Apr-2025;2,70;+0,17;+6,72%;2,56;2,52;2,72;3 869 466;10 179 307,00;--138 855 286,00
10-Apr-2025;2,53;--0,19;--6,99%;2,67;2,46;2,70;4 228 505;10 814 238,00;--149 034 593,00
09-Apr-2025;2,72;+0,38;+16,24%;2,35;2,34;2,75;7 694 605;19 736 564,00;--138 220 355,00
08-Apr-2025;2,34;--0,28;--10,69%;2,68;2,31;2,75;6 097 197;14 912 866,00;--157 956 919,00
07-Apr-2025;2,62;+0,06;+2,34%;2,42;2,40;2,69;4 762 543;12 213 214,00;--143 044 053,00
04-Apr-2025;2,56;--0,14;--5,19%;2,60;2,43;2,62;5 784 853;14 534 700,00;--155 257 267,00
03-Apr-2025;2,70;--0,06;--2,17%;2,62;2,61;2,81;4 260 048;11 589 612,00;--140 722 567,00
02-Apr-2025;2,76;0,00;0,00%;2,77;2,71;2,86;4 309 281;12 050 182,00;--129 132 955,00
01-Apr-2025;2,76;+0,05;+1,85%;2,71;2,66;2,79;3 435 631;9 427 066,00;--141 183 137,00
31-Mar-2025;2,71;+0,01;+0,37%;2,63;2,60;2,75;4 115 152;11 049 808,00;--150 610 203,00
28-Mar-2025;2,70;--0,17;--5,92%;2,82;2,69;2,84;4 198 924;11 471 376,00;--161 660 011,00
27-Mar-2025;2,87;+0,02;+0,70%;2,86;2,81;2,91;2 708 143;7 771 638,00;--150 188 635,00
26-Mar-2025;2,85;--0,09;--3,06%;2,94;2,82;2,96;3 172 834;9 109 589,00;--157 960 273,00
25-Mar-2025;2,94;--0,03;--1,01%;2,97;2,88;2,99;3 040 749;8 899 015,00;--148 850 684,00
24-Mar-2025;2,97;--0,04;--1,33%;3,05;2,96;3,10;3 838 976;11 539 010,00;--139 951 669,00
21-Mar-2025;3,01;+0,05;+1,69%;3,02;2,92;3,04;5 420 030;16 210 357,00;--128 412 659,00
20-Mar-2025;2,96;--0,07;--2,31%;2,98;2,95;3,07;2 707 350;8 106 063,00;--144 623 016,00
19-Mar-2025;3,03;0,00;0,00%;3,02;2,99;3,08;3 953 747;12 002 263,00;--136 516 953,00
18-Mar-2025;3,03;+0,01;+0,33%;3,01;2,97;3,07;3 985 979;12 089 521,00;--148 519 216,00
17-Mar-2025;3,02;+0,12;+4,14%;2,90;2,90;3,03;2 939 511;8 761 782,00;--160 608 737,00
14-Mar-2025;2,90;+0,11;+3,94%;2,83;2,81;2,92;2 704 402;7 770 412,00;--169 370 519,00
13-Mar-2025;2,79;--0,10;--3,46%;2,90;2,73;2,92;3 093 623;8 655 460,00;--177 140 931,00
12-Mar-2025;2,89;--0,05;--1,70%;2,96;2,88;3,00;4 412 190;12 918 824,00;--168 485 471,00
11-Mar-2025;2,94;+0,07;+2,44%;2,91;2,79;2,97;5 527 099;15 889 866,00;--155 566 647,00
