Date;Price;;;;;
13-May-2025;93,647.00;;;;;
12-May-2025;92,901.00;;;;;
09-May-2025;96,518.00;;;;;
08-May-2025;96,168.00;;;;;
07-May-2025;97,090.00;;;;;
06-May-2025;97,491.00;;;;;
05-May-2025;94,649.00;;;;;
02-May-2025;92,637.00;;;;;
01-May-2025;92,339.00;;;;;
30-Apr-2025;94,702.00;;;;;
29-Apr-2025;95,592.00;;;;;
28-Apr-2025;96,025.00;;;;;
25-Apr-2025;94,992.00;;;;;
24-Apr-2025;95,912.00;;;;;
23-Apr-2025;94,722.00;;;;;
22-Apr-2025;97,340.00;;;;;
21-Apr-2025;97,279.00;;;;;
17-Apr-2025;95,254.00;;;;;
16-Apr-2025;95,661.00;;;;;
15-Apr-2025;93,451.00;;;;;
14-Apr-2025;93,252.00;;;;;
11-Apr-2025;93,745.00;;;;;
10-Apr-2025;92,033.00;;;;;
09-Apr-2025;89,804.00;;;;;
08-Apr-2025;87,648.00;;;;;
07-Apr-2025;86,928.00;;;;;
04-Apr-2025;88,338.00;;;;;
03-Apr-2025;89,817.00;;;;;
02-Apr-2025;90,853.00;;;;;
01-Apr-2025;90,503.00;;;;;
31-Mar-2025;90,120.00;;;;;
28-Mar-2025;88,806.00;;;;;
27-Mar-2025;88,384.00;;;;;
26-Mar-2025;87,638.00;;;;;
25-Mar-2025;87,554.00;;;;;
24-Mar-2025;87,278.00;;;;;
21-Mar-2025;87,778.00;;;;;
20-Mar-2025;88,706.00;;;;;
19-Mar-2025;88,602.00;;;;;
18-Mar-2025;88,726.00;;;;;
17-Mar-2025;88,023.00;;;;;
14-Mar-2025;87,991.00;;;;;
13-Mar-2025;87,775.00;;;;;
12-Mar-2025;86,686.00;;;;;
11-Mar-2025;86,152.00;;;;;
10-Mar-2025;85,419.00;;;;;
07-Mar-2025;85,877.00;;;;;
06-Mar-2025;86,034.00;;;;;
05-Mar-2025;85,833.00;;;;;
04-Mar-2025;86,026.00;;;;;
03-Mar-2025;85,384.00;;;;;
28-Feb-2025;84,219.00;;;;;
27-Feb-2025;85,196.00;;;;;
26-Feb-2025;85,874.00;;;;;
25-Feb-2025;85,654.00;;;;;
24-Feb-2025;86,184.00;;;;;
21-Feb-2025;86,010.00;;;;;
20-Feb-2025;86,024.00;;;;;
19-Feb-2025;85,910.00;;;;;
18-Feb-2025;86,113.00;;;;;
17-Feb-2025;85,055.00;;;;;
14-Feb-2025;84,687.00;;;;;
13-Feb-2025;85,809.00;;;;;
12-Feb-2025;85,481.00;;;;;
11-Feb-2025;85,523.00;;;;;
10-Feb-2025;85,816.00;;;;;
07-Feb-2025;84,888.00;;;;;
06-Feb-2025;84,444.00;;;;;
05-Feb-2025;84,701.00;;;;;
04-Feb-2025;83,586.00;;;;;
03-Feb-2025;83,324.00;;;;;
01-Feb-2025;81,971.00;;;;;
31-Jan-2025;81,888.00;;;;;
30-Jan-2025;81,723.00;;;;;
29-Jan-2025;80,280.00;;;;;
28-Jan-2025;80,289.00;;;;;
27-Jan-2025;79,578.00;;;;;
24-Jan-2025;80,026.00;;;;;
23-Jan-2025;79,626.00;;;;;
22-Jan-2025;79,564.00;;;;;
21-Jan-2025;79,224.00;;;;;
20-Jan-2025;78,544.00;;;;;
17-Jan-2025;79,023.00;;;;;
16-Jan-2025;79,226.00;;;;;
15-Jan-2025;78,710.00;;;;;
14-Jan-2025;78,156.00;;;;;
13-Jan-2025;78,166.00;;;;;
10-Jan-2025;78,423.00;;;;;
09-Jan-2025;78,104.00;;;;;
08-Jan-2025;77,747.00;;;;;
07-Jan-2025;77,531.00;;;;;
06-Jan-2025;77,158.00;;;;;
03-Jan-2025;77,317.00;;;;;
02-Jan-2025;77,717.00;;;;;
01-Jan-2025;76,893.00;;;;;
31-Dec-2024;76,748.00;;;;;
30-Dec-2024;76,260.00;;;;;
27-Dec-2024;76,544.00;;;;;
26-Dec-2024;76,827.00;;;;;
24-Dec-2024;76,270.00;;;;;
23-Dec-2024;76,144.00;;;;;
20-Dec-2024;76,420.00;;;;;
19-Dec-2024;75,651.00;;;;;
18-Dec-2024;76,653.00;;;;;
17-Dec-2024;76,871.00;;;;;
16-Dec-2024;77,061.00;;;;;
13-Dec-2024;77,136.00;;;;;
12-Dec-2024;77,969.00;;;;;
11-Dec-2024;79,002.00;;;;;
10-Dec-2024;78,338.00;;;;;
09-Dec-2024;77,486.00;;;;;
06-Dec-2024;76,619.00;;;;;
05-Dec-2024;76,200.00;;;;;
04-Dec-2024;76,043.00;;;;;
03-Dec-2024;75,966.00;;;;;
02-Dec-2024;76,079.00;;;;;
29-Nov-2024;76,374.00;;;;;
28-Nov-2024;75,724.00;;;;;
27-Nov-2024;75,760.00;;;;;
26-Nov-2024;75,211.00;;;;;
