Date;Price
13-May-2025;1,360.90
12-May-2025;1,343.10
09-May-2025;1,331.30
08-May-2025;1,345.80
07-May-2025;1,343.30
06-May-2025;1,339.10
05-May-2025;1,330.00
02-May-2025;1,351.50
01-May-2025;1,351.50
30. Apr 25;1,350.50
29. Apr 25;1,360.50
28. Apr 25;1,358.90
25. Apr 25;1,366.50
24. Apr 25;1,359.70
23. Apr 25;1,368.50
22. Apr 25;1,361.40
21. Apr 25;1,356.30
17. Apr 25;1,352.00
16. Apr 25;1,350.80
15. Apr 25;1,325.40
14. Apr 25;1,325.40
11. Apr 25;1,275.80
10. Apr 25;1,275.80
09. Apr 25;1,275.80
08. Apr 25;1,283.90
07. Apr 25;1,369.00
04. Apr 25;1,387.50
03. Apr 25;1,402.10
02. Apr 25;1,403.50
01. Apr 25;1,415.20
31-Mar-2025;1,415.20
28-Mar-2025;1,405.50
27-Mar-2025;1,403.30
26-Mar-2025;1,402.90
25-Mar-2025;1,415.80
24-Mar-2025;1,419.20
21-Mar-2025;1,432.70
20-Mar-2025;1,443.80
19-Mar-2025;1,434.90
18-Mar-2025;1,458.30
17-Mar-2025;1,450.90
14-Mar-2025;1,450.90
13-Mar-2025;1,457.80
12-Mar-2025;1,441.30
11-Mar-2025;1,435.70
10-Mar-2025;1,419.20
07-Mar-2025;1,399.50
06-Mar-2025;1,404.40
05-Mar-2025;1,385.50
04-Mar-2025;1,383.50
03-Mar-2025;1,378.10
28. Feb 25;1,378.20
27. Feb 25;1,356.80
26. Feb 25;1,356.80
25. Feb 25;1,365.50
24. Feb 25;1,357.50
21. Feb 25;1,366.00
20. Feb 25;1,353.30
19. Feb 25;1,354.50
18. Feb 25;1,368.70
17. Feb 25;1,364.50
14. Feb 25;1,352.50
13. Feb 25;1,348.80
12. Feb 25;1,362.20
11. Feb 25;1,380.00
10. Feb 25;1,382.20
07. Feb 25;1,378.50
06. Feb 25;1,343.00
05. Feb 25;1,330.80
04. Feb 25;1,335.00
03. Feb 25;1,337.10
01. Feb 25;1,337.10
31. Jan 25;1,346.60
30. Jan 25;1,350.50
29. Jan 25;1,363.00
28. Jan 25;1,367.00
27. Jan 25;1,361.50
24. Jan 25;1,376.70
23. Jan 25;1,381.70
22. Jan 25;1,398.50
21. Jan 25;1,381.70
20. Jan 25;1,382.50
17. Jan 25;1,377.20
16. Jan 25;1,370.80
15. Jan 25;1,373.50
14. Jan 25;1,367.50
13. Jan 25;1,341.50
10. Jan 25;1,336.50
09. Jan 25;1,338.50
08. Jan 25;1,323.30
07. Jan 25;1,312.30
06. Jan 25;1,315.00
03. Jan 25;1,327.50
02. Jan 25;1,331.80
01. Jan 25;1,338.10
31-Dec-2024;1,339.20
30-Dec-2024;1,335.40
27-Dec-2024;1,331.50
26-Dec-2024;1,336.10
24-Dec-2024;1,336.10
23-Dec-2024;1,332.50
20-Dec-2024;1,325.00
19-Dec-2024;1,335.80
18-Dec-2024;1,340.00
17-Dec-2024;1,354.20
16-Dec-2024;1,377.60
13-Dec-2024;1,357.00
12-Dec-2024;1,357.00
11-Dec-2024;1,359.20
10-Dec-2024;1,360.80
09-Dec-2024;1,371.00
06-Dec-2024;1,368.50
05-Dec-2024;1,375.00
04-Dec-2024;1,362.50
03-Dec-2024;1,351.30
02-Dec-2024;1,360.00
29. Nov 24;1,351.50
28. Nov 24;1,350.00
27. Nov 24;1,361.20
26. Nov 24;1,355.00
25. Nov 24;1,348.40
22. Nov 24;1,361.20
21. Nov 24;1,353.00
20. Nov 24;1,353.00
19. Nov 24;1,333.40
18. Nov 24;1,340.80
15. Nov 24;1,340.80
14. Nov 24;1,355.00
13. Nov 24;1,361.70
12. Nov 24;1,368.30
11. Nov 24;1,393.00
08. Nov 24;1,388.70
07. Nov 24;1,360.00
06. Nov 24;1,366.30
05. Nov 24;1,363.60
04. Nov 24;1,356.00
01. Nov 24;1,356.00
31-Oct-2024;1,355.00
30-Oct-2024;1,363.30
29-Oct-2024;1,369.10
28-Oct-2024;1,372.00
25-Oct-2024;1,390.00
24-Oct-2024;1,397.70
23-Oct-2024;1,421.90
22-Oct-2024;1,439.40
21-Oct-2024;1,443.00
18-Oct-2024;1,443.80
17-Oct-2024;1,473.20
16-Oct-2024;1,477.70
15-Oct-2024;1,485.00
14-Oct-2024;1,493.70
11-Oct-2024;1,478.20
10-Oct-2024;1,489.10
09-Oct-2024;1,488.00
08-Oct-2024;1,516.50
07-Oct-2024;1,521.70
04-Oct-2024;1,521.70
03-Oct-2024;1,476.20
01-Oct-2024;1,438.00
30. Sep 24;1,418.30
27. Sep 24;1,405.00
26. Sep 24;1,404.20
25. Sep 24;1,405.20
24. Sep 24;1,387.00
23. Sep 24;1,391.50
20. Sep 24;1,391.40
19. Sep 24;1,372.30
18. Sep 24;1,385.50
17. Sep 24;1,360.80
16. Sep 24;1,370.90
13. Sep 24;1,380.20
12. Sep 24;1,348.50
11. Sep 24;1,348.50
10. Sep 24;1,353.80
09. Sep 24;1,359.20
06. Sep 24;1,359.60
05. Sep 24;1,387.20
04. Sep 24;1,400.00
03. Sep 24;1,410.00
02. Sep 24;1,431.30
30. Aug 24;1,424.60
29. Aug 24;1,427.50
28. Aug 24;1,438.00
27. Aug 24;1,420.40
26. Aug 24;1,420.40
23. Aug 24;1,406.70
22. Aug 24;1,429.10
21. Aug 24;1,419.20
20. Aug 24;1,366.40
19. Aug 24;1,366.40
16. Aug 24;1,368.30
14. Aug 24;1,363.80
13. Aug 24;1,369.90
12. Aug 24;1,380.30
09. Aug 24;1,361.70
08. Aug 24;1,371.70
07. Aug 24;1,362.50
06. Aug 24;1,375.70
