Date;Price
13-May-2025;123,370
12-May-2025;124,620
09-May-2025;123,370
08-May-2025;123,880
07-May-2025;124,070
06-May-2025;124,330
30. Apr 25;123,770
29. Apr 25;124,300
28. Apr 25;124,220
25. Apr 25;125,580
24. Apr 25;125,700
23. Apr 25;125,760
22. Apr 25;125,530
21. Apr 25;125,420
18. Apr 25;125,610
17. Apr 25;125,660
16. Apr 25;124,790
15. Apr 25;123,620
14. Apr 25;122,330
11. Apr 25;120,750
10. Apr 25;118,850
09. Apr 25;119,070
08. Apr 25;119,020
07. Apr 25;119,040
03. Apr 25;127,820
02. Apr 25;128,970
01. Apr 25;128,720
31-Mar-2025;130,390
28-Mar-2025;130,750
27-Mar-2025;129,990
26-Mar-2025;129,760
25-Mar-2025;128,830
24-Mar-2025;129,380
21-Mar-2025;129,520
20-Mar-2025;129,560
19-Mar-2025;130,420
18-Mar-2025;130,410
17-Mar-2025;132,640
14-Mar-2025;132,390
13-Mar-2025;132,830
12-Mar-2025;132,500
11-Mar-2025;131,420
10-Mar-2025;131,680
07-Mar-2025;129,620
06-Mar-2025;127,450
05-Mar-2025;127,580
04-Mar-2025;127,500
03-Mar-2025;125,630
28. Feb 25;126,510
27. Feb 25;124,700
26. Feb 25;123,800
25. Feb 25;124,370
24. Feb 25;124,860
21. Feb 25;125,040
20. Feb 25;124,620
19. Feb 25;123,780
18. Feb 25;123,990
17. Feb 25;123,450
14. Feb 25;124,550
13. Feb 25;124,220
12. Feb 25;124,350
11. Feb 25;125,080
10. Feb 25;126,760
07. Feb 25;127,110
06. Feb 25;125,720
05. Feb 25;123,130
27. Jan 25;123,790
24. Jan 25;123,790
23. Jan 25;124,970
22. Jan 25;127,470
21. Jan 25;127,970
20. Jan 25;127,890
17. Jan 25;128,020
16. Jan 25;127,570
15. Jan 25;127,280
14. Jan 25;127,550
13. Jan 25;126,450
10. Jan 25;125,140
09. Jan 25;125,020
08. Jan 25;124,360
07. Jan 25;122,960
06. Jan 25;122,730
03. Jan 25;122,580
02. Jan 25;124,180
31-Dec-2024;124,220
30-Dec-2024;124,210
27-Dec-2024;125,740
26-Dec-2024;125,500
25-Dec-2024;125,250
24-Dec-2024;124,480
23-Dec-2024;124,040
20-Dec-2024;122,380
19-Dec-2024;123,610
18-Dec-2024;124,250
17-Dec-2024;125,760
16-Dec-2024;125,950
13-Dec-2024;128,160
12-Dec-2024;127,360
11-Dec-2024;125,140
10-Dec-2024;126,420
09-Dec-2024;126,850
06-Dec-2024;125,260
05-Dec-2024;125,570
04-Dec-2024;127,120
03-Dec-2024;124,190
02-Dec-2024;125,330
29. Nov 24;126,920
28. Nov 24;126,110
27. Nov 24;126,160
26. Nov 24;127,900
25. Nov 24;126,770
22. Nov 24;125,890
21. Nov 24;127,240
20. Nov 24;126,090
19. Nov 24;124,530
18. Nov 24;123,870
15. Nov 24;123,820
14. Nov 24;125,030
13. Nov 24;125,170
12. Nov 24;126,980
11. Nov 24;127,920
08. Nov 24;129,340
07. Nov 24;125,450
06. Nov 24;125,430
05. Nov 24;123,780
04. Nov 24;124,350
01. Nov 24;123,170
31-Oct-2024;123,460
30-Oct-2024;124,100
29-Oct-2024;124,150
28-Oct-2024;126,040
25-Oct-2024;126,380
24-Oct-2024;125,980
23-Oct-2024;126,510
22-Oct-2024;128,020
21-Oct-2024;128,950
18-Oct-2024;128,860
17-Oct-2024;131,700
16-Oct-2024;133,110
15-Oct-2024;133,650
14-Oct-2024;134,120
11-Oct-2024;133,460
10-Oct-2024;129,330
09-Oct-2024;134,700
08-Oct-2024;134,510
30. Sep 24;130,360
27. Sep 24;128,470
26. Sep 24;128,410
25. Sep 24;127,740
24. Sep 24;125,810
23. Sep 24;125,240
20. Sep 24;125,550
19. Sep 24;124,470
18. Sep 24;123,270
13. Sep 24;123,910
12. Sep 24;123,920
11. Sep 24;121,110
10. Sep 24;121,160
09. Sep 24;122,240
06. Sep 24;123,470
05. Sep 24;124,290
04. Sep 24;126,180
03. Sep 24;128,370
02. Sep 24;128,260
30. Aug 24;131,270
29. Aug 24;131,260
28. Aug 24;131,820
27. Aug 24;131,700
26. Aug 24;130,190
23. Aug 24;129,120
22. Aug 24;130,170
21. Aug 24;130,960
20. Aug 24;129,910
19. Aug 24;128,850
16. Aug 24;128,950
15. Aug 24;128,180
14. Aug 24;127,190
13. Aug 24;128,520
12. Aug 24;128,500
09. Aug 24;128,900
08. Aug 24;127,330
07. Aug 24;128,920
06. Aug 24;128,610
05. Aug 24;129,990
02. Aug 24;130,090
01. Aug 24;132,660
31. Jul 24;129,820
30. Jul 24;127,150
29. Jul 24;126,540
26. Jul 24;125,860
25. Jul 24;125,360
24. Jul 24;128,110
23. Jul 24;128,120
22. Jul 24;128,660
19. Jul 24;130,380
18. Jul 24;130,480
17. Jul 24;132,350
16. Jul 24;133,260
15. Jul 24;134,280
12. Jul 24;132,710
11. Jul 24;133,100
10. Jul 24;135,610
09. Jul 24;136,780
08. Jul 24;137,190
05. Jul 24;136,480
04. Jul 24;137,500
03. Jul 24;136,370
02. Jul 24;136,640
01. Jul 24;135,460
28. Jun 24;134,980
27. Jun 24;134,990
26. Jun 24;134,100
25. Jun 24;134,890
24. Jun 24;134,170
21. Jun 24;135,370
20. Jun 24;135,130
19. Jun 24;133,640
18. Jun 24;135,650
17. Jun 24;135,850
14. Jun 24;136,970
13. Jun 24;137,390
12. Jun 24;139,670
11. Jun 24;139,160
07. Jun 24;142,040
06. Jun 24;141,580
05. Jun 24;143,450
04. Jun 24;146,210
03. Jun 24;148,570
31-May-2024;149,920
30-May-2024;152,970
29-May-2024;154,520
28-May-2024;155,570
27-May-2024;152,830
24-May-2024;152,150
23-May-2024;153,220
22-May-2024;157,740
21-May-2024;157,790
20-May-2024;156,080
17-May-2024;150,310
16-May-2024;145,860
15-May-2024;142,720
14-May-2024;143,620
13-May-2024;143,260
10-May-2024;142,400
09-May-2024;140,460
08-May-2024;141,580
07-May-2024;144,550
06-May-2024;144,030
30. Apr 24;143,400
29. Apr 24;143,000
26. Apr 24;143,040
25. Apr 24;142,060
24. Apr 24;140,780
23. Apr 24;143,400
22. Apr 24;144,060
19. Apr 24;138,650
18. Apr 24;137,440
17. Apr 24;134,900
16. Apr 24;136,200
15. Apr 24;138,690
12. Apr 24;137,600
11. Apr 24;139,210
10. Apr 24;138,600
09. Apr 24;136,690
08. Apr 24;135,910
03. Apr 24;133,320
02. Apr 24;131,770
01. Apr 24;129,430
29-Mar-2024;130,040
28-Mar-2024;129,520
27-Mar-2024;130,050
26-Mar-2024;132,150
25-Mar-2024;134,150
22-Mar-2024;135,280
21-Mar-2024;136,770
20-Mar-2024;136,310
19-Mar-2024;138,790
18-Mar-2024;139,980
15-Mar-2024;140,650
14-Mar-2024;141,310
13-Mar-2024;140,880
12-Mar-2024;138,960
11-Mar-2024;136,930
08-Mar-2024;136,840
07-Mar-2024;135,210
06-Mar-2024;134,840
05-Mar-2024;136,520
04-Mar-2024;136,650
01-Mar-2024;137,210
29. Feb 24;136,100
28. Feb 24;134,720
27. Feb 24;132,800
26. Feb 24;134,490
23. Feb 24;134,260
22. Feb 24;129,900
21. Feb 24;127,300
20. Feb 24;127,190
19. Feb 24;125,350
08. Feb 24;124,690
07. Feb 24;123,720
06. Feb 24;124,330
05. Feb 24;124,580
02. Feb 24;126,180
01. Feb 24;126,230
31. Jan 24;126,900
30. Jan 24;127,980
29. Jan 24;129,910
26. Jan 24;130,810
25. Jan 24;129,700
24. Jan 24;129,360
23. Jan 24;127,850
22. Jan 24;126,840
19. Jan 24;128,150
18. Jan 24;127,260
17. Jan 24;127,640
16. Jan 24;127,000
15. Jan 24;127,690
12. Jan 24;128,790
11. Jan 24;126,210
10. Jan 24;124,600
09. Jan 24;124,960
08. Jan 24;124,180
05. Jan 24;123,680
04. Jan 24;125,700
03. Jan 24;127,850
02. Jan 24;126,720
29-Dec-2023;127,840
28-Dec-2023;130,020
27-Dec-2023;129,470
26-Dec-2023;130,570
25-Dec-2023;129,630
22-Dec-2023;131,240
21-Dec-2023;130,360
20-Dec-2023;131,500
19-Dec-2023;131,170
18-Dec-2023;133,350
15-Dec-2023;131,860
14-Dec-2023;131,750
13-Dec-2023;131,700
12-Dec-2023;131,670
11-Dec-2023;132,290
08-Dec-2023;131,710
07-Dec-2023;129,370
06-Dec-2023;128,140
05-Dec-2023;126,740
04-Dec-2023;129,810
01-Dec-2023;129,360
30. Nov 23;132,490
29. Nov 23;129,960
28. Nov 23;125,430
27. Nov 23;124,970
24. Nov 23;129,060
23. Nov 23;128,550
22. Nov 23;131,990
21. Nov 23;134,150
20. Nov 23;135,470
17. Nov 23;136,780
16. Nov 23;138,970
15. Nov 23;138,750
14. Nov 23;138,420
13. Nov 23;139,000
10. Nov 23;140,270
09. Nov 23;141,570
08. Nov 23;138,960
07. Nov 23;142,150
06. Nov 23;142,820
03. Nov 23;142,100
02. Nov 23;141,410
01. Nov 23;141,200
31-Oct-2023;144,810
30-Oct-2023;146,720
27-Oct-2023;146,040
26-Oct-2023;147,680
25-Oct-2023;147,580
24-Oct-2023;147,030
23-Oct-2023;148,720
20-Oct-2023;149,190
19-Oct-2023;150,270
18-Oct-2023;150,650
17-Oct-2023;151,030
16-Oct-2023;152,300
13-Oct-2023;152,240
12-Oct-2023;149,450
11-Oct-2023;149,870
10-Oct-2023;152,390
09-Oct-2023;149,070
28. Sep 23;152,240
27. Sep 23;153,040
26. Sep 23;157,970
25. Sep 23;158,220
22. Sep 23;156,840
21. Sep 23;159,860
20. Sep 23;163,530
19. Sep 23;161,500
18. Sep 23;161,570
15. Sep 23;162,240
14. Sep 23;160,560
13. Sep 23;161,830
12. Sep 23;165,210
11. Sep 23;165,970
08. Sep 23;166,330
07. Sep 23;168,040
06. Sep 23;171,620
05. Sep 23;170,150
04. Sep 23;170,810
01. Sep 23;166,820
31. Aug 23;165,630
30. Aug 23;165,770
29. Aug 23;166,680
28. Aug 23;169,300
25. Aug 23;169,680
24. Aug 23;169,930
23. Aug 23;169,250
22. Aug 23;168,210
21. Aug 23;167,070
18. Aug 23;167,550
17. Aug 23;164,080
16. Aug 23;162,630
15. Aug 23;163,780
14. Aug 23;166,630
11. Aug 23;167,090
10. Aug 23;166,180
09. Aug 23;167,410
08. Aug 23;168,710
07. Aug 23;168,490
04. Aug 23;172,180
03. Aug 23;170,020
02. Aug 23;174,140
01. Aug 23;173,860
31. Jul 23;173,480
28. Jul 23;170,530
27. Jul 23;170,990
26. Jul 23;172,710
25. Jul 23;171,030
24. Jul 23;169,210
21. Jul 23;169,710
20. Jul 23;168,060
19. Jul 23;165,480
18. Jul 23;163,070
17. Jul 23;171,000
14. Jul 23;170,980
13. Jul 23;170,430
12. Jul 23;166,840
11. Jul 23;166,390
10. Jul 23;164,790
07. Jul 23;167,340
06. Jul 23;166,330
05. Jul 23;160,660
04. Jul 23;161,450
03. Jul 23;161,980
30. Jun 23;159,900
29. Jun 23;158,470
28. Jun 23;161,510
27. Jun 23;161,470
26. Jun 23;164,480
21. Jun 23;167,710
20. Jun 23;168,360
19. Jun 23;170,110
16. Jun 23;172,790
15. Jun 23;173,500
14. Jun 23;171,940
13. Jun 23;164,740
12. Jun 23;166,920
09. Jun 23;165,530
08. Jun 23;165,260
07. Jun 23;165,460
06. Jun 23;163,490
05. Jun 23;162,700
02. Jun 23;165,360
01. Jun 23;161,870
31-May-2023;165,610
30-May-2023;169,290
29-May-2023;167,070
26-May-2023;167,920
25-May-2023;166,000
24-May-2023;164,020
23-May-2023;166,340
22-May-2023;166,550
19-May-2023;163,360
18-May-2023;166,240
17-May-2023;164,460
16-May-2023;167,030
15-May-2023;177,130
12-May-2023;174,700
11-May-2023;178,830
10-May-2023;185,890
09-May-2023;189,180
08-May-2023;191,120
05-May-2023;189,920
04-May-2023;193,740
28. Apr 23;188,600
27. Apr 23;185,880
26. Apr 23;184,740
25. Apr 23;187,570
24. Apr 23;187,450
21. Apr 23;192,920
20. Apr 23;195,310
19. Apr 23;195,290
18. Apr 23;188,020
17. Apr 23;194,460
14. Apr 23;190,340
13. Apr 23;187,930
12. Apr 23;187,620
11. Apr 23;184,910
10. Apr 23;185,450
07. Apr 23;185,220
06. Apr 23;179,980
04. Apr 23;184,660
03. Apr 23;183,240
31-Mar-2023;179,320
30-Mar-2023;181,220
29-Mar-2023;184,630
28-Mar-2023;181,130
27-Mar-2023;181,380
24-Mar-2023;177,110
23-Mar-2023;174,870
22-Mar-2023;174,540
21-Mar-2023;174,840
20-Mar-2023;177,940
17-Mar-2023;176,200
16-Mar-2023;175,190
15-Mar-2023;180,420
14-Mar-2023;179,510
13-Mar-2023;178,710
10-Mar-2023;183,060
09-Mar-2023;188,920
08-Mar-2023;189,890
07-Mar-2023;191,880
06-Mar-2023;191,770
03-Mar-2023;189,440
02-Mar-2023;193,940
01-Mar-2023;197,450
28. Feb 23;201,370
27. Feb 23;200,160
24. Feb 23;201,160
23. Feb 23;206,510
22. Feb 23;211,010
21. Feb 23;209,300
20. Feb 23;202,120
17. Feb 23;204,850
16. Feb 23;204,110
15. Feb 23;214,420
14. Feb 23;211,660
13. Feb 23;216,420
10. Feb 23;220,880
09. Feb 23;214,570
08. Feb 23;214,280
07. Feb 23;214,460
06. Feb 23;218,280
03. Feb 23;225,260
02. Feb 23;224,210
01. Feb 23;228,950
31. Jan 23;225,040
30. Jan 23;222,980
20. Jan 23;217,080
19. Jan 23;211,520
18. Jan 23;204,930
17. Jan 23;205,060
16. Jan 23;207,240
13. Jan 23;227,800
12. Jan 23;212,440
11. Jan 23;215,240
10. Jan 23;215,030
09. Jan 23;217,850
06. Jan 23;217,670
05. Jan 23;226,920
04. Jan 23;235,650
03. Jan 23;231,640
30-Dec-2022;232,750
29-Dec-2022;231,290
28-Dec-2022;230,430
27-Dec-2022;224,320
26-Dec-2022;220,630
23-Dec-2022;218,310
22-Dec-2022;220,750
21-Dec-2022;218,030
20-Dec-2022;214,040
19-Dec-2022;216,980
16-Dec-2022;217,680
15-Dec-2022;223,890
14-Dec-2022;225,950
13-Dec-2022;229,100
12-Dec-2022;224,610
09-Dec-2022;225,350
08-Dec-2022;219,200
07-Dec-2022;212,300
06-Dec-2022;210,760
05-Dec-2022;209,440
02-Dec-2022;205,050
01-Dec-2022;204,140
30. Nov 22;201,270
29. Nov 22;196,130
28. Nov 22;195,620
25. Nov 22;198,780
24. Nov 22;199,220
23. Nov 22;201,330
22. Nov 22;198,820
21. Nov 22;197,930
18. Nov 22;199,010
17. Nov 22;201,010
16. Nov 22;207,540
15. Nov 22;208,960
14. Nov 22;205,110
11. Nov 22;207,620
10. Nov 22;201,900
09. Nov 22;195,210
08. Nov 22;192,910
07. Nov 22;196,690
04. Nov 22;193,940
03. Nov 22;195,000
02. Nov 22;194,540
01. Nov 22;189,470
31-Oct-2022;185,250
28-Oct-2022;187,510
27-Oct-2022;188,170
26-Oct-2022;189,550
25-Oct-2022;188,180
24-Oct-2022;185,790
21-Oct-2022;184,970
20-Oct-2022;186,340
19-Oct-2022;183,120
18-Oct-2022;179,680
17-Oct-2022;186,540
14-Oct-2022;185,510
13-Oct-2022;185,730
12-Oct-2022;181,890
11-Oct-2022;186,040
10-Oct-2022;181,290
30. Sep 22;187,390
29. Sep 22;183,290
28. Sep 22;183,190
27. Sep 22;185,350
