Exchange Date;Trade Price
2023-05-04;35000
2023-05-05;35000
2023-05-08;35000
2023-05-09;35000
2023-05-10;34750
2023-05-11;34750
2023-05-12;34750
2023-05-15;35500
2023-05-16;35500
2023-05-17;36000
2023-05-18;36500
2023-05-19;36500
2023-05-22;36500
2023-05-23;37000
2023-05-24;37250
2023-05-25;37250
2023-05-26;37250
2023-05-29;37250
2023-05-30;37250
2023-05-31;37250
2023-06-01;37250
2023-06-02;37750
2023-06-05;37750
2023-06-06;38000
2023-06-07;38250
2023-06-08;38250
2023-06-09;38500
2023-06-12;38750
2023-06-13;39250
2023-06-14;39750
2023-06-15;39750
2023-06-16;39750
2023-06-19;39750
2023-06-20;40250
2023-06-21;40250
2023-06-26;40750
2023-06-27;41000
2023-06-28;41250
2023-06-29;41250
2023-06-30;41750
2023-07-03;41750
2023-07-04;43500
2023-07-05;43500
2023-07-06;43500
2023-07-07;43750
2023-07-10;44500
2023-07-11;45250
2023-07-12;45750
2023-07-13;46000
2023-07-14;46250
2023-07-17;46250
2023-07-18;46250
2023-07-19;46250
2023-07-20;45000
2023-07-21;43500
2023-07-24;43500
2023-07-25;43500
2023-07-26;43250
2023-07-27;42500
2023-07-28;42500
2023-07-31;42000
2023-08-01;41500
2023-08-02;41250
2023-08-03;41000
2023-08-04;40500
2023-08-07;39750
2023-08-08;39250
2023-08-09;39000
2023-08-10;38750
2023-08-11;38750
2023-08-14;38500
2023-08-15;37750
2023-08-16;37500
2023-08-17;37500
2023-08-18;37000
2023-08-21;36750
2023-08-22;36750
2023-08-23;36250
2023-08-24;36000
2023-08-25;35500
2023-08-28;35500
2023-08-29;35500
2023-08-30;35250
2023-08-31;35250
2023-09-01;35250
2023-09-04;35250
2023-09-05;35250
2023-09-06;35500
2023-09-07;36500
2023-09-08;36750
2023-09-11;36750
2023-09-12;37000
2023-09-13;37000
2023-09-14;37000
2023-09-15;37000
2023-09-18;37000
2023-09-19;37000
2023-09-20;37000
2023-09-21;37000
2023-09-22;37000
2023-09-25;37000
2023-09-26;37000
2023-09-27;37000
2023-09-28;37000
2023-10-09;38000
2023-10-10;38000
2023-10-11;38000
2023-10-12;38000
2023-10-13;38000
2023-10-16;38000
2023-10-17;39000
2023-10-18;39000
2023-10-19;39000
2023-10-20;39000
2023-10-23;39000
2023-10-24;39000
2023-10-25;39000
2023-10-26;39000
2023-10-27;39000
2023-10-30;39000
2023-10-31;38250
2023-11-01;38000
2023-11-02;38000
2023-11-03;37500
2023-11-06;37250
2023-11-07;37000
2023-11-08;37000
2023-11-09;37000
2023-11-10;37000
2023-11-13;36500
2023-11-14;36500
2023-11-15;36500
2023-11-16;35750
2023-11-17;35500
2023-11-20;35500
2023-11-21;35500
2023-11-22;35000
2023-11-23;34500
2023-11-24;34500
2023-11-27;34500
2023-11-28;34400
2023-11-29;34150
2023-11-30;33950
2023-12-01;33750
2023-12-04;33300
2023-12-05;32800
2023-12-06;32350
2023-12-07;32250
2023-12-08;32000
2023-12-11;31700
2023-12-12;31300
2023-12-13;31000
2023-12-14;30650
2023-12-15;30600
2023-12-18;30500
2023-12-19;30500
2023-12-20;30500
2023-12-21;31250
2023-12-22;31500
2023-12-25;31500
2023-12-26;31750
2023-12-27;31750
2023-12-28;31750
2023-12-29;31750
2024-01-02;31750
2024-01-03;32000
2024-01-04;32000
2024-01-05;32000
2024-01-08;32250
2024-01-09;32250
2024-01-10;32250
2024-01-11;32250
2024-01-12;32250
2024-01-15;32250
2024-01-16;32000
2024-01-17;32000
2024-01-18;31750
2024-01-19;31750
2024-01-22;31750
2024-01-23;31750
2024-01-24;31750
2024-01-25;31750
2024-01-26;31750
2024-01-29;31750
2024-01-30;31750
2024-01-31;31750
2024-02-01;31750
2024-02-02;31750
2024-02-05;31750
2024-02-06;31750
2024-02-07;31750
2024-02-08;31750
2024-02-19;31750
2024-02-20;31750
2024-02-21;31750
2024-02-22;31750
2024-02-23;31750
2024-02-26;31750
2024-02-27;31750
2024-02-28;31750
2024-02-29;31750
2024-03-01;31850
2024-03-04;32050
2024-03-05;32250
2024-03-06;32500
2024-03-07;32500
2024-03-08;32500
2024-03-11;32500
2024-03-12;32500
2024-03-13;32500
2024-03-14;32650
2024-03-15;32650
2024-03-18;32750
2024-03-19;32750
2024-03-20;32750
2024-03-21;32750
2024-03-22;32750
2024-03-25;32750
2024-03-26;32700
2024-03-27;32700
2024-03-28;32600
2024-03-29;32500
2024-04-01;32500
2024-04-02;32400
2024-04-03;32250
2024-04-08;32150
2024-04-09;32100
2024-04-10;32000
2024-04-11;32000
2024-04-12;31800
2024-04-15;31800
2024-04-16;31700
2024-04-17;31600
2024-04-18;31600
2024-04-19;31600
2024-04-22;31500
2024-04-23;31400
2024-04-24;31400
2024-04-25;31350
2024-04-26;31350
2024-04-29;31200
2024-04-30;31150
2024-05-06;31150
2024-05-07;31150
2024-05-08;31050
2024-05-09;31000
2024-05-10;30800
2024-05-13;30700
2024-05-14;30500
2024-05-15;30500
2024-05-16;30500
2024-05-17;30500
2024-05-20;30500
2024-05-21;30700
2024-05-22;30800
2024-05-23;31000
2024-05-24;31000
2024-05-27;31500
2024-05-28;32000
2024-05-29;32000
2024-05-30;32000
2024-05-31;32000
2024-06-03;32000
2024-06-04;32000
2024-06-05;31800
2024-06-06;31500
2024-06-07;31250
2024-06-11;31250
2024-06-12;31050
2024-06-13;30900
2024-06-14;30900
2024-06-17;30650
2024-06-18;30500
2024-06-19;30400
2024-06-20;30250
2024-06-21;30250
2024-06-24;30000
2024-06-25;29900
2024-06-26;29850
2024-06-27;29750
2024-06-28;29750
2024-07-01;29700
2024-07-02;29600
2024-07-03;29500
2024-07-04;29500
2024-07-05;29500
2024-07-08;29500
2024-07-09;29500
2024-07-10;29500
2024-07-11;29500
2024-07-12;29500
2024-07-15;29500
2024-07-16;29500
2024-07-17;29500
2024-07-18;29500
2024-07-19;29500
2024-07-22;29500
2024-07-23;29500
2024-07-24;29500
2024-07-25;29500
2024-07-26;29500
2024-07-29;29500
2024-07-30;29500
2024-07-31;29250
2024-08-01;29250
2024-08-02;29250
2024-08-05;29250
2024-08-06;29150
2024-08-07;29100
2024-08-08;29100
2024-08-09;29100
2024-08-12;29100
2024-08-13;29100
2024-08-14;29050
2024-08-15;29050
2024-08-16;29000
2024-08-19;29000
2024-08-20;29000
2024-08-21;29000
2024-08-22;29000
2024-08-23;29000
2024-08-26;28950
2024-08-27;28950
2024-08-28;28950
2024-08-29;28950
2024-08-30;28950
2024-09-02;28950
2024-09-03;28900
2024-09-04;28850
2024-09-05;28850
2024-09-06;28850
2024-09-09;28800
2024-09-10;28750
2024-09-11;28750
2024-09-12;28750
2024-09-13;28750
2024-09-18;28750
2024-09-19;28700
2024-09-20;28650
2024-09-23;28650
2024-09-24;28550
2024-09-25;28550
2024-09-26;28500
2024-09-27;28400
2024-09-30;28400
2024-10-08;28400
2024-10-09;28400
2024-10-10;28250
2024-10-11;28150
2024-10-14;28050
2024-10-15;28000
2024-10-16;27950
2024-10-17;27900
2024-10-18;27850
2024-10-21;27850
2024-10-22;27750
2024-10-23;27700
2024-10-24;27650
2024-10-25;27650
2024-10-28;27600
2024-10-29;27550
2024-10-30;27500
2024-10-31;27400
2024-11-01;27400
2024-11-04;27400
2024-11-05;27350
2024-11-06;27250
2024-11-07;27050
2024-11-08;27050
2024-11-11;27050
2024-11-12;27050
2024-11-13;27100
2024-11-14;27150
