Exchange Date;Trade Price
13-May-2025;78 180,00
12-May-2025;78 305,00
09-May-2025;78 245,00
08-May-2025;78 470,00
07-May-2025;78 610,00
06-May-2025;78 225,00
30. Apr 25;77 980,00
29. Apr 25;78 060,00
28. Apr 25;77 590,00
25. Apr 25;78 170,00
24. Apr 25;78 145,00
23. Apr 25;78 215,00
22. Apr 25;77 225,00
21. Apr 25;76 585,00
18. Apr 25;76 340,00
17. Apr 25;76 125,00
16. Apr 25;75 940,00
15. Apr 25;76 225,00
14. Apr 25;76 165,00
11. Apr 25;74 570,00
10. Apr 25;75 135,00
09. Apr 25;72 355,00
08. Apr 25;73 585,00
07. Apr 25;74 685,00
03. Apr 25;79 165,00
02. Apr 25;80 075,00
01. Apr 25;80 035,00
31-Mar-2025;79 960,00
28-Mar-2025;80 630,00
27-Mar-2025;81 620,00
26-Mar-2025;82 695,00
25-Mar-2025;81 600,00
24-Mar-2025;81 055,00
21-Mar-2025;81 555,00
20-Mar-2025;81 470,00
19-Mar-2025;80 605,00
18-Mar-2025;80 465,00
17-Mar-2025;79 990,00
14-Mar-2025;79 955,00
13-Mar-2025;79 630,00
12-Mar-2025;78 605,00
11-Mar-2025;77 680,00
10-Mar-2025;78 300,00
07-Mar-2025;78 815,00
06-Mar-2025;78 355,00
05-Mar-2025;76 830,00
04-Mar-2025;76 950,00
03-Mar-2025;77 065,00
28. Feb 25;76 865,00
27. Feb 25;76 825,00
26. Feb 25;76 970,00
25. Feb 25;76 960,00
24. Feb 25;77 140,00
21. Feb 25;77 360,00
20. Feb 25;77 185,00
19. Feb 25;77 055,00
18. Feb 25;76 655,00
17. Feb 25;77 310,00
14. Feb 25;77 675,00
13. Feb 25;77 185,00
12. Feb 25;76 750,00
11. Feb 25;76 995,00
10. Feb 25;76 950,00
07. Feb 25;76 645,00
06. Feb 25;76 265,00
05. Feb 25;75 310,00
27. Jan 25;75 250,00
24. Jan 25;75 270,00
23. Jan 25;74 985,00
22. Jan 25;75 495,00
21. Jan 25;75 560,00
20. Jan 25;75 450,00
17. Jan 25;76 340,00
16. Jan 25;76 025,00
15. Jan 25;75 440,00
14. Jan 25;75 545,00
13. Jan 25;75 675,00
10. Jan 25;75 415,00
09. Jan 25;74 845,00
08. Jan 25;74 585,00
07. Jan 25;74 385,00
06. Jan 25;73 950,00
03. Jan 25;73 305,00
02. Jan 25;73 465,00
31-Dec-2024;73 820,00
30-Dec-2024;74 215,00
27-Dec-2024;74 275,00
26-Dec-2024;74 265,00
25-Dec-2024;74 145,00
24-Dec-2024;74 060,00
23-Dec-2024;74 310,00
20-Dec-2024;73 825,00
19-Dec-2024;73 960,00
18-Dec-2024;74 225,00
17-Dec-2024;74 715,00
16-Dec-2024;74 505,00
13-Dec-2024;74 675,00
12-Dec-2024;75 425,00
11-Dec-2024;75 745,00
10-Dec-2024;75 385,00
09-Dec-2024;74 970,00
06-Dec-2024;74 515,00
05-Dec-2024;74 515,00
04-Dec-2024;74 730,00
03-Dec-2024;74 095,00
02-Dec-2024;73 925,00
29. Nov 24;73 970,00
28. Nov 24;74 045,00
27. Nov 24;73 845,00
26. Nov 24;73 835,00
25. Nov 24;74 335,00
22. Nov 24;73 975,00
21. Nov 24;74 520,00
20. Nov 24;74 735,00
19. Nov 24;74 200,00
18. Nov 24;73 840,00
15. Nov 24;74 100,00
14. Nov 24;73 440,00
13. Nov 24;74 815,00
12. Nov 24;75 970,00
11. Nov 24;76 535,00
08. Nov 24;77 365,00
07. Nov 24;76 300,00
06. Nov 24;77 550,00
05. Nov 24;77 600,00
04. Nov 24;76 765,00
01. Nov 24;76 570,00
31-Oct-2024;76 605,00
30-Oct-2024;76 645,00
29-Oct-2024;76 500,00
28-Oct-2024;76 525,00
25-Oct-2024;76 565,00
24-Oct-2024;76 475,00
23-Oct-2024;76 660,00
22-Oct-2024;76 760,00
21-Oct-2024;77 510,00
18-Oct-2024;76 560,00
17-Oct-2024;77 055,00
16-Oct-2024;76 570,00
15-Oct-2024;77 050,00
14-Oct-2024;77 415,00
11-Oct-2024;77 535,00
10-Oct-2024;77 425,00
09-Oct-2024;77 700,00
08-Oct-2024;78 515,00
30. Sep 24;78 945,00
27. Sep 24;78 895,00
26. Sep 24;77 420,00
25. Sep 24;77 770,00
24. Sep 24;76 235,00
23. Sep 24;75 510,00
20. Sep 24;75 890,00
19. Sep 24;74 720,00
18. Sep 24;74 505,00
13. Sep 24;74 350,00
12. Sep 24;73 585,00
11. Sep 24;72 825,00
10. Sep 24;72 840,00
09. Sep 24;72 000,00
06. Sep 24;72 610,00
05. Sep 24;72 095,00
04. Sep 24;72 115,00
03. Sep 24;73 735,00
02. Sep 24;73 680,00
30. Aug 24;73 945,00
29. Aug 24;73 885,00
28. Aug 24;74 910,00
27. Aug 24;74 895,00
26. Aug 24;74 455,00
23. Aug 24;73 540,00
22. Aug 24;73 980,00
21. Aug 24;73 605,00
20. Aug 24;73 910,00
19. Aug 24;74 060,00
16. Aug 24;73 645,00
15. Aug 24;72 315,00
14. Aug 24;72 275,00
13. Aug 24;72 380,00
12. Aug 24;71 390,00
09. Aug 24;71 670,00
08. Aug 24;70 735,00
07. Aug 24;71 370,00
06. Aug 24;71 360,00
05. Aug 24;72 995,00
02. Aug 24;73 370,00
01. Aug 24;74 885,00
31. Jul 24;73 845,00
30. Jul 24;73 185,00
29. Jul 24;74 160,00
26. Jul 24;74 315,00
25. Jul 24;73 220,00
24. Jul 24;74 700,00
23. Jul 24;75 560,00
22. Jul 24;76 250,00
19. Jul 24;76 565,00
18. Jul 24;78 110,00
17. Jul 24;78 695,00
16. Jul 24;79 170,00
15. Jul 24;79 915,00
12. Jul 24;78 860,00
11. Jul 24;79 675,00
10. Jul 24;79 710,00
09. Jul 24;79 965,00
08. Jul 24;80 020,00
05. Jul 24;79 815,00
04. Jul 24;79 835,00
03. Jul 24;78 550,00
02. Jul 24;78 490,00
01. Jul 24;77 840,00
28. Jun 24;77 660,00
27. Jun 24;77 695,00
26. Jun 24;77 410,00
25. Jun 24;78 370,00
24. Jun 24;78 255,00
21. Jun 24;79 340,00
20. Jun 24;79 530,00
19. Jun 24;78 535,00
18. Jun 24;78 670,00
17. Jun 24;78 830,00
14. Jun 24;79 465,00
13. Jun 24;79 355,00
12. Jun 24;79 575,00
11. Jun 24;79 755,00
07. Jun 24;81 410,00
06. Jun 24;81 130,00
05. Jun 24;80 250,00
04. Jun 24;81 835,00
03. Jun 24;81 620,00
31-May-2024;81 855,00
30-May-2024;83 405,00
29-May-2024;84 250,00
28-May-2024;84 590,00
27-May-2024;83 355,00
24-May-2024;83 315,00
23-May-2024;83 030,00
22-May-2024;85 655,00
21-May-2024;86 435,00
20-May-2024;86 970,00
17-May-2024;82 575,00
16-May-2024;82 035,00
15-May-2024;81 320,00
14-May-2024;81 530,00
13-May-2024;80 385,00
10-May-2024;79 925,00
09-May-2024;79 650,00
08-May-2024;79 770,00
07-May-2024;80 595,00
06-May-2024;80 785,00
30. Apr 24;81 785,00
29. Apr 24;80 500,00
26. Apr 24;80 025,00
25. Apr 24;78 810,00
24. Apr 24;78 335,00
23. Apr 24;78 410,00
22. Apr 24;80 295,00
19. Apr 24;79 115,00
18. Apr 24;76 870,00
17. Apr 24;76 370,00
16. Apr 24;76 900,00
15. Apr 24;76 280,00
12. Apr 24;76 030,00
11. Apr 24;76 010,00
10. Apr 24;76 035,00
09. Apr 24;75 910,00
08. Apr 24;75 430,00
03. Apr 24;73 390,00
02. Apr 24;72 795,00
01. Apr 24;72 765,00
29-Mar-2024;72 085,00
28-Mar-2024;71 975,00
27-Mar-2024;71 665,00
26-Mar-2024;71 895,00
25-Mar-2024;72 245,00
22-Mar-2024;72 140,00
21-Mar-2024;72 870,00
20-Mar-2024;72 515,00
19-Mar-2024;73 030,00
18-Mar-2024;73 010,00
15-Mar-2024;72 075,00
14-Mar-2024;71 880,00
13-Mar-2024;69 650,00
12-Mar-2024;69 500,00
11-Mar-2024;69 335,00
08-Mar-2024;69 630,00
07-Mar-2024;69 235,00
06-Mar-2024;68 815,00
05-Mar-2024;68 945,00
04-Mar-2024;68 900,00
01-Mar-2024;68 835,00
29. Feb 24;68 730,00
28. Feb 24;68 800,00
27. Feb 24;68 720,00
26. Feb 24;69 050,00
23. Feb 24;69 380,00
22. Feb 24;69 015,00
