Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;
13-May-2025;21,21;+0,41;+1,97%;20,98;20,91;21,29;8 608;181 737,00;
12-May-2025;20,80;+0,68;+3,38%;20,96;20,74;20,96;5 122;106 334,00;
09-May-2025;20,12;+0,12;+0,60%;20,12;19,99;20,22;6 297;126 496,00;
08-May-2025;20,00;+0,14;+0,70%;19,83;19,77;20,03;5 433;108 059,00;
07-May-2025;19,86;--0,43;--2,12%;20,36;19,65;20,36;6 751;134 283,00;
06-May-2025;20,29;+0,42;+2,11%;19,87;19,87;20,29;8 039;161 712,00;
05-May-2025;19,87;--0,13;--0,65%;20,00;19,87;20,07;5 991;119 478,00;
02-May-2025;20,00;+0,36;+1,83%;19,95;19,84;20,17;6 345;126 844,00;
01-May-2025;19,64;+0,38;+1,97%;19,66;19,45;19,84;3 232;63 571,00;
30-Apr-2025;19,26;--0,66;--3,31%;19,25;18,94;19,46;14 583;282 424,00;
29-Apr-2025;19,92;0,00;0,00%;19,93;19,90;20,16;7 819;156 346,00;
28-Apr-2025;19,92;--0,22;--1,07%;20,13;19,76;20,18;7 713;153 963,00;
25-Apr-2025;20,14;--0,11;--0,57%;20,02;19,94;20,18;4 906;98 412,00;
24-Apr-2025;20,25;+0,89;+4,60%;19,59;19,58;20,26;13 615;272 840,00;
23-Apr-2025;19,36;+0,69;+3,72%;19,19;19,19;19,56;19 585;379 990,00;
22-Apr-2025;18,67;+0,46;+2,50%;18,46;18,42;18,86;9 170;170 641,00;
21-Apr-2025;18,21;+0,03;+0,17%;18,37;17,92;18,49;11 667;211 906,00;
17-Apr-2025;18,18;--0,07;--0,38%;18,31;18,05;18,32;7 178;131 255,00;
16-Apr-2025;18,25;+0,06;+0,33%;18,14;18,03;18,42;14 275;259 560,00;
15-Apr-2025;18,19;--0,03;--0,16%;18,08;18,07;18,27;10 238;185 958,00;
14-Apr-2025;18,22;+0,42;+2,36%;18,15;17,86;18,42;18 906;345 422,00;
11-Apr-2025;17,80;+1,05;+6,26%;17,08;17,08;17,90;20 694;362 391,00;
10-Apr-2025;16,75;--0,99;--5,56%;17,47;16,52;17,47;15 423;261 090,00;
09-Apr-2025;17,74;+2,13;+13,62%;15,68;15,47;17,87;56 219;898 399,00;
08-Apr-2025;15,61;--0,73;--4,45%;17,04;15,38;17,04;61 572;975 526,00;
07-Apr-2025;16,34;+0,12;+0,72%;16,16;16,00;16,82;41 431;671 016,00;
04-Apr-2025;16,22;--2,01;--11,04%;17,23;15,93;17,23;47 916;783 939,00;
03-Apr-2025;18,23;--1,69;--8,49%;19,06;18,23;19,06;23 237;435 333,00;
02-Apr-2025;19,93;--0,06;--0,33%;19,90;19,71;19,98;8 243;163 492,00;
01-Apr-2025;19,99;+0,30;+1,54%;19,65;19,59;19,99;13 347;263 815,00;
31-Mar-2025;19,69;--0,50;--2,49%;19,83;19,20;19,83;24 085;470 142,00;
28-Mar-2025;20,19;--0,82;--3,90%;21,15;20,12;21,15;14 895;304 131,00;
27-Mar-2025;21,01;--0,49;--2,28%;21,29;20,83;21,29;14 106;297 939,00;
26-Mar-2025;21,50;--0,87;--3,89%;22,40;21,41;22,40;22 708;494 614,00;
25-Mar-2025;22,37;+0,43;+1,96%;22,08;22,08;22,41;26 543;591 374,00;
24-Mar-2025;21,94;+0,47;+2,19%;21,84;21,80;22,14;47 208;1 040 236,00;
21-Mar-2025;21,47;--0,42;--1,92%;21,47;21,18;21,47;10 860;231 637,00;
20-Mar-2025;21,89;--0,04;--0,20%;21,73;21,70;22,11;15 605;341 232,00;
19-Mar-2025;21,94;+0,47;+2,21%;21,52;21,50;21,97;14 902;323 428,00;
18-Mar-2025;21,46;--0,01;--0,05%;21,56;21,27;21,56;19 696;423 111,00;
17-Mar-2025;21,47;+0,55;+2,63%;21,04;21,04;21,51;12 331;262 896,00;
14-Mar-2025;20,92;+0,53;+2,60%;20,66;20,62;20,95;13 940;289 862,00;
13-Mar-2025;20,39;+0,41;+2,05%;20,00;20,00;20,58;22 939;467 382,00;
12-Mar-2025;19,98;+0,43;+2,22%;19,90;19,77;20,04;14 331;285 188,00;
11-Mar-2025;19,55;+0,59;+3,09%;19,20;19,10;19,65;6 838;132 712,00;
10-Mar-2025;18,96;--1,13;--5,62%;19,75;18,80;19,75;12 532;240 863,00;
07-Mar-2025;20,09;--0,27;--1,33%;20,23;19,72;20,32;21 244;429 366,00;
06-Mar-2025;20,36;--0,34;--1,64%;20,46;20,28;20,79;9 194;188 506,00;
05-Mar-2025;20,70;+1,74;+9,18%;19,62;19,62;20,70;41 735;843 744,00;
04-Mar-2025;18,96;--0,27;--1,40%;19,03;18,53;19,19;23 229;436 647,00;
03-Mar-2025;19,23;--0,42;--2,14%;20,01;19,07;20,23;19 799;388 816,00;
28-Feb-2025;19,65;--0,30;--1,50%;19,68;19,40;19,68;36 294;707 335,00;
27-Feb-2025;19,95;--0,45;--2,21%;20,51;19,87;20,58;14 838;304 665,00;
26-Feb-2025;20,40;+0,42;+2,10%;20,28;20,28;20,66;19 990;408 812,00;
25-Feb-2025;19,98;--0,31;--1,53%;20,27;19,74;20,27;9 921;198 306,00;
24-Feb-2025;20,29;--0,04;--0,20%;20,35;20,10;20,39;8 263;167 344,00;
21-Feb-2025;20,33;--1,09;--5,09%;21,44;20,32;21,44;10 606;221 761,00;
20-Feb-2025;21,42;+0,47;+2,24%;21,16;21,16;21,44;7 650;163 098,00;
19-Feb-2025;20,95;--0,55;--2,56%;21,28;20,93;21,28;7 595;160 290,00;
18-Feb-2025;21,50;--0,05;--0,23%;21,71;21,46;21,71;9 722;209 862,00;
14-Feb-2025;21,55;--0,23;--1,06%;21,94;21,55;21,97;13 353;290 297,00;
13-Feb-2025;21,78;+0,65;+3,08%;21,19;21,19;21,78;14 978;321 347,00;
12-Feb-2025;21,13;+0,25;+1,20%;20,86;20,86;21,24;6 730;141 681,00;
11-Feb-2025;20,88;--0,63;--2,93%;20,99;20,84;21,00;18 299;383 157,00;
10-Feb-2025;21,51;+0,33;+1,56%;21,58;21,36;21,58;11 152;239 483,00;
07-Feb-2025;21,18;+0,45;+2,17%;21,26;21,08;21,54;16 048;341 742,00;
06-Feb-2025;20,73;+0,25;+1,22%;20,76;20,64;20,91;15 560;323 317,00;
05-Feb-2025;20,48;+0,17;+0,84%;20,35;20,24;20,50;7 601;155 134,00;
04-Feb-2025;20,31;+0,68;+3,49%;19,77;19,77;20,37;14 811;298 330,00;
03-Feb-2025;19,63;--0,27;--1,38%;19,45;19,24;19,78;17 090;334 013,00;
31-Jan-2025;19,90;--0,51;--2,50%;20,28;19,90;20,38;6 682;134 719,00;
30-Jan-2025;20,41;+0,23;+1,14%;20,36;20,36;20,49;4 313;88 166,00;
29-Jan-2025;20,18;+0,29;+1,46%;19,96;19,96;20,27;5 808;117 164,00;
28-Jan-2025;19,89;--0,53;--2,60%;20,41;19,82;20,41;9 443;189 178,00;
27-Jan-2025;20,42;--0,60;--2,88%;20,75;20,33;20,75;9 701;198 442,00;
24-Jan-2025;21,02;+0,04;+0,21%;21,15;20,94;21,35;15 420;325 758,00;
23-Jan-2025;20,98;+0,00;+0,00%;20,82;20,50;20,98;14 862;308 256,00;
22-Jan-2025;20,98;--0,49;--2,28%;21,50;20,98;21,50;36 918;786 127,00;
21-Jan-2025;21,47;+0,20;+0,94%;21,63;21,37;21,63;24 377;523 301,00;
17-Jan-2025;21,27;+0,15;+0,71%;21,17;21,12;21,53;14 644;311 585,00;
16-Jan-2025;21,12;--0,21;--0,98%;21,31;21,02;21,31;6 840;144 912,00;
15-Jan-2025;21,33;+0,35;+1,67%;21,45;21,11;21,45;16 211;343 444,00;
14-Jan-2025;20,98;0,00;0,00%;20,97;20,82;21,02;4 107;85 903,00;
13-Jan-2025;20,98;--0,01;--0,05%;20,87;20,82;21,04;5 123;107 048,00;
10-Jan-2025;20,99;--0,04;--0,19%;21,54;20,99;21,54;11 452;242 533,00;
08-Jan-2025;21,03;+0,08;+0,38%;20,89;20,65;21,05;11 849;247 149,00;
07-Jan-2025;20,95;--0,11;--0,52%;21,24;20,93;21,25;41 930;881 152,00;
06-Jan-2025;21,06;+0,37;+1,79%;21,04;21,04;21,38;10 204;217 280,00;
03-Jan-2025;20,69;+0,08;+0,39%;20,61;20,45;20,75;7 593;156 888,00;
02-Jan-2025;20,61;+0,10;+0,49%;20,58;20,58;20,85;9 222;190 942,00;
31-Dec-2024;20,51;+0,06;+0,30%;20,48;20,35;20,53;24 582;502 077,00;
30-Dec-2024;20,45;--0,31;--1,50%;20,60;20,38;20,60;39 979;819 213,00;
27-Dec-2024;20,76;--0,24;--1,14%;20,81;20,72;20,89;5 428;113 026,00;
26-Dec-2024;21,00;+0,02;+0,12%;20,98;20,95;21,05;7 397;155 350,00;
24-Dec-2024;20,98;--0,04;--0,21%;20,92;20,91;20,99;4 741;99 378,00;
23-Dec-2024;21,02;+0,27;+1,29%;20,73;20,73;21,03;7 954;166 474,00;
20-Dec-2024;20,75;+0,37;+1,82%;20,26;20,26;20,92;10 327;214 976,00;
19-Dec-2024;20,38;--0,08;--0,39%;20,61;20,22;20,61;30 312;615 704,00;
18-Dec-2024;20,46;--0,81;--3,81%;21,25;20,38;21,26;115 024;2 439 024,00;
17-Dec-2024;21,27;--0,22;--1,02%;21,28;21,05;21,34;16 354;346 729,00;
16-Dec-2024;21,49;--0,38;--1,74%;21,79;21,46;21,79;17 350;375 259,00;
13-Dec-2024;21,87;--0,40;--1,80%;22,19;21,67;22,19;19 082;416 868,00;
12-Dec-2024;22,27;--1,13;--4,83%;22,66;22,27;22,66;24 255;543 240,00;
11-Dec-2024;23,40;+0,09;+0,39%;23,45;23,23;23,49;22 158;517 200,00;
10-Dec-2024;23,31;--0,43;--1,81%;23,62;23,31;23,62;15 157;355 843,00;
09-Dec-2024;23,74;+0,65;+2,82%;23,67;23,62;24,19;26 563;632 296,00;
06-Dec-2024;23,09;--0,35;--1,49%;23,48;22,97;23,48;19 043;439 524,00;
05-Dec-2024;23,44;+0,09;+0,39%;23,37;23,28;23,46;4 754;111 105,00;
04-Dec-2024;23,35;--0,10;--0,43%;23,59;23,20;23,59;30 378;706 709,00;
03-Dec-2024;23,45;+0,22;+0,95%;23,46;23,30;23,64;7 480;175 457,00;
02-Dec-2024;23,23;--0,06;--0,27%;23,33;22,87;23,33;28 047;647 887,00;
29-Nov-2024;23,29;+0,20;+0,88%;23,11;23,11;23,29;2 426;56 365,00;
27-Nov-2024;23,09;+0,19;+0,83%;23,09;23,04;23,35;14 644;338 224,00;
26-Nov-2024;22,90;--0,58;--2,47%;23,30;22,80;23,30;15 847;364 826,00;
25-Nov-2024;23,48;+0,08;+0,34%;23,52;23,30;23,55;7 890;185 068,00;
22-Nov-2024;23,40;--0,10;--0,43%;23,49;23,28;23,50;10 864;254 118,00;
21-Nov-2024;23,50;+0,04;+0,17%;23,50;23,33;23,55;12 127;284 184,00;
20-Nov-2024;23,46;--0,04;--0,17%;23,46;23,35;23,49;3 894;91 221,00;
19-Nov-2024;23,50;+0,36;+1,56%;23,05;23,05;23,50;3 785;88 156,00;
18-Nov-2024;23,14;+0,57;+2,53%;22,88;22,83;23,15;8 919;205 416,00;
15-Nov-2024;22,57;--0,26;--1,14%;22,89;22,57;23,03;5 746;130 551,00;
14-Nov-2024;22,83;+0,07;+0,31%;22,81;22,58;22,94;15 236;347 847,00;
13-Nov-2024;22,76;--0,47;--2,02%;23,27;22,74;23,27;23 357;534 427,00;
12-Nov-2024;23,23;--0,50;--2,11%;23,41;22,97;23,46;20 459;472 967,00;
11-Nov-2024;23,73;--0,55;--2,27%;24,00;23,55;24,00;10 077;239 528,00;
08-Nov-2024;24,28;--1,02;--4,03%;24,62;23,91;24,62;20 233;490 224,00;
07-Nov-2024;25,30;+1,16;+4,81%;24,75;24,75;25,30;16 964;425 517,00;
06-Nov-2024;24,14;--0,55;--2,23%;24,25;23,48;24,25;29 658;711 879,00;
05-Nov-2024;24,69;+0,48;+1,98%;24,39;24,39;24,69;1 332;32 619,00;
04-Nov-2024;24,21;+0,15;+0,62%;24,27;24,15;24,47;3 563;86 453,00;
01-Nov-2024;24,06;+0,15;+0,63%;24,06;23,92;24,21;17 557;422 726,00;
31-Oct-2024;23,91;--0,57;--2,33%;24,23;23,69;24,23;40 802;973 375,00;
30-Oct-2024;24,48;--0,24;--0,97%;24,71;24,32;24,71;5 634;137 832,00;
29-Oct-2024;24,72;--0,06;--0,24%;24,77;24,66;24,83;9 112;225 313,00;
28-Oct-2024;24,78;--0,01;--0,04%;24,85;24,72;24,92;4 572;113 744,00;
25-Oct-2024;24,79;+0,07;+0,28%;24,87;24,79;24,98;2 863;71 330,00;
24-Oct-2024;24,72;--0,20;--0,80%;24,97;24,62;24,97;2 395;59 242,00;
23-Oct-2024;24,92;--0,43;--1,70%;24,89;24,65;24,92;18 878;469 300,00;
22-Oct-2024;25,35;+0,39;+1,56%;25,27;25,02;25,87;30 922;790 386,00;
21-Oct-2024;24,96;--0,29;--1,15%;25,37;24,86;25,37;11 907;297 621,00;
18-Oct-2024;25,25;+0,48;+1,94%;25,26;25,12;25,26;10 121;255 171,00;
17-Oct-2024;24,77;--0,40;--1,59%;25,07;24,76;25,07;53 557;1 330 999,00;
16-Oct-2024;25,17;+0,43;+1,74%;25,01;25,01;25,18;18 486;464 447,00;
15-Oct-2024;24,74;--0,63;--2,48%;25,05;24,70;25,05;30 195;749 167,00;
14-Oct-2024;25,37;--0,27;--1,05%;25,29;25,04;25,47;6 384;161 713,00;
11-Oct-2024;25,64;+0,35;+1,38%;25,51;25,51;25,65;4 476;114 563,00;
10-Oct-2024;25,29;+0,25;+1,00%;25,09;25,09;25,36;5 934;149 755,00;
09-Oct-2024;25,04;--0,06;--0,24%;24,79;24,74;25,10;4 548;113 293,00;
08-Oct-2024;25,10;--0,91;--3,50%;25,49;24,85;25,49;33 211;829 011,00;
07-Oct-2024;26,01;--0,07;--0,27%;25,98;25,85;26,03;7 037;182 687,00;
04-Oct-2024;26,08;+0,51;+1,99%;25,87;25,87;26,08;12 185;316 241,00;
03-Oct-2024;25,57;--0,76;--2,89%;25,67;25,50;25,73;32 899;842 898,00;
02-Oct-2024;26,33;+0,14;+0,53%;26,25;26,20;26,46;24 803;653 128,00;
01-Oct-2024;26,19;+0,21;+0,81%;26,23;25,98;26,29;14 649;383 001,00;
30-Sep-2024;25,98;--0,68;--2,55%;26,37;25,91;26,37;35 540;929 948,00;
27-Sep-2024;26,66;--0,37;--1,37%;26,84;26,56;26,94;19 396;518 008,00;
26-Sep-2024;27,03;+1,51;+5,92%;26,36;26,36;27,24;89 236;2 408 899,00;
25-Sep-2024;25,52;--0,38;--1,47%;25,77;25,48;25,79;18 494;474 255,00;
24-Sep-2024;25,90;+1,52;+6,23%;25,30;25,30;25,96;16 789;430 214,00;
23-Sep-2024;24,38;+0,35;+1,46%;24,14;24,14;24,43;4 086;99 407,00;
20-Sep-2024;24,03;--0,39;--1,60%;24,30;23,95;24,30;6 098;146 766,00;
19-Sep-2024;24,42;+0,92;+3,91%;24,37;24,23;24,45;21 803;530 443,00;
18-Sep-2024;23,50;+0,12;+0,51%;23,42;23,35;24,00;13 806;325 868,00;
17-Sep-2024;23,38;+0,18;+0,77%;23,25;23,23;23,44;13 331;311 758,00;
16-Sep-2024;23,20;+0,17;+0,75%;23,20;23,07;23,21;13 339;308 424,00;
13-Sep-2024;23,03;+0,30;+1,32%;23,16;23,01;23,16;7 103;163 818,00;
12-Sep-2024;22,73;+0,54;+2,43%;22,42;22,42;22,79;8 488;191 925,00;
11-Sep-2024;22,19;+0,45;+2,07%;21,95;21,62;22,19;12 381;270 400,00;
10-Sep-2024;21,74;--0,08;--0,37%;21,68;21,50;21,74;12 180;262 691,00;
09-Sep-2024;21,82;+0,20;+0,93%;21,96;21,81;22,04;12 290;268 927,00;
06-Sep-2024;21,62;--0,58;--2,61%;22,18;21,49;22,18;10 578;230 613,00;
05-Sep-2024;22,20;--0,15;--0,67%;22,52;22,19;22,59;15 024;336 560,00;
04-Sep-2024;22,35;+0,03;+0,13%;22,27;22,27;22,59;8 375;187 337,00;
03-Sep-2024;22,32;--1,64;--6,84%;23,29;22,23;23,29;31 318;706 500,00;
30-Aug-2024;23,96;+0,24;+1,01%;23,86;23,65;23,96;4 997;119 109,00;
29-Aug-2024;23,72;+0,09;+0,38%;23,66;23,66;23,80;3 203;76 055,00;
28-Aug-2024;23,63;--0,99;--4,02%;24,02;23,56;24,02;31 855;754 454,00;
27-Aug-2024;24,62;+0,16;+0,65%;24,50;24,47;24,63;9 349;229 775,00;
26-Aug-2024;24,46;+0,15;+0,62%;24,53;24,35;24,71;11 687;286 176,00;
23-Aug-2024;24,31;+0,81;+3,45%;23,83;23,78;24,31;18 017;434 808,00;
22-Aug-2024;23,50;--0,35;--1,47%;23,86;23,36;23,86;45 571;1 069 585,00;
21-Aug-2024;23,85;+0,33;+1,38%;23,74;23,65;23,85;10 850;257 650,00;
20-Aug-2024;23,53;--0,23;--0,95%;23,75;23,50;23,82;12 560;297 355,00;
19-Aug-2024;23,75;+0,47;+2,02%;23,52;23,44;23,75;7 323;173 132,00;
16-Aug-2024;23,28;+0,11;+0,47%;23,08;23,00;23,33;13 393;310 042,00;
15-Aug-2024;23,17;+0,78;+3,48%;22,85;22,85;23,29;12 894;298 643,00;
14-Aug-2024;22,39;+0,08;+0,36%;22,31;22,21;22,49;8 209;183 154,00;
13-Aug-2024;22,31;+0,01;+0,04%;22,11;22,04;22,34;7 445;165 695,00;
12-Aug-2024;22,30;+0,13;+0,59%;22,32;22,25;22,45;10 395;232 079,00;
09-Aug-2024;22,17;+0,19;+0,86%;22,29;22,10;22,29;5 632;124 827,00;
08-Aug-2024;21,98;+0,49;+2,28%;21,47;21,46;21,98;7 322;158 782,00;
07-Aug-2024;21,49;--0,70;--3,15%;22,32;21,46;22,32;24 088;522 039,00;
06-Aug-2024;22,19;+0,16;+0,73%;21,96;21,90;22,45;21 557;476 604,00;
05-Aug-2024;22,03;--0,76;--3,33%;21,34;21,34;22,14;33 836;736 041,00;
02-Aug-2024;22,79;--0,42;--1,81%;23,10;22,54;23,10;38 547;876 075,00;
01-Aug-2024;23,21;--1,08;--4,45%;24,01;23,11;24,01;13 765;321 597,00;
31-Jul-2024;24,29;+0,82;+3,49%;23,99;23,99;24,36;20 438;493 803,00;
30-Jul-2024;23,47;--0,34;--1,43%;23,58;23,41;23,87;9 049;213 276,00;
29-Jul-2024;23,81;--0,07;--0,29%;23,83;23,67;23,88;6 083;144 482,00;
26-Jul-2024;23,88;+0,27;+1,14%;23,89;23,63;23,89;7 943;188 539,00;
25-Jul-2024;23,61;+0,01;+0,04%;23,44;23,02;23,70;19 160;448 903,00;
24-Jul-2024;23,60;--0,20;--0,84%;23,99;23,54;24,11;16 766;399 341,00;
23-Jul-2024;23,80;--0,18;--0,75%;23,84;23,36;23,84;37 691;890 774,00;
22-Jul-2024;23,98;--0,12;--0,50%;24,21;23,78;24,21;26 858;644 380,00;
19-Jul-2024;24,10;+0,10;+0,42%;23,87;23,87;24,13;20 421;490 966,00;
18-Jul-2024;24,00;--1,12;--4,46%;24,98;23,89;24,99;60 471;1 460 680,00;
17-Jul-2024;25,12;--0,73;--2,82%;25,51;24,98;25,57;50 212;1 261 503,00;
16-Jul-2024;25,85;--0,35;--1,34%;25,98;25,43;25,98;26 670;684 997,00;
15-Jul-2024;26,20;--0,54;--2,02%;26,41;26,20;26,57;20 140;530 380,00;
12-Jul-2024;26,74;+0,49;+1,87%;26,54;26,46;27,04;49 552;1 330 183,00;
11-Jul-2024;26,25;--0,13;--0,49%;26,56;26,10;26,56;16 263;427 547,00;
10-Jul-2024;26,38;+0,30;+1,15%;26,30;26,19;26,47;13 383;352 018,00;
09-Jul-2024;26,08;+0,03;+0,12%;26,19;26,07;26,33;21 625;565 699,00;
08-Jul-2024;26,05;--0,53;--1,99%;26,39;25,97;26,40;14 167;370 590,00;
05-Jul-2024;26,58;+0,37;+1,41%;26,21;26,21;26,68;67 188;1 775 549,00;
03-Jul-2024;26,21;+1,04;+4,13%;25,69;25,69;26,31;19 826;518 708,00;
02-Jul-2024;25,17;0,00;0,00%;25,19;25,07;25,20;2 166;54 453,00;
01-Jul-2024;25,17;+0,10;+0,40%;25,39;25,10;25,39;22 675;572 739,00;
28-Jun-2024;25,07;+0,08;+0,32%;25,26;25,00;25,38;13 190;331 849,00;
27-Jun-2024;24,99;--0,33;--1,30%;25,63;24,87;25,63;10 311;258 299,00;
26-Jun-2024;25,32;+0,30;+1,20%;24,90;24,90;25,32;11 337;285 190,00;
25-Jun-2024;25,02;--0,38;--1,50%;24,98;24,96;25,04;7 561;189 091,00;
24-Jun-2024;25,40;+0,68;+2,75%;24,95;24,92;25,44;50 439;1 270 586,00;
21-Jun-2024;24,72;--0,49;--1,94%;24,95;24,59;24,95;26 763;659 781,00;
20-Jun-2024;25,21;+0,66;+2,69%;24,83;24,83;25,24;33 309;835 329,00;
18-Jun-2024;24,55;+0,28;+1,15%;24,13;24,13;24,59;13 696;334 293,00;
17-Jun-2024;24,27;--0,10;--0,41%;24,17;23,95;24,29;22 658;545 749,00;
14-Jun-2024;24,37;--0,13;--0,53%;24,33;24,20;24,48;13 865;337 797,00;
13-Jun-2024;24,50;--0,43;--1,72%;24,76;24,39;24,76;23 877;584 546,00;
12-Jun-2024;24,93;+0,01;+0,04%;25,52;24,78;25,52;20 510;513 729,00;
11-Jun-2024;24,92;--0,52;--2,04%;24,95;24,61;24,96;24 652;610 933,00;
10-Jun-2024;25,44;+0,48;+1,92%;25,20;25,10;25,47;14 393;365 179,00;
07-Jun-2024;24,96;--1,02;--3,94%;25,54;24,87;25,54;25 510;639 567,00;
06-Jun-2024;25,99;+0,43;+1,69%;25,61;25,55;26,00;28 131;727 539,00;
05-Jun-2024;25,55;+0,41;+1,62%;25,21;25,15;25,61;21 692;551 489,00;
04-Jun-2024;25,15;--1,17;--4,46%;25,82;24,88;25,82;180 877;4 541 088,00;
03-Jun-2024;26,32;--0,38;--1,42%;27,46;26,18;27,46;38 756;1 027 825,00;
31-May-2024;26,70;--0,10;--0,37%;26,99;26,20;27,02;38 474;1 022 282,00;
30-May-2024;26,80;--0,32;--1,18%;26,62;26,54;27,12;44 221;1 183 953,00;
29-May-2024;27,12;--0,63;--2,27%;27,35;27,00;27,35;31 594;857 535,00;
28-May-2024;27,75;+1,08;+4,05%;27,73;27,43;27,77;67 813;1 874 909,00;
24-May-2024;26,67;+0,37;+1,41%;26,54;26,52;26,77;39 082;1 042 257,00;
23-May-2024;26,30;--0,26;--0,98%;26,86;26,15;26,86;44 599;1 177 189,00;
22-May-2024;26,56;--1,85;--6,51%;27,93;26,54;27,93;73 543;1 989 213,00;
21-May-2024;28,41;--0,30;--1,04%;28,84;28,14;28,84;73 848;2 100 866,00;
20-May-2024;28,71;+0,62;+2,21%;28,25;28,03;28,79;87 096;2 485 951,00;
17-May-2024;28,09;+1,21;+4,50%;27,44;27,36;28,14;46 125;1 285 189,00;
16-May-2024;26,88;--0,32;--1,18%;27,09;26,86;27,25;17 865;483 155,00;
15-May-2024;27,20;--0,02;--0,07%;27,72;26,75;27,72;71 736;1 950 355,00;
14-May-2024;27,22;+0,82;+3,11%;26,63;26,63;27,33;37 776;1 023 140,00;
13-May-2024;26,40;+0,17;+0,65%;26,50;26,25;26,51;33 741;889 788,00;
10-May-2024;26,23;+0,05;+0,19%;26,38;26,17;26,61;42 618;1 121 012,00;
09-May-2024;26,18;+0,61;+2,39%;25,66;25,65;26,19;15 263;397 172,00;
08-May-2024;25,57;--0,37;--1,43%;25,52;25,33;25,64;25 738;655 350,00;
07-May-2024;25,94;--0,06;--0,23%;26,00;25,79;26,00;62 699;1 623 836,00;
06-May-2024;26,00;+0,47;+1,84%;26,01;25,75;26,01;27 139;702 488,00;
03-May-2024;25,53;+0,68;+2,74%;25,20;25,06;25,53;10 528;266 129,00;
02-May-2024;24,85;--0,12;--0,48%;24,84;24,59;24,96;25 644;636 974,00;
01-May-2024;24,97;--0,27;--1,07%;25,24;24,75;25,66;66 413;1 661 030,00;
30-Apr-2024;25,24;--1,15;--4,36%;26,26;25,15;26,27;106 583;2 698 530,00;
29-Apr-2024;26,39;+0,40;+1,54%;26,21;25,85;26,39;27 446;719 496,00;
26-Apr-2024;25,99;+0,91;+3,63%;25,35;25,31;25,99;37 158;953 640,00;
25-Apr-2024;25,08;+0,89;+3,68%;24,50;24,34;25,08;45 018;1 117 988,00;
24-Apr-2024;24,19;+0,02;+0,08%;24,21;23,98;24,28;22 120;533 302,00;
23-Apr-2024;24,17;--0,34;--1,39%;24,00;23,75;24,31;18 513;446 480,00;
22-Apr-2024;24,51;--0,37;--1,49%;24,57;24,14;24,57;20 537;500 077,00;
19-Apr-2024;24,88;--0,17;--0,68%;25,24;24,73;25,24;34 568;864 101,00;
18-Apr-2024;25,05;+0,38;+1,54%;25,00;24,73;25,20;16 032;401 009,00;
17-Apr-2024;24,67;+0,18;+0,73%;24,89;24,56;25,09;24 220;599 747,00;
16-Apr-2024;24,49;--0,26;--1,05%;24,25;23,87;24,49;32 792;788 202,00;
15-Apr-2024;24,75;+0,02;+0,08%;25,35;24,56;25,52;18 040;449 007,00;
12-Apr-2024;24,73;--0,37;--1,47%;25,57;24,56;25,67;57 982;1 457 157,00;
11-Apr-2024;25,10;--0,04;--0,17%;25,24;24,69;25,24;30 760;768 766,00;
10-Apr-2024;25,14;--0,28;--1,09%;25,18;24,66;25,28;63 502;1 590 317,00;
09-Apr-2024;25,42;+0,68;+2,75%;25,14;25,10;25,42;57 547;1 456 545,00;
08-Apr-2024;24,74;+0,29;+1,19%;24,93;24,42;24,93;46 877;1 154 703,00;
05-Apr-2024;24,45;+0,11;+0,45%;24,22;24,13;24,54;84 839;2 071 051,00;
04-Apr-2024;24,34;+0,08;+0,31%;24,58;24,22;24,81;83 510;2 054 144,00;
03-Apr-2024;24,26;+0,65;+2,75%;23,91;23,81;24,32;50 574;1 220 791,00;
02-Apr-2024;23,62;+0,18;+0,79%;23,60;23,39;23,72;36 559;862 173,00;
