Exchange Date;Close;Net;%Chg;Open;Low;High
22-Mar-2023;20,82;;;21,11;20,82;21,15
23-Mar-2023;20,75;-0,07;-0,36%;21,02;20,69;21,14
24-Mar-2023;20,79;+0,04;+0,20%;20,64;20,64;20,88
27-Mar-2023;20,80;+0,01;+0,04%;20,96;20,78;20,96
28-Mar-2023;21,51;+0,71;+3,41%;21,31;21,31;21,51
29-Mar-2023;21,73;+0,23;+1,06%;21,60;21,60;21,80
30-Mar-2023;21,76;+0,02;+0,11%;21,68;21,60;21,77
31-Mar-2023;22,12;+0,36;+1,64%;22,08;21,93;22,12
03-Apr-2023;22,21;+0,09;+0,41%;22,15;22,00;22,26
04-Apr-2023;21,86;-0,34;-1,54%;21,77;21,77;21,89
05-Apr-2023;21,72;-0,14;-0,66%;21,71;21,71;21,72
06-Apr-2023;21,42;-0,31;-1,40%;21,48;21,28;21,48
10-Apr-2023;21,49;+0,07;+0,33%;21,29;21,29;21,51
11-Apr-2023;21,78;+0,29;+1,35%;21,71;21,71;21,80
12-Apr-2023;21,73;-0,04;-0,21%;21,97;21,73;21,97
13-Apr-2023;22,37;+0,63;+2,92%;22,10;22,10;22,52
14-Apr-2023;22,39;+0,02;+0,11%;22,38;22,30;22,39
17-Apr-2023;22,26;-0,13;-0,58%;22,41;22,20;22,41
18-Apr-2023;22,37;+0,11;+0,48%;22,43;22,30;22,46
19-Apr-2023;22,49;+0,13;+0,58%;22,49;22,47;22,53
20-Apr-2023;22,17;-0,33;-1,46%;22,30;22,07;22,30
21-Apr-2023;21,96;-0,20;-0,92%;22,01;21,83;22,03
24-Apr-2023;21,92;-0,04;-0,20%;22,03;21,85;22,03
25-Apr-2023;21,61;-0,32;-1,44%;21,85;21,56;21,86
26-Apr-2023;21,41;-0,20;-0,91%;21,54;21,41;21,54
27-Apr-2023;21,71;+0,30;+1,41%;21,65;21,65;21,71
28-Apr-2023;21,93;+0,22;+1,01%;22,00;21,93;22,00
01-May-2023;21,65;-0,28;-1,28%;21,93;21,65;21,93
02-May-2023;21,56;-0,09;-0,42%;21,56;21,56;21,56
03-May-2023;21,63;+0,07;+0,33%;21,73;21,63;21,73
04-May-2023;21,84;+0,21;+0,97%;21,80;21,80;21,84
05-May-2023;22,27;+0,43;+1,95%;22,17;22,17;22,27
08-May-2023;22,29;+0,02;+0,09%;22,34;22,29;22,45
09-May-2023;22,14;-0,15;-0,67%;22,14;22,14;22,14
10-May-2023;22,16;+0,02;+0,11%;22,15;22,03;22,19
11-May-2023;21,70;-0,47;-2,10%;21,80;21,45;21,80
12-May-2023;21,25;-0,45;-2,06%;21,50;21,25;21,50
15-May-2023;21,32;+0,07;+0,31%;21,30;21,30;21,35
16-May-2023;20,77;-0,54;-2,56%;21,04;20,77;21,04
17-May-2023;20,92;+0,14;+0,70%;20,80;20,80;21,00
18-May-2023;20,91;-0,00;-0,02%;20,80;20,78;20,91
19-May-2023;20,89;-0,02;-0,10%;20,93;20,89;20,93
22-May-2023;20,83;-0,06;-0,28%;20,80;20,80;20,83
23-May-2023;20,41;-0,43;-2,05%;20,61;20,41;20,64
24-May-2023;20,05;-0,36;-1,74%;20,21;20,05;20,21
25-May-2023;19,87;-0,18;-0,90%;19,97;19,87;19,97
26-May-2023;20,19;+0,32;+1,61%;20,16;20,16;20,23
30-May-2023;20,25;+0,05;+0,27%;20,33;20,25;20,33
31-May-2023;19,98;-0,27;-1,31%;20,04;19,92;20,04
01-Jun-2023;20,07;+0,09;+0,45%;19,85;19,85;20,07
02-Jun-2023;20,53;+0,46;+2,29%;20,31;20,31;20,60
05-Jun-2023;20,44;-0,09;-0,44%;20,60;20,40;20,65
06-Jun-2023;20,79;+0,35;+1,70%;20,60;20,60;20,79
07-Jun-2023;20,52;-0,27;-1,29%;20,70;20,47;20,70
08-Jun-2023;20,59;+0,07;+0,35%;20,62;20,59;20,67
09-Jun-2023;21,09;+0,50;+2,41%;21,12;21,09;21,16
12-Jun-2023;21,22;+0,13;+0,62%;21,17;21,17;21,38
13-Jun-2023;21,47;+0,25;+1,16%;21,47;21,47;21,47
14-Jun-2023;21,69;+0,22;+1,04%;21,59;21,54;21,69
15-Jun-2023;21,72;+0,04;+0,16%;21,58;21,58;21,78
16-Jun-2023;22,04;+0,31;+1,45%;22,15;22,03;22,19
20-Jun-2023;21,73;-0,31;-1,42%;21,76;21,61;21,76
21-Jun-2023;21,94;+0,21;+0,97%;21,73;21,73;21,97
22-Jun-2023;21,65;-0,29;-1,32%;21,77;21,65;21,77
23-Jun-2023;21,42;-0,22;-1,04%;21,34;21,32;21,42
26-Jun-2023;21,59;+0,16;+0,77%;21,53;21,53;21,59
27-Jun-2023;21,58;-0,01;-0,03%;21,54;21,52;21,58
28-Jun-2023;21,32;-0,26;-1,20%;21,46;21,32;21,46
29-Jun-2023;21,40;+0,08;+0,35%;21,36;21,31;21,40
30-Jun-2023;21,49;+0,09;+0,44%;21,51;21,49;21,67
03-Jul-2023;21,95;+0,46;+2,13%;21,88;21,86;21,95
05-Jul-2023;22,09;+0,14;+0,66%;22,17;22,09;22,17
06-Jul-2023;21,86;-0,24;-1,07%;21,89;21,86;21,89
07-Jul-2023;22,00;+0,15;+0,66%;21,86;21,86;22,14
10-Jul-2023;21,95;-0,05;-0,25%;21,97;21,94;21,97
11-Jul-2023;22,21;+0,26;+1,18%;22,21;22,21;22,21
12-Jul-2023;22,61;+0,40;+1,80%;22,41;22,40;22,69
13-Jul-2023;23,16;+0,56;+2,46%;23,00;22,94;23,19
14-Jul-2023;22,92;-0,24;-1,04%;23,00;22,92;23,00
17-Jul-2023;22,42;-0,50;-2,18%;22,61;22,39;22,61
18-Jul-2023;22,20;-0,23;-1,00%;22,31;22,09;22,31
19-Jul-2023;21,89;-0,31;-1,37%;22,04;21,89;22,04
20-Jul-2023;22,12;+0,23;+1,06%;22,14;22,12;22,14
21-Jul-2023;22,02;-0,11;-0,48%;21,96;21,96;22,04
24-Jul-2023;21,69;-0,32;-1,48%;21,78;21,67;21,81
25-Jul-2023;21,86;+0,16;+0,76%;21,86;21,86;21,86
26-Jul-2023;21,91;+0,05;+0,25%;21,91;21,91;21,91
27-Jul-2023;21,40;-0,51;-2,33%;21,73;21,40;21,73
28-Jul-2023;21,48;+0,08;+0,35%;21,55;21,47;21,55
31-Jul-2023;21,59;+0,11;+0,54%;21,58;21,57;21,59
01-Aug-2023;21,39;-0,20;-0,93%;21,39;21,39;21,39
02-Aug-2023;21,16;-0,23;-1,08%;21,16;21,16;21,16
03-Aug-2023;21,28;+0,12;+0,58%;21,15;21,15;21,30
04-Aug-2023;21,65;+0,36;+1,71%;21,71;21,65;21,71
07-Aug-2023;21,73;+0,08;+0,36%;21,73;21,73;21,73
08-Aug-2023;21,45;-0,27;-1,24%;21,44;21,42;21,45
09-Aug-2023;21,09;-0,37;-1,72%;21,23;21,03;21,23
10-Aug-2023;20,89;-0,19;-0,91%;21,09;20,89;21,09
