Date;Price
13-May-2025;234.5
12-May-2025;236.5
09-May-2025;235.5
08-May-2025;233
07-May-2025;234.5
06-May-2025;236
05-May-2025;239
02-May-2025;238.5
01-May-2025;237.5
30. Apr 25;237
29. Apr 25;236.5
28. Apr 25;233
25. Apr 25;231
24. Apr 25;230.5
23. Apr 25;230.5
22. Apr 25;231
21. Apr 25;230
18. Apr 25;231.5
17. Apr 25;232
16. Apr 25;233
15. Apr 25;234
14. Apr 25;230
11. Apr 25;227.5
10. Apr 25;215.5
09. Apr 25;210
08. Apr 25;217
07. Apr 25;215.5
04. Apr 25;228.5
03. Apr 25;234
02. Apr 25;234
01. Apr 25;234.5
31-Mar-2025;236.5
28-Mar-2025;238
27-Mar-2025;235.5
26-Mar-2025;234.5
25-Mar-2025;234
24-Mar-2025;229
21-Mar-2025;202.5
20-Mar-2025;215
19-Mar-2025;225
18-Mar-2025;229.5
17-Mar-2025;239
16-Mar-2025;
14-Mar-2025;239
13-Mar-2025;252.5
12-Mar-2025;246
11-Mar-2025;228
10-Mar-2025;240
07-Mar-2025;215.5
06-Mar-2025;208
05-Mar-2025;187.5
04-Mar-2025;190
03-Mar-2025;191
28. Feb 25;183
27. Feb 25;171
26. Feb 25;165.5
25. Feb 25;165
24. Feb 25;166.5
23. Feb 25;
21. Feb 25;150
20. Feb 25;148
19. Feb 25;148.5
18. Feb 25;148
17. Feb 25;148
16. Feb 25;
14. Feb 25;148
13. Feb 25;148.5
12. Feb 25;148.5
11. Feb 25;151
10. Feb 25;151
09. Feb 25;
07. Feb 25;151
06. Feb 25;151.5
05. Feb 25;149
04. Feb 25;149.5
03. Feb 25;149.5
31. Jan 25;149
30. Jan 25;147.5
29. Jan 25;147
27. Jan 25;148
26. Jan 25;
20. Jan 25;148
19. Jan 25;
17. Jan 25;149
16. Jan 25;150.5
15. Jan 25;149.5
14. Jan 25;149.5
13. Jan 25;151
10. Jan 25;153.5
09. Jan 25;153.5
08. Jan 25;153.5
07. Jan 25;154
06. Jan 25;153.5
05. Jan 25;
03. Jan 25;154
02. Jan 25;153
31-Dec-2024;153
30-Dec-2024;154
29-Dec-2024;
27-Dec-2024;155.5
26-Dec-2024;156
25-Dec-2024;156
24-Dec-2024;156.5
23-Dec-2024;156.5
22-Dec-2024;
20-Dec-2024;157.5
19-Dec-2024;157
18-Dec-2024;159.5
17-Dec-2024;160
16-Dec-2024;161
15-Dec-2024;
13-Dec-2024;163
