Date;Price
13-May-2025;123.25
12-May-2025;124.6
09-May-2025;125.6
08-May-2025;123.95
07-May-2025;123.75
06-May-2025;124
05-May-2025;123.35
02-May-2025;123.35
01-May-2025;122.95
30. Apr 25;123.95
29. Apr 25;124.25
28. Apr 25;124.65
15. Apr 25;123.8
14. Apr 25;122.95
11. Apr 25;122.35
10. Apr 25;121.2
09. Apr 25;118.35
08. Apr 25;119.5
07. Apr 25;119.15
04. Apr 25;123.4
03. Apr 25;127
02. Apr 25;128.7
01. Apr 25;129.2
31-Mar-2025;128.8
28-Mar-2025;131.2
27-Mar-2025;129.8
26-Mar-2025;130.35
17-Mar-2025;132
16-Mar-2025;
14-Mar-2025;132
13-Mar-2025;132.15
12-Mar-2025;132.85
11-Mar-2025;132
10-Mar-2025;131.8
07-Mar-2025;130.1
06-Mar-2025;128.25
05-Mar-2025;126.9
04-Mar-2025;127.15
03-Mar-2025;127.9
28. Feb 25;124.65
27. Feb 25;126.9
26. Feb 25;124.35
17. Feb 25;123
16. Feb 25;
14. Feb 25;124.4
13. Feb 25;123.5
12. Feb 25;124
11. Feb 25;124.1
10. Feb 25;125.8
09. Feb 25;
07. Feb 25;127
06. Feb 25;126.7
05. Feb 25;124.5
04. Feb 25;123.15
03. Feb 25;122.6
31. Jan 25;123.35
30. Jan 25;124.1
29. Jan 25;124.3
27. Jan 25;124.65
26. Jan 25;
15. Jan 25;126.8
14. Jan 25;127.05
13. Jan 25;127.6
10. Jan 25;126.1
09. Jan 25;124.65
08. Jan 25;124.6
07. Jan 25;124.2
06. Jan 25;123.7
05. Jan 25;
03. Jan 25;123.65
02. Jan 25;123.1
31-Dec-2024;124.4
30-Dec-2024;124.7
29-Dec-2024;
27-Dec-2024;124.25
26-Dec-2024;126.2
25-Dec-2024;124.7
24-Dec-2024;124.9
23-Dec-2024;124.45
22-Dec-2024;
20-Dec-2024;122.8
19-Dec-2024;122.7
18-Dec-2024;123.6
17-Dec-2024;124.15
16-Dec-2024;125.9
15-Dec-2024;
13-Dec-2024;126.15
12-Dec-2024;128.45
11-Dec-2024;125.65
10-Dec-2024;125.25
09-Dec-2024;127.65
06-Dec-2024;126.95
05-Dec-2024;125.15
04-Dec-2024;127.3
03-Dec-2024;127.1
02-Dec-2024;124.3
01-Dec-2024;
29. Nov 24;126.2
28. Nov 24;127.15
27. Nov 24;125.35
26. Nov 24;127.65
25. Nov 24;126.2
22. Nov 24;126.3
21. Nov 24;126.5
20. Nov 24;126.25
19. Nov 24;125.2
18. Nov 24;123.1
15. Nov 24;123.1
14. Nov 24;123
13. Nov 24;124.25
12. Nov 24;126.25
11. Nov 24;127.85
10. Nov 24;
08. Nov 24;128.6
07. Nov 24;129.25
06. Nov 24;125.15
05. Nov 24;127.1
04. Nov 24;124.05
01. Nov 24;124.75
31-Oct-2024;122.15
30-Oct-2024;123.8
29-Oct-2024;123.9
28-Oct-2024;124.1
25-Oct-2024;125.8
24-Oct-2024;126
23-Oct-2024;125
22-Oct-2024;127.2
21-Oct-2024;130
20-Oct-2024;
18-Oct-2024;128.1
17-Oct-2024;128.5
16-Oct-2024;132.75
