date,price,ticker,series_title
2016-04-21,168000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-22,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-25,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-26,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-27,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-28,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-04-29,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-03,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-05,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-06,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-09,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-10,171000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-11,170000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-12,170000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-13,170000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-16,170000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-17,170000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-18,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-19,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-20,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-24,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-25,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-26,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-27,163000,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-30,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-05-31,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-01,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-02,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-03,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-06,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-07,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-08,169500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-12,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-13,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-14,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-15,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-16,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-17,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-20,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-21,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-22,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-23,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-24,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-27,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-28,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
2016-06-29,164500,ATKLIOH,Antaike Lithium Hydroxide Price China
