date,price,ticker,series_title
2022-09-26,74.25,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-09-27,74.25,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-09-28,73.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-09-29,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-09-30,76.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-03,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-04,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-05,77.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-06,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-07,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-10,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-11,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-12,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-13,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-14,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-17,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-18,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-19,75.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-20,75.6,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-21,76.13,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-24,75.98,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-25,76.12,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-26,76.12,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-27,76.15,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-28,76.13,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-10-31,77.74,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-01,76.75,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-02,77.25,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-03,77.25,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-04,77.25,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-07,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-08,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-09,77.89,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-10,77.89,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-11,77.89,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-14,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-15,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-16,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-17,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-18,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-21,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-22,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-23,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-24,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-25,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-28,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-29,77.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-11-30,80.82,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-01,76.63,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-02,78.87,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-05,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-06,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-07,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-08,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-09,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-12,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-13,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-14,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-15,78.0,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-16,79.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-19,79.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-20,79.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-21,79.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
2022-12-22,79.5,SLICFc1,SGX-DT FM Lithium Carbonate CIF CJK Full Session Commodity Future Continuation 1
