date,price,ticker,series_title
2023-07-17,40.32,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-18,40.21,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-19,40.12,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-20,40.13,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-21,40.05,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-24,39.98,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-25,39.93,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-26,39.88,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-27,39.83,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-28,39.74,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-07-31,39.66,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-01,38.08,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-02,37.53,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-03,37.53,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-04,37.53,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-07,37.53,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-08,37.33,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-09,37.33,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-10,37.33,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-11,36.35,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-14,35.89,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-15,35.89,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-16,34.85,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-17,34.85,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-18,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-21,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-22,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-23,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-24,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-25,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-28,34.42,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-29,34.33,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-30,34.2,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-08-31,34.11,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-01,29.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-05,29.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-06,29.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-07,29.1,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-08,29.1,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-11,28.74,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-12,28.4,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-13,28.4,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-14,28.12,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-15,27.86,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-18,27.86,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-19,27.86,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-20,27.48,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-21,27.24,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-22,27.24,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-25,27.24,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-26,27.24,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-27,27.2,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-28,27.15,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-09-29,27.15,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-02,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-03,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-04,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-05,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-06,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-09,24.5,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-10,23.96,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-11,23.96,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-12,23.96,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-13,23.96,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-16,23.57,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-17,23.57,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-18,23.57,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-19,23.57,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-20,23.57,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-23,23.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-24,23.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-25,23.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-26,23.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-27,23.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-30,23.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-10-31,23.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-01,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-02,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-03,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-06,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-07,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-08,22.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-09,21.64,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-10,21.64,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-13,21.64,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-14,21.34,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-15,21.07,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-16,21.07,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-17,21.07,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-20,21.07,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-21,20.8,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-22,20.8,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-24,20.8,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-27,20.75,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-28,20.61,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-29,20.61,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-11-30,20.61,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-01,18.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-04,18.0,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-05,17.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-06,17.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-07,17.55,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-08,16.77,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-11,16.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-12,16.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
2023-12-13,16.41,TLCc1,COMEX Lithium Carbonate CIF CJK (Fastmarkets) Electronic Commodity Future Continuation 1
