iter	Passed	Remaining
0	6	2089
1	13	1974
2	18	1865
3	24	1834
4	32	1893
5	39	1943
6	47	1996
7	53	1934
8	57	1862
9	62	1800
10	67	1764
11	71	1726
12	75	1677
13	80	1648
14	86	1634
15	91	1624
16	96	1603
17	101	1590
18	107	1593
19	112	1568
20	118	1568
21	124	1570
22	129	1559
23	135	1556
24	140	1543
25	145	1534
26	150	1520
27	155	1512
28	160	1502
29	165	1485
30	170	1475
31	175	1467
32	181	1469
33	186	1457
34	191	1449
35	195	1435
36	199	1419
37	205	1415
38	211	1417
39	218	1418
40	228	1443
41	234	1442
42	240	1435
43	246	1435
44	256	1451
45	260	1440
46	265	1429
47	270	1418
48	274	1407
49	279	1399
50	284	1391
51	290	1387
52	298	1389
53	303	1383
54	308	1374
55	315	1376
56	321	1369
57	327	1365
58	335	1369
59	341	1364
60	350	1371
61	357	1372
62	366	1377
63	371	1369
64	376	1362
65	382	1354
66	387	1346
67	392	1339
68	397	1332
69	402	1322
70	408	1316
71	412	1305
72	417	1298
73	421	1288
74	425	1277
75	430	1268
76	439	1271
77	445	1267
78	462	1294
79	474	1305
80	479	1297
81	489	1301
82	500	1308
83	517	1330
84	531	1344
85	550	1370
86	565	1384
87	573	1382
88	588	1395
89	597	1393
90	604	1387
91	610	1380
92	615	1368
93	618	1355
94	626	1351
95	631	1340
96	634	1328
97	640	1319
98	645	1309
99	652	1304
100	658	1297
101	662	1286
102	666	1275
103	672	1267
104	695	1290
105	701	1283
106	706	1275
107	712	1267
108	719	1260
109	723	1249
110	728	1239
111	732	1229
112	738	1221
113	742	1211
114	747	1202
115	762	1210
116	774	1211
117	786	1213
118	792	1205
119	797	1196
120	808	1195
121	819	1195
122	824	1186
123	830	1178
124	838	1173
125	849	1173
126	855	1164
127	862	1159
128	869	1151
129	874	1143
130	881	1136
131	886	1128
132	892	1120
133	897	1112
134	903	1104
135	910	1098
136	916	1090
137	922	1082
138	931	1079
139	938	1072
140	949	1070
141	958	1066
142	968	1062
143	977	1059
144	981	1049
145	995	1050
146	1001	1042
147	1010	1037
148	1015	1029
149	1020	1020
150	1025	1011
151	1029	1002
152	1041	1000
153	1048	993
154	1061	993
155	1074	991
156	1078	981
157	1082	972
158	1086	963
159	1091	954
160	1095	945
161	1100	937
162	1106	929
163	1112	922
164	1118	914
165	1123	907
166	1128	898
167	1133	890
168	1138	882
169	1144	875
170	1162	877
171	1171	871
172	1179	866
173	1195	865
174	1212	865
175	1224	862
176	1235	858
177	1240	850
178	1248	844
179	1256	837
180	1264	831
181	1270	823
182	1278	817
183	1284	809
184	1289	801
185	1294	793
186	1299	785
187	1303	776
188	1308	768
189	1313	760
190	1317	752
191	1324	745
192	1330	737
193	1337	730
194	1342	723
195	1346	714
196	1353	707
197	1358	700
198	1365	692
199	1371	685
200	1377	678
201	1382	670
202	1388	663
203	1393	655
204	1397	647
205	1402	639
206	1407	632
207	1411	624
208	1415	616
209	1420	608
210	1426	601
211	1431	594
212	1436	586
213	1441	579
214	1445	571
215	1450	564
216	1459	558
217	1464	550
218	1469	543
219	1474	536
220	1478	528
221	1482	521
222	1487	513
223	1491	505
224	1494	498
225	1498	490
226	1502	483
227	1506	475
228	1511	468
229	1515	461
230	1523	454
231	1527	447
232	1532	440
233	1537	433
234	1541	426
235	1545	419
236	1549	411
237	1554	405
238	1558	397
239	1562	390
240	1566	383
241	1570	376
242	1574	369
243	1579	362
244	1583	355
245	1586	348
246	1590	341
247	1593	334
248	1598	327
249	1602	320
250	1606	313
251	1610	306
252	1616	300
253	1623	294
254	1628	287
255	1633	280
256	1637	274
257	1642	267
258	1647	260
259	1652	254
260	1656	247
261	1661	240
262	1668	234
263	1673	228
264	1681	222
265	1687	215
266	1693	209
267	1699	202
268	1704	196
269	1710	190
270	1715	183
271	1721	177
272	1731	171
273	1736	164
274	1743	158
275	1747	151
276	1751	145
277	1754	138
278	1758	132
279	1763	125
280	1769	119
281	1773	113
282	1777	106
283	1781	100
284	1787	94
285	1792	87
286	1796	81
287	1800	75
288	1804	68
289	1808	62
290	1815	56
291	1820	49
292	1824	43
293	1828	37
294	1833	31
295	1837	24
296	1843	18
297	1851	12
298	1856	6
299	1861	0
