epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.01,49,,
0,,49,,0.2944656312465668
,0.01,99,,
0,,99,,0.14086538553237915
0,,131,0.25014710426330566,
,0.01,149,,
1,,149,,0.1378222405910492
,0.01,199,,
1,,199,,0.17213723063468933
,0.01,249,,
1,,249,,0.19082389771938324
1,,263,0.20694343745708466,
,0.01,299,,
2,,299,,0.23003807663917542
,0.01,349,,
2,,349,,0.09126707166433334
2,,395,0.18516932427883148,
,0.01,399,,
3,,399,,0.28910690546035767
,0.01,449,,
3,,449,,0.1130506694316864
,0.01,499,,
3,,499,,0.2298014909029007
3,,527,0.18068823218345642,
,0.01,549,,
4,,549,,0.15962794423103333
,0.01,599,,
4,,599,,0.10183748602867126
,0.01,649,,
4,,649,,0.30412447452545166
4,,659,0.1709490269422531,
,0.01,699,,
5,,699,,0.18166401982307434
,0.01,749,,
5,,749,,0.12588615715503693
5,,791,0.16510045528411865,
,0.01,799,,
6,,799,,0.10329960286617279
,0.01,849,,
6,,849,,0.3812963366508484
,0.01,899,,
6,,899,,0.19468200206756592
6,,923,0.16179296374320984,
,0.01,949,,
7,,949,,0.17487195134162903
,0.01,999,,
7,,999,,0.18018530309200287
,0.01,1049,,
7,,1049,,0.11170642822980881
7,,1055,0.15454503893852234,
,0.01,1099,,
8,,1099,,0.09032408893108368
,0.01,1149,,
8,,1149,,0.25641968846321106
8,,1187,0.14517071843147278,
,0.01,1199,,
9,,1199,,0.10353250056505203
,0.01,1249,,
9,,1249,,0.09527797996997833
,0.01,1299,,
9,,1299,,0.1357763111591339
9,,1319,0.14156240224838257,
,0.01,1349,,
10,,1349,,0.0815371572971344
,0.01,1399,,
10,,1399,,0.11248679459095001
,0.01,1449,,
10,,1449,,0.1459195464849472
10,,1451,0.14254896342754364,
,0.01,1499,,
11,,1499,,0.11365048587322235
,0.01,1549,,
11,,1549,,0.17176267504692078
11,,1583,0.14515644311904907,
,0.01,1599,,
12,,1599,,0.11401133984327316
,0.01,1649,,
12,,1649,,0.20496831834316254
,0.01,1699,,
12,,1699,,0.13385263085365295
12,,1715,0.14476607739925385,
,0.01,1749,,
13,,1749,,0.13554124534130096
,0.01,1799,,
13,,1799,,0.11478100717067719
13,,1847,0.13934838771820068,
,0.01,1849,,
14,,1849,,0.15013450384140015
,0.01,1899,,
14,,1899,,0.12104446440935135
,0.01,1949,,
14,,1949,,0.07536393404006958
14,,1979,0.13957805931568146,
,0.01,1999,,
15,,1999,,0.09011457115411758
,0.01,2049,,
15,,2049,,0.0827195793390274
,0.01,2099,,
15,,2099,,0.19370484352111816
15,,2111,0.13674260675907135,
,0.01,2149,,
16,,2149,,0.24373483657836914
,0.01,2199,,
16,,2199,,0.11426965892314911
16,,2243,0.13498172163963318,
,0.01,2249,,
17,,2249,,0.22276978194713593
,0.01,2299,,
17,,2299,,0.11798243969678879
,0.01,2349,,
17,,2349,,0.35175850987434387
17,,2375,0.1278388500213623,
,0.01,2399,,
18,,2399,,0.041367799043655396
,0.01,2449,,
18,,2449,,0.23465357720851898
,0.01,2499,,
18,,2499,,0.0554543137550354
18,,2507,0.13034844398498535,
,0.01,2549,,
19,,2549,,0.056978948414325714
,0.01,2599,,
19,,2599,,0.10863527655601501
19,,2639,0.1294276863336563,
,0.01,2649,,
20,,2649,,0.1023118793964386
,0.01,2699,,
20,,2699,,0.09957782924175262
,0.01,2749,,
20,,2749,,0.16668185591697693
20,,2771,0.12700627744197845,
,0.01,2799,,
21,,2799,,0.19003546237945557
,0.01,2849,,
21,,2849,,0.05444004759192467
,0.01,2899,,
21,,2899,,0.07069850713014603
21,,2903,0.12565544247627258,
,0.01,2949,,
22,,2949,,0.05445045605301857
,0.01,2999,,
22,,2999,,0.06398233026266098
22,,3035,0.1280556470155716,
,0.01,3049,,
23,,3049,,0.12954892218112946
,0.01,3099,,
23,,3099,,0.29313164949417114
,0.01,3149,,
23,,3149,,0.10852976888418198
23,,3167,0.12393669784069061,
,0.01,3199,,
24,,3199,,0.02620859257876873
,0.01,3249,,
24,,3249,,0.13732650876045227
,0.01,3299,,
24,,3299,,0.04848846048116684
24,,3299,0.12138184905052185,
,0.01,3349,,
25,,3349,,0.1247817873954773
,0.01,3399,,
25,,3399,,0.049654170870780945
25,,3431,0.1183881163597107,
,0.01,3449,,
26,,3449,,0.1693173050880432
,0.01,3499,,
26,,3499,,0.12370703369379044
,0.01,3549,,
26,,3549,,0.0959707498550415
26,,3563,0.12493724375963211,
,0.01,3599,,
27,,3599,,0.023454342037439346
,0.01,3649,,
27,,3649,,0.07573728263378143
27,,3695,0.11624123156070709,
,0.01,3699,,
28,,3699,,0.1974380761384964
,0.01,3749,,
28,,3749,,0.1330510526895523
,0.01,3799,,
28,,3799,,0.15393882989883423
28,,3827,0.11650893837213516,
,0.01,3849,,
29,,3849,,0.1652221530675888
,0.01,3899,,
29,,3899,,0.17954662442207336
,0.01,3949,,
29,,3949,,0.08843003213405609
29,,3959,0.1126973032951355,
