iter	Passed	Remaining
0	4	1302
1	7	1104
2	10	1032
3	13	1015
4	17	1055
5	20	1025
6	23	999
7	26	975
8	29	960
9	32	951
10	36	946
11	38	930
12	41	916
13	44	909
14	48	912
15	50	901
16	53	890
17	56	879
18	58	870
19	62	868
20	68	912
21	73	934
22	79	956
23	83	965
24	87	961
25	90	956
26	94	959
27	98	956
28	102	953
29	105	949
30	109	948
31	112	945
32	116	939
33	119	934
34	122	926
35	126	926
36	129	919
37	132	912
38	135	904
39	137	896
40	142	897
41	146	898
42	149	894
43	153	894
44	157	894
45	161	890
46	164	885
47	167	879
48	170	872
49	174	871
50	177	866
51	180	861
52	183	856
53	187	852
54	190	850
55	194	847
56	198	844
57	201	840
58	205	840
59	209	837
60	212	833
61	216	829
62	220	828
63	224	826
64	227	822
65	231	819
66	236	821
67	239	818
68	243	815
69	246	811
70	252	814
71	256	810
72	259	806
73	262	802
74	266	798
75	270	796
76	273	792
77	277	789
78	281	786
79	285	784
80	288	780
81	292	777
82	296	774
83	300	773
84	303	768
85	306	763
86	309	758
87	313	755
88	316	751
89	320	747
90	323	742
91	326	737
92	330	734
93	334	733
94	338	731
95	342	728
96	347	728
97	352	727
98	357	725
99	362	724
100	366	721
101	370	718
102	373	714
103	377	711
104	381	709
105	386	707
106	391	706
107	396	704
108	400	701
109	404	699
110	409	696
111	412	693
112	417	690
113	420	685
114	424	682
115	427	678
116	431	675
117	435	671
118	439	669
119	443	664
120	447	661
121	450	657
122	455	655
123	458	651
124	461	646
125	465	643
126	470	640
127	474	637
128	478	633
129	481	629
130	484	625
131	488	621
132	491	617
133	494	613
134	498	608
135	501	605
136	505	601
137	508	597
138	512	593
139	515	589
140	519	585
141	522	581
142	525	577
143	529	573
144	532	568
145	536	565
146	538	560
147	541	556
148	544	551
149	548	548
150	551	544
151	555	540
152	558	537
153	562	533
154	565	529
155	569	525
156	572	521
157	575	517
158	579	514
159	584	511
160	587	507
161	591	503
162	595	500
163	599	497
164	603	493
165	607	490
166	610	486
167	614	483
168	618	479
169	621	475
170	625	471
171	630	468
172	633	465
173	636	461
174	640	457
175	645	454
176	650	451
177	653	448
178	657	444
179	661	441
180	665	437
181	668	433
182	672	429
183	676	426
184	681	423
185	685	420
186	689	416
187	693	413
188	697	409
189	701	406
190	706	402
191	709	399
192	713	395
193	717	391
194	723	389
195	727	386
196	731	382
197	735	378
198	739	375
199	743	371
200	748	368
201	753	365
202	759	363
203	764	359
204	769	356
205	773	353
206	777	349
207	782	345
208	786	342
209	791	339
210	796	335
211	801	332
212	805	329
213	810	325
214	817	323
215	821	319
216	825	315
217	830	312
218	835	308
219	839	305
220	843	301
221	848	298
222	853	294
223	857	290
224	862	287
225	867	284
226	871	280
227	876	276
228	880	272
229	884	269
230	888	265
231	891	261
232	896	257
233	900	254
234	904	250
235	908	246
236	913	242
237	917	238
238	921	235
239	925	231
240	929	227
241	933	223
242	937	219
243	941	216
244	945	212
245	949	208
246	953	204
247	958	200
248	962	197
249	967	193
250	973	190
251	977	186
252	981	182
253	985	178
254	989	174
255	993	170
256	996	166
257	1000	162
258	1004	158
259	1008	155
260	1011	151
261	1015	147
262	1019	143
263	1025	139
264	1028	135
265	1031	131
266	1035	127
267	1038	124
268	1041	120
269	1044	116
270	1047	112
271	1051	108
272	1054	104
273	1058	100
274	1061	96
275	1064	92
276	1068	88
277	1072	84
278	1075	80
279	1078	77
280	1081	73
281	1085	69
282	1088	65
283	1091	61
284	1093	57
285	1097	53
286	1101	49
287	1104	46
288	1106	42
289	1109	38
290	1113	34
291	1116	30
292	1120	26
293	1123	22
294	1126	19
295	1129	15
296	1133	11
297	1137	7
298	1139	3
299	1143	0
