Metal,Model,Bal. Accuracy,Sensitivity,Specificity,Precision,AUC,Bubbles
Cobalt,LASSO,0.447,0.198,0.696,0.085,0.386,44/222
Cobalt,Random Forest,0.5,0.0,1.0,0.0,0.511,0/222
Cobalt,LightGBM,0.513,0.041,0.985,0.273,0.664,9/222
Cobalt,TFT (Deep Learning),0.5013980513244284,0.15468409586056645,0.8481120067882902,0.1655011655011655,0.5040073363160482,1377
Lithium,LASSO,0.653,0.923,0.383,0.619,0.561,855/926
Lithium,Random Forest,0.581,0.82,0.342,0.575,0.489,759/926
Lithium,LightGBM,0.358,0.664,0.053,0.432,0.145,615/926
Lithium,TFT (Deep Learning),0.5013980513244284,0.15468409586056645,0.8481120067882902,0.1655011655011655,0.5040073363160482,1377
Nickel,LASSO,0.911,1.0,0.822,0.042,0.978,11/11
Nickel,Random Forest,0.5,0.0,1.0,0.0,0.667,0/11
Nickel,LightGBM,0.473,0.0,0.946,0.0,0.122,0/11
Nickel,TFT (Deep Learning),0.5013980513244284,0.15468409586056645,0.8481120067882902,0.1655011655011655,0.5040073363160482,1377
Copper,LASSO,0.411,0.0,0.822,0.0,0.505,0/9
Copper,Random Forest,0.5,0.0,1.0,0.0,0.319,0/9
Copper,LightGBM,0.481,0.0,0.962,0.0,0.751,0/9
Copper,TFT (Deep Learning),0.5013980513244284,0.15468409586056645,0.8481120067882902,0.1655011655011655,0.5040073363160482,1377
