Metal,Model,BubDays,AUC,F1_opt,T_opt,Sens,Spec,Prec,Detected,ClustersDet
Cobalt,LASSO,64,0.909,0.515,0.0297,0.593,0.958,0.455,35/59,5/7
Cobalt,RandomForest,64,0.744,0.236,0.1269,0.864,0.68,0.136,51/59,5/7
Cobalt,XGBoost,64,0.683,0.181,0.014,0.559,0.73,0.108,33/59,4/7
Copper,LASSO,143,0.535,0.242,0.5854,0.383,0.816,0.177,51/133,7/28
Copper,RandomForest,143,0.543,0.311,0.3476,0.316,0.926,0.307,42/133,6/28
Copper,XGBoost,143,0.565,0.234,0.1664,0.256,0.905,0.217,34/133,7/28
Lithium,LASSO,83,0.724,0.208,0.0548,0.333,0.918,0.152,15/45,4/10
Lithium,RandomForest,83,0.639,0.162,0.2648,0.311,0.889,0.109,14/45,6/10
Lithium,XGBoost,83,0.744,0.224,0.069,0.267,0.951,0.194,12/45,5/10
Nickel,LASSO,129,0.549,0.264,0.1208,0.694,0.43,0.163,68/98,17/19
Nickel,RandomForest,129,0.5,0.245,0.0645,0.918,0.107,0.141,90/98,19/19
Nickel,XGBoost,129,0.44,0.255,0.0044,0.959,0.112,0.147,94/98,18/19
