Metal,Model,BubDays,AUC,F1_opt,T_opt,Sens,Spec,Prec,Detected,EpisodesDet
Cobalt,LASSO,71,0.826,0.317,0.0324,0.857,0.777,0.194,54/63,4/4
Cobalt,RandomForest,71,0.753,0.225,0.1434,0.857,0.64,0.13,54/63,4/4
Cobalt,XGBoost,71,0.7,0.186,0.0126,0.587,0.704,0.111,37/63,4/4
Copper,LASSO,179,0.579,0.279,0.7094,0.488,0.742,0.196,79/162,6/12
Copper,RandomForest,179,0.568,0.297,0.3533,0.346,0.874,0.26,56/162,4/12
Copper,XGBoost,179,0.584,0.232,0.003,0.938,0.212,0.133,152/162,11/12
Lithium,LASSO,73,0.635,0.165,0.0047,0.65,0.629,0.095,26/40,5/7
Lithium,RandomForest,73,0.307,0.108,0.0146,1.0,0.015,0.057,40/40,7/7
Lithium,XGBoost,73,0.562,0.164,0.1346,0.15,0.96,0.182,6/40,2/7
Nickel,LASSO,193,0.501,0.346,0.0196,1.0,0.092,0.209,138/138,7/7
Nickel,RandomForest,193,0.441,0.334,0.0484,0.993,0.051,0.201,137/138,7/7
Nickel,XGBoost,193,0.39,0.342,0.0084,0.935,0.152,0.209,129/138,7/7
