Metal,Model,Dataset,BubbleDays,N,AUC,F1_opt,T_opt,Sens_opt,Spec_opt,Prec_opt,Det_opt,F1_r70,Sens_r70,Spec_r70,Prec_r70,Det_r70
Cobalt,LASSO,relaxed,20,2141,0.949,0.3333333333333333,0.0096,0.4,0.991,0.286,2/5,0.211,0.8,0.945,0.121,4/5
Cobalt,RandomForest,relaxed,20,2141,0.918,0.1481481481481481,0.03,0.8,0.915,0.082,4/5,0.148,0.8,0.915,0.082,4/5
Cobalt,LightGBM,relaxed,20,2141,0.717,0.04694835680751174,0.0005,1.0,0.617,0.024,5/5,0.043,0.8,0.664,0.022,4/5
Cobalt,XGBoost,relaxed,20,2141,0.752,0.22222222222222224,0.0037,0.2,0.994,0.25,1/5,0.066,0.8,0.789,0.034,4/5
Cobalt,CatBoost,relaxed,20,2141,0.817,0.25,0.0006,0.2,0.996,0.333,1/5,0.038,0.8,0.625,0.02,4/5
Copper,LASSO,relaxed,54,2141,0.718,0.19607843137254904,1.0,0.152,0.987,0.278,5/33,0.1,0.727,0.59,0.054,24/33
Copper,RandomForest,relaxed,54,2141,0.677,0.11306042884990254,0.0778,0.879,0.564,0.06,29/33,0.105,0.727,0.612,0.056,24/33
Copper,LightGBM,relaxed,54,2141,0.723,0.1590909090909091,0.0955,0.212,0.954,0.127,7/33,0.111,0.727,0.639,0.06,24/33
Copper,XGBoost,relaxed,54,2141,0.762,0.15450643776824036,0.0396,0.545,0.824,0.09,18/33,0.136,0.727,0.715,0.075,24/33
Copper,CatBoost,relaxed,54,2141,0.665,0.11307420494699646,0.0103,0.485,0.774,0.064,16/33,0.082,0.727,0.49,0.043,24/33
Lithium,LASSO,litdeep,59,2141,0.75,0.19387755102040818,0.0003,0.613,0.859,0.115,19/31,0.105,0.71,0.649,0.057,22/31
Lithium,RandomForest,litdeep,59,2141,0.518,0.07259073842302878,0.0111,0.935,0.289,0.038,29/31,0.064,0.71,0.39,0.034,22/31
Lithium,LightGBM,litdeep,59,2141,0.52,0.09448818897637795,0.0025,0.387,0.797,0.054,12/31,0.052,0.71,0.23,0.027,22/31
Lithium,XGBoost,litdeep,59,2141,0.582,0.10628019323671498,0.0036,0.355,0.841,0.062,11/31,0.059,0.71,0.329,0.031,22/31
Lithium,CatBoost,litdeep,59,2141,0.706,0.10526315789473684,0.0029,0.419,0.805,0.06,13/31,0.094,0.71,0.602,0.05,22/31
Nickel,LASSO,relaxed,44,2141,0.423,0.11594202898550723,1.0,0.216,0.862,0.079,8/37,0.079,0.703,0.116,0.042,26/37
Nickel,RandomForest,relaxed,44,2141,0.377,0.10709117221418234,0.0047,1.0,0.086,0.057,37/37,0.083,0.703,0.17,0.044,26/37
Nickel,LightGBM,relaxed,44,2141,0.383,0.09959623149394346,0.0008,1.0,0.009,0.052,37/37,0.1,1.0,0.009,0.052,37/37
Nickel,XGBoost,relaxed,44,2141,0.359,0.1002865329512894,0.0013,0.946,0.073,0.053,35/37,0.082,0.703,0.151,0.043,26/37
Nickel,CatBoost,relaxed,44,2141,0.298,0.1,0.0003,1.0,0.013,0.053,37/37,0.079,0.703,0.119,0.042,26/37
