Metal,LabelVariant,CusumVariant,Jaccard
Cobalt,gsadf_ols,cusum_raw,0.2798
Cobalt,gsadf_ols_period,cusum_raw,0.2798
Cobalt,gsadf_v1,cusum_raw,0.1522
Cobalt,gsadf_v1_period,cusum_raw,0.1661
Cobalt,gsadf_updown,cusum_raw,0.2899
Cobalt,gsadf_updown_period,cusum_raw,0.2917
Cobalt,lppls_0.20,cusum_raw,0.0606
Cobalt,lppls_0.20_period,cusum_raw,0.0576
Cobalt,lppls_0.10,cusum_raw,0.0943
Cobalt,lppls_0.10_period,cusum_raw,0.0969
Cobalt,lppls_0.01,cusum_raw,0.1115
Cobalt,lppls_0.01_period,cusum_raw,0.145
Cobalt,gsadf_ols,cusum_smoothed,0.2928
Cobalt,gsadf_ols_period,cusum_smoothed,0.2928
Cobalt,gsadf_v1,cusum_smoothed,0.1596
Cobalt,gsadf_v1_period,cusum_smoothed,0.1743
Cobalt,gsadf_updown,cusum_smoothed,0.301
Cobalt,gsadf_updown_period,cusum_smoothed,0.3028
Cobalt,lppls_0.20,cusum_smoothed,0.0638
Cobalt,lppls_0.20_period,cusum_smoothed,0.0607
Cobalt,lppls_0.10,cusum_smoothed,0.099
Cobalt,lppls_0.10_period,cusum_smoothed,0.1016
Cobalt,lppls_0.01,cusum_smoothed,0.1169
Cobalt,lppls_0.01_period,cusum_smoothed,0.1517
Cobalt,gsadf_ols,cusum_filtered,0.177
Cobalt,gsadf_ols_period,cusum_filtered,0.177
Cobalt,gsadf_v1,cusum_filtered,0.3551
Cobalt,gsadf_v1_period,cusum_filtered,0.3623
Cobalt,gsadf_updown,cusum_filtered,0.1882
Cobalt,gsadf_updown_period,cusum_filtered,0.191
Cobalt,lppls_0.20,cusum_filtered,0.1593
Cobalt,lppls_0.20_period,cusum_filtered,0.1532
Cobalt,lppls_0.10,cusum_filtered,0.2239
Cobalt,lppls_0.10_period,cusum_filtered,0.2279
Cobalt,lppls_0.01,cusum_filtered,0.259
Cobalt,lppls_0.01_period,cusum_filtered,0.293
Copper,gsadf_ols,cusum_raw,0.0877
Copper,gsadf_ols_period,cusum_raw,0.0877
Copper,gsadf_v1,cusum_raw,0.101
Copper,gsadf_v1_period,cusum_raw,0.0947
Copper,gsadf_updown,cusum_raw,0.125
Copper,gsadf_updown_period,cusum_raw,0.1158
Copper,lppls_0.20,cusum_raw,0.0971
Copper,lppls_0.20_period,cusum_raw,0.0987
Copper,lppls_0.10,cusum_raw,0.1173
Copper,lppls_0.10_period,cusum_raw,0.1681
Copper,lppls_0.01,cusum_raw,0.1088
